time,R_energy_linear_jacobian
0.000000000000000000e+00,-5.605291179774996635e+03
1.010101010101010083e-01,-5.604441841404535808e+03
2.020202020202020166e-01,-5.612090794302443101e+03
3.030303030303030387e-01,-5.582316617174274143e+03
4.040404040404040331e-01,-5.531684827580274941e+03
5.050505050505050830e-01,-5.470774036154088208e+03
6.060606060606060774e-01,-5.409575459256235263e+03
7.070707070707070718e-01,-5.356544112198738731e+03
8.080808080808080662e-01,-5.318085874997645078e+03
9.090909090909090606e-01,-5.298580376195686767e+03
1.010101010101010166e+00,-5.300267541012553011e+03
1.111111111111111160e+00,-5.322959086498516626e+03
1.212121212121212155e+00,-5.363945711343020776e+03
1.313131313131313149e+00,-5.418393779323549097e+03
1.414141414141414144e+00,-5.480194592624869983e+03
1.515151515151515138e+00,-5.543068091187746177e+03
1.616161616161616132e+00,-5.601675651511245633e+03
1.717171717171717127e+00,-5.652414650166306274e+03
1.818181818181818121e+00,-5.693609620055198320e+03
1.919191919191919116e+00,-5.725088455891800550e+03
2.020202020202020332e+00,-5.747433142761710769e+03
2.121212121212121104e+00,-5.761281593293168044e+03
2.222222222222222321e+00,-5.766902630001084617e+03
2.323232323232323093e+00,-5.764036618715962504e+03
2.424242424242424310e+00,-5.751921012542922654e+03
2.525252525252525082e+00,-5.729533479041971077e+03
2.626262626262626299e+00,-5.696127953514615911e+03
2.727272727272727071e+00,-5.651942704048546148e+03
2.828282828282828287e+00,-5.598748111158304710e+03
2.929292929292929060e+00,-5.539958659035878554e+03
3.030303030303030276e+00,-5.480274716535739572e+03
3.131313131313131048e+00,-5.425008381446046769e+03
3.232323232323232265e+00,-5.379326664722713758e+03
3.333333333333333481e+00,-5.347612942975990336e+03
3.434343434343434254e+00,-5.332991945934796604e+03
3.535353535353535470e+00,-5.336933827019265664e+03
3.636363636363636243e+00,-5.358938096272056100e+03
3.737373737373737459e+00,-5.396467916674120715e+03
3.838383838383838231e+00,-5.445282474292278494e+03
3.939393939393939448e+00,-5.500142247680580113e+03
4.040404040404040664e+00,-5.555731296900783491e+03
4.141414141414140992e+00,-5.607560269301578955e+03
4.242424242424242209e+00,-5.652568533292687789e+03
4.343434343434343425e+00,-5.689228188194942049e+03
4.444444444444444642e+00,-5.717180693884667562e+03
4.545454545454544970e+00,-5.736648661326003094e+03
4.646464646464646187e+00,-5.747903789095334105e+03
4.747474747474747403e+00,-5.750944405847511007e+03
4.848484848484848619e+00,-5.745389090144924012e+03
4.949494949494949836e+00,-5.730565902589615689e+03
5.050505050505050164e+00,-5.705824683848036329e+03
5.151515151515151381e+00,-5.671051356639160986e+03
5.252525252525252597e+00,-5.627203592968527119e+03
5.353535353535353813e+00,-5.576611238147867880e+03
5.454545454545454142e+00,-5.522895602072297152e+03
5.555555555555555358e+00,-5.470540519644880078e+03
5.656565656565656575e+00,-5.424269946119423366e+03
5.757575757575757791e+00,-5.388421776686429439e+03
5.858585858585858119e+00,-5.366440707790875422e+03
5.959595959595959336e+00,-5.360487057630256459e+03
6.060606060606060552e+00,-5.371119927596873822e+03
6.161616161616161769e+00,-5.397114770946432145e+03
6.262626262626262097e+00,-5.435553961159319442e+03
6.363636363636363313e+00,-5.482259548799896947e+03
6.464646464646464530e+00,-5.532501841135042014e+03
6.565656565656565746e+00,-5.581811357815330666e+03
6.666666666666666963e+00,-5.626660991698925500e+03
6.767676767676767291e+00,-5.664802708339284436e+03
6.868686868686868507e+00,-5.695179953271709564e+03
6.969696969696969724e+00,-5.717530913835516913e+03
7.070707070707070940e+00,-5.731909389779960293e+03
7.171717171717171269e+00,-5.738314851971268581e+03
7.272727272727272485e+00,-5.736508447994249764e+03
7.373737373737373701e+00,-5.726017879249315229e+03
7.474747474747474918e+00,-5.706336386197930551e+03
7.575757575757575246e+00,-5.677305240125778255e+03
7.676767676767676463e+00,-5.639569604220727342e+03
7.777777777777777679e+00,-5.594909073142730449e+03
7.878787878787878896e+00,-5.546279867001876482e+03
7.979797979797979224e+00,-5.497539243146646186e+03
8.080808080808081328e+00,-5.452947899960100585e+03
8.181818181818181657e+00,-5.416604678302293905e+03
8.282828282828281985e+00,-5.391946218028684598e+03
8.383838383838384090e+00,-5.381354551933774928e+03
8.484848484848484418e+00,-5.385849620563254575e+03
8.585858585858586522e+00,-5.404885405892939161e+03
8.686868686868686851e+00,-5.436345456651466520e+03
8.787878787878787179e+00,-5.476823662216418597e+03
8.888888888888889284e+00,-5.522176394726983744e+03
8.989898989898989612e+00,-5.568222671735301446e+03
9.090909090909089940e+00,-5.611400003694965562e+03
9.191919191919192045e+00,-5.010443944958493375e+03
9.292929292929292373e+00,-4.402555983475868743e+03
9.393939393939394478e+00,-3.787739401211013046e+03
9.494949494949494806e+00,-3.166573418193375801e+03
9.595959595959595134e+00,-2.539963518603332432e+03
9.696969696969697239e+00,-1.908961968405245443e+03
9.797979797979797567e+00,-1.274647629683943933e+03
9.898989898989899672e+00,-6.380339846880723371e+02
1.000000000000000000e+01,-0.000000000000000000e+00
