time,Rspec_hyper
0.000000000000000000e+00,1.561280249804806357e-04
1.010101010101010083e-01,1.224783601078559443e-04
2.020202020202020166e-01,1.320280303178463953e-04
3.030303030303030387e-01,1.698158593871814531e-04
4.040404040404040331e-01,2.436506964417679301e-04
5.050505050505050830e-01,3.741041990411009244e-04
6.060606060606060774e-01,5.902434903953749767e-04
7.070707070707070718e-01,7.091752698142915002e-04
8.080808080808080662e-01,5.265704824146913866e-04
9.090909090909090606e-01,3.965744524864093590e-04
1.010101010101010166e+00,3.077652548064334858e-04
1.111111111111111160e+00,2.507686411211205025e-04
1.212121212121212155e+00,2.187708096221811132e-04
1.313131313131313149e+00,2.080422296195059972e-04
1.414141414141414144e+00,2.185265137876706942e-04
1.515151515151515138e+00,2.547952921581306848e-04
1.616161616161616132e+00,3.276194677004745626e-04
1.717171717171717127e+00,4.557203928097361347e-04
1.818181818181818121e+00,6.654901487101156461e-04
1.919191919191919116e+00,7.234333811829804679e-04
2.020202020202020332e+00,5.349506217547084479e-04
2.121212121212121104e+00,3.989590788507340474e-04
2.222222222222222321e+00,3.043199589600117656e-04
2.323232323232323093e+00,2.416157983377736928e-04
2.424242424242424310e+00,2.035884676953359808e-04
2.525252525252525082e+00,1.854983274075070897e-04
2.626262626262626299e+00,1.855096994532772685e-04
2.727272727272727071e+00,2.052293032735042334e-04
2.828282828282828287e+00,2.506039712833698805e-04
2.929292929292929060e+00,3.331159723993240779e-04
3.030303030303030276e+00,4.703215129563393499e-04
3.131313131313131048e+00,6.831923053593119471e-04
3.232323232323232265e+00,7.925791057814151643e-04
3.333333333333333481e+00,6.016609895530675893e-04
3.434343434343434254e+00,4.646352025856408346e-04
3.535353535353535470e+00,3.704921878272844226e-04
3.636363636363636243e+00,3.101426928719946009e-04
3.737373737373737459e+00,2.771609484411757308e-04
3.838383838383838231e+00,2.683220415648359205e-04
3.939393939393939448e+00,2.841802354357360447e-04
4.040404040404040664e+00,3.299096212081112389e-04
4.141414141414140992e+00,4.163839086225173285e-04
4.242424242424242209e+00,5.606809903907439491e-04
4.343434343434343425e+00,7.837396999244880362e-04
4.444444444444444642e+00,7.119151822230320500e-04
4.545454545454544970e+00,5.408946923745622942e-04
4.646464646464646187e+00,4.160763889618368928e-04
4.747474747474747403e+00,3.287137001924211421e-04
4.848484848484848619e+00,2.711706629413019459e-04
4.949494949494949836e+00,2.376514076688092652e-04
5.050505050505050164e+00,2.247211987011148800e-04
5.151515151515151381e+00,2.317975301140940097e-04
5.252525252525252597e+00,2.617524539121378270e-04
5.353535353535353813e+00,3.216764489907294306e-04
5.454545454545454142e+00,4.234135775791216623e-04
5.555555555555555358e+00,5.825562166128744716e-04
5.656565656565656575e+00,8.039133988513471989e-04
5.757575757575757791e+00,7.529837624124924430e-04
5.858585858585858119e+00,5.879963411894945438e-04
5.959595959595959336e+00,4.696670795549186435e-04
6.060606060606060552e+00,3.893992131667986826e-04
6.161616161616161769e+00,3.402808436809040982e-04
6.262626262626262097e+00,3.179171127813195741e-04
6.363636363636363313e+00,3.210687165469394417e-04
6.464646464646464530e+00,3.523156947997581638e-04
6.565656565656565746e+00,4.188094092715794305e-04
6.666666666666666963e+00,5.327146242741961349e-04
6.767676767676767291e+00,7.100280533883369634e-04
6.868686868686868507e+00,8.121456807502118545e-04
6.969696969696969724e+00,6.447279681553672861e-04
7.070707070707070940e+00,5.026793993367818661e-04
7.171717171717171269e+00,3.996760861093513252e-04
7.272727272727272485e+00,3.288475571635947792e-04
7.373737373737373701e+00,2.844178085529086792e-04
7.474747474747474918e+00,2.624413503574785740e-04
7.575757575757575246e+00,2.613668988646594801e-04
7.676767676767676463e+00,2.825766583212189760e-04
7.777777777777777679e+00,3.309617353520510116e-04
7.878787878787878896e+00,4.153178272064994331e-04
7.979797979797979224e+00,5.477358785601502350e-04
8.080808080808081328e+00,7.404268495335164253e-04
8.181818181818181657e+00,8.369045790162480021e-04
8.282828282828281985e+00,6.786533534753798075e-04
8.383838383838384090e+00,5.464375743339553804e-04
8.484848484848484418e+00,4.537376748703134512e-04
8.585858585858586522e+00,3.940612039279794499e-04
8.686868686868686851e+00,3.627977253702532184e-04
8.787878787878787179e+00,3.579829432126037402e-04
8.888888888888889284e+00,3.809411341487252607e-04
8.989898989898989612e+00,4.368900163288639876e-04
9.090909090909089940e+00,5.352559894254121497e-04
9.191919191919192045e+00,6.887979515503492561e-04
9.292929292929292373e+00,8.238736055681942540e-04
9.393939393939394478e+00,7.131385002452746624e-04
9.494949494949494806e+00,5.636783320879774168e-04
9.595959595959595134e+00,4.525897751153323107e-04
9.696969696969697239e+00,3.741543633384005678e-04
9.797979797979797567e+00,3.230987799863854456e-04
9.898989898989899672e+00,2.955253296901297843e-04
1.000000000000000000e+01,2.895608552259015572e-04
