time,potential_global
0.000000000000000000e+00,1.019977861272553014e+03
1.010101010101010083e-01,1.050042579273139609e+03
2.020202020202020166e-01,1.064921823409468516e+03
3.030303030303030387e-01,1.071475770030694775e+03
4.040404040404040331e-01,1.074359030819195823e+03
5.050505050505050830e-01,1.074760364279409714e+03
6.060606060606060774e-01,1.073434665222509466e+03
7.070707070707070718e-01,1.070507645827033002e+03
8.080808080808080662e-01,1.065721230727356897e+03
9.090909090909090606e-01,1.059093406733243683e+03
1.010101010101010166e+00,1.051449250772976939e+03
1.111111111111111160e+00,1.044332824190791143e+03
1.212121212121212155e+00,1.039356231488431604e+03
1.313131313131313149e+00,1.037521025291961223e+03
1.414141414141414144e+00,1.038922655436649848e+03
1.515151515151515138e+00,1.042887782531005314e+03
1.616161616161616132e+00,1.048385702706759730e+03
1.717171717171717127e+00,1.054461199394982259e+03
1.818181818181818121e+00,1.060459507629247582e+03
1.919191919191919116e+00,1.065993983026479555e+03
2.020202020202020332e+00,1.070799182098499159e+03
2.121212121212121104e+00,1.074652617678764500e+03
2.222222222222222321e+00,1.077430382540663686e+03
2.323232323232323093e+00,1.079195907956663405e+03
2.424242424242424310e+00,1.080179544015876672e+03
2.525252525252525082e+00,1.080638312713972255e+03
2.626262626262626299e+00,1.080717314294427524e+03
2.727272727272727071e+00,1.080422195286646911e+03
2.828282828282828287e+00,1.079696060003090906e+03
2.929292929292929060e+00,1.078493478239438900e+03
3.030303030303030276e+00,1.076756011406095240e+03
3.131313131313131048e+00,1.074314241581104397e+03
3.232323232323232265e+00,1.070856190984785371e+03
3.333333333333333481e+00,1.066099402296659719e+03
3.434343434343434254e+00,1.060134059987432693e+03
3.535353535353535470e+00,1.053666604408452258e+03
3.636363636363636243e+00,1.047883671794222892e+03
3.737373737373737459e+00,1.043981025053264830e+03
3.838383838383838231e+00,1.042685041674034665e+03
3.939393939393939448e+00,1.044039218551482236e+03
4.040404040404040664e+00,1.047507850475857140e+03
4.141414141414140992e+00,1.052282058226406889e+03
4.242424242424242209e+00,1.057593830652717543e+03
4.343434343434343425e+00,1.062878195848422592e+03
4.444444444444444642e+00,1.067760682485023381e+03
4.545454545454544970e+00,1.071975247441495640e+03
4.646464646464646187e+00,1.075331032441218213e+03
4.747474747474747403e+00,1.077752730538725245e+03
4.848484848484848619e+00,1.079316572376204022e+03
4.949494949494949836e+00,1.080204347850011345e+03
5.050505050505050164e+00,1.080594285934261961e+03
5.151515151515151381e+00,1.080576544746855689e+03
5.252525252525252597e+00,1.080150994559089895e+03
5.353535353535353813e+00,1.079279684587334714e+03
5.454545454545454142e+00,1.077915592162561552e+03
5.555555555555555358e+00,1.075966840301095999e+03
5.656565656565656575e+00,1.073248935631284439e+03
5.757575757575757791e+00,1.069533296850052693e+03
5.858585858585858119e+00,1.064746407570871952e+03
5.959595959595959336e+00,1.059214432830995065e+03
6.060606060606060552e+00,1.053728859226522673e+03
6.161616161616161769e+00,1.049313431016330469e+03
6.262626262626262097e+00,1.046826723928530328e+03
6.363636363636363313e+00,1.046651823578719359e+03
6.464646464646464530e+00,1.048625301738796452e+03
6.565656565656565746e+00,1.052193829089819246e+03
6.666666666666666963e+00,1.056673810820022481e+03
6.767676767676767291e+00,1.061462029676463317e+03
6.868686868686868507e+00,1.066113260142110448e+03
6.969696969696969724e+00,1.070313085449021401e+03
7.070707070707070940e+00,1.073836600515508735e+03
7.171717171717171269e+00,1.076552669281481258e+03
7.272727272727272485e+00,1.078452779712511528e+03
7.373737373737373701e+00,1.079641582297613240e+03
7.474747474747474918e+00,1.080267720679894637e+03
7.575757575757575246e+00,1.080441846950487616e+03
7.676767676767676463e+00,1.080201189381346694e+03
7.777777777777777679e+00,1.079530026654068024e+03
7.878787878787878896e+00,1.078390204135129125e+03
7.979797979797979224e+00,1.076715168703193513e+03
8.080808080808081328e+00,1.074379306656501512e+03
8.181818181818181657e+00,1.071213284901773704e+03
8.282828282828281985e+00,1.067126751834447532e+03
8.383838383838384090e+00,1.062300455839807910e+03
8.484848484848484418e+00,1.057296277578548143e+03
8.585858585858586522e+00,1.052948699423600146e+03
8.686868686868686851e+00,1.050071249370093938e+03
8.787878787878787179e+00,1.049157624770154371e+03
8.888888888888889284e+00,1.050242579491925426e+03
8.989898989898989612e+00,1.052964647038824296e+03
9.090909090909089940e+00,1.056758895321132968e+03
9.191919191919192045e+00,1.061056283918029294e+03
9.292929292929292373e+00,1.065395402843806778e+03
9.393939393939394478e+00,1.069436189875273840e+03
9.494949494949494806e+00,1.072934067033897009e+03
9.595959595959595134e+00,1.075733148336795693e+03
9.696969696969697239e+00,1.077783161602771997e+03
9.797979797979797567e+00,1.079138802140157395e+03
9.898989898989899672e+00,1.079913616247212531e+03
1.000000000000000000e+01,1.080211575654358967e+03
