time,R_energy
0.000000000000000000e+00,-8.064470433871646492e+03
1.010101010101010083e-01,-1.359804176330652808e+03
2.020202020202020166e-01,-1.246107220868778427e+02
3.030303030303030387e-01,-8.840110352814001260e+01
4.040404040404040331e-01,-5.494710805566731437e+01
5.050505050505050830e-01,-2.945186370672864484e+01
6.060606060606060774e-01,-1.495198150856379549e+01
7.070707070707070718e-01,-7.688417898262459360e+00
8.080808080808080662e-01,-4.171995177923530029e+00
9.090909090909090606e-01,-2.441825348680560559e+00
1.010101010101010166e+00,-1.552629246692083242e+00
1.111111111111111160e+00,-1.067390144208776759e+00
1.212121212121212155e+00,-7.834576628419498423e-01
1.313131313131313149e+00,-6.047678080178361393e-01
1.414141414141414144e+00,-4.842896184747831345e-01
1.515151515151515138e+00,-3.980614701414411094e-01
1.616161616161616132e+00,-3.332893779861693662e-01
1.717171717171717127e+00,-2.827759608143849968e-01
1.818181818181818121e+00,-2.422474508942153437e-01
1.919191919191919116e+00,-2.090258242361165419e-01
2.020202020202020332e+00,-1.813475160085871729e-01
2.121212121212121104e+00,-1.579989572991797875e-01
2.222222222222222321e+00,-1.381123269903299644e-01
2.323232323232323093e+00,-1.210463200585617238e-01
2.424242424242424310e+00,-1.063137755458860578e-01
2.525252525252525082e+00,-9.353546078866842306e-02
2.626262626262626299e+00,-8.241026408655631463e-02
2.727272727272727071e+00,-7.269482180697826867e-02
2.828282828282828287e+00,-6.418947206269727535e-02
2.929292929292929060e+00,-5.672854136439774847e-02
3.030303030303030276e+00,-5.017288956603286471e-02
3.131313131313131048e+00,-4.440461895538596465e-02
3.232323232323232265e+00,-3.932331034049015017e-02
3.333333333333333481e+00,-3.484278123817347028e-02
3.434343434343434254e+00,-3.088869825297842903e-02
3.535353535353535470e+00,-2.739663092185922952e-02
3.636363636363636243e+00,-2.431064907068839279e-02
3.737373737373737459e+00,-2.158197798733913972e-02
3.838383838383838231e+00,-1.916799312597246979e-02
3.939393939393939448e+00,-1.703141799794547981e-02
4.040404040404040664e+00,-1.513957455145022689e-02
4.141414141414140992e+00,-1.346375207540129702e-02
4.242424242424242209e+00,-1.197871646457410351e-02
4.343434343434343425e+00,-1.066227363131174929e-02
4.444444444444444642e+00,-9.494875790011689590e-03
4.545454545454544970e+00,-8.459290642013622338e-03
4.646464646464646187e+00,-7.540322727044666135e-03
4.747474747474747403e+00,-6.724569129584981320e-03
4.848484848484848619e+00,-6.000194214244383879e-03
4.949494949494949836e+00,-5.356740598977519953e-03
5.050505050505050164e+00,-4.784973901183418345e-03
5.151515151515151381e+00,-4.276731732893641370e-03
5.252525252525252597e+00,-3.824794379335135202e-03
5.353535353535353813e+00,-3.422776088531614535e-03
5.454545454545454142e+00,-3.065028937190557388e-03
5.555555555555555358e+00,-2.746554976054620817e-03
5.656565656565656575e+00,-2.462929064543352854e-03
5.757575757575757791e+00,-2.210232951835018264e-03
5.858585858585858119e+00,-1.984996819850892626e-03
5.959595959595959336e+00,-1.784146905422285666e-03
6.060606060606060552e+00,-1.604959507068133995e-03
6.161616161616161769e+00,-1.445020743539787668e-03
6.262626262626262097e+00,-1.302190888118208694e-03
6.363636363636363313e+00,-1.174572721992232305e-03
6.464646464646464530e+00,-1.060483654261674437e-03
6.565656565656565746e+00,-9.584311476189393561e-04
6.666666666666666963e+00,-8.670909561031665217e-04
6.767676767676767291e+00,-7.852878603605127237e-04
6.868686868686868507e+00,-7.119786530142905830e-04
6.969696969696969724e+00,-6.462370988109712592e-04
7.070707070707070940e+00,-5.872406184914393196e-04
7.171717171717171269e+00,-5.342585025457468988e-04
7.272727272727272485e+00,-4.866414853512552848e-04
7.373737373737373701e+00,-4.438125174566176197e-04
7.474747474747474918e+00,-4.052585933535920917e-04
7.575757575757575246e+00,-3.705235146876004713e-04
7.676767676767676463e+00,-3.392014821712462558e-04
7.777777777777777679e+00,-3.109314193150972605e-04
7.878787878787878896e+00,-2.853919429893777377e-04
7.979797979797979224e+00,-2.622969068935835290e-04
8.080808080808081328e+00,-2.413914522417947466e-04
8.181818181818181657e+00,-2.224485070961439745e-04
8.282828282828281985e+00,-2.052656827877489415e-04
8.383838383838384090e+00,-1.896625220516411482e-04
8.484848484848484418e+00,-1.754780586337211044e-04
8.585858585858586522e+00,-1.625686526866031753e-04
8.686868686868686851e+00,-1.508060704485816395e-04
8.787878787878787179e+00,-1.400757803668378841e-04
8.888888888888889284e+00,-1.302754409991615408e-04
8.989898989898989612e+00,-1.213135588494853602e-04
9.090909090909089940e+00,-1.131082968050762323e-04
9.191919191919192045e+00,-9.672374109414108058e-05
9.292929292929292373e+00,-8.149470769798390364e-05
9.393939393939394478e+00,-6.732175507513712823e-05
9.494949494949494806e+00,-5.411518123327704909e-05
9.595959595959595134e+00,-4.179399853662691679e-05
9.696969696969697239e+00,-3.028502066087507199e-05
9.797979797979797567e+00,-1.952204916222221640e-05
9.898989898989899672e+00,-9.445148547466074399e-06
1.000000000000000000e+01,-0.000000000000000000e+00
