time,R_loc
0.000000000000000000e+00,-5.899998954867277767e+00
1.010101010101010083e-01,-4.156254409479351430e+00
2.020202020202020166e-01,-2.121023179994303121e+00
3.030303030303030387e-01,-4.743418537334747054e-01
4.040404040404040331e-01,5.575474086517266947e-01
5.050505050505050830e-01,6.598244502871496442e-01
6.060606060606060774e-01,6.097608960169064174e-01
7.070707070707070718e-01,5.582339560811249157e-01
8.080808080808080662e-01,5.222722548436414813e-01
9.090909090909090606e-01,5.015797524356213621e-01
1.010101010101010166e+00,4.922210118095055598e-01
1.111111111111111160e+00,4.904148011468632551e-01
1.212121212121212155e+00,4.933115001882522610e-01
1.313131313131313149e+00,4.989447624778358126e-01
1.414141414141414144e+00,5.060165025856699916e-01
1.515151515151515138e+00,5.136942401164845684e-01
1.616161616161616132e+00,5.214591225994962276e-01
1.717171717171717127e+00,5.289986377034850973e-01
1.818181818181818121e+00,5.361343265845774919e-01
1.919191919191919116e+00,5.427739135306363094e-01
2.020202020202020332e+00,5.488795797494626649e-01
2.121212121212121104e+00,5.544473185693042927e-01
2.222222222222222321e+00,5.594935300395432742e-01
2.323232323232323093e+00,5.640462282109367509e-01
2.424242424242424310e+00,5.681394957401626478e-01
2.525252525252525082e+00,5.718098940624859461e-01
2.626262626262626299e+00,5.750942564941936563e-01
2.727272727272727071e+00,5.780283259926672912e-01
2.828282828282828287e+00,5.806459854811121257e-01
2.929292929292929060e+00,5.829788170012270010e-01
3.030303030303030276e+00,5.850559731560809329e-01
3.131313131313131048e+00,5.869041071262369735e-01
3.232323232323232265e+00,5.885474476749011918e-01
3.333333333333333481e+00,5.900079229675986303e-01
3.434343434343434254e+00,5.913052977996914317e-01
3.535353535353535470e+00,5.924573440691133230e-01
3.636363636363636243e+00,5.934800038385145138e-01
3.737373737373737459e+00,5.943875485267016145e-01
3.838383838383838231e+00,5.783366980732784768e-01
3.939393939393939448e+00,5.629549133800981764e-01
4.040404040404040664e+00,5.484556969970189044e-01
4.141414141414140992e+00,5.347666451049892800e-01
4.242424242424242209e+00,5.218230009762514499e-01
4.343434343434343425e+00,5.095666892954153759e-01
4.444444444444444642e+00,4.979454873918487401e-01
4.545454545454544970e+00,4.869123151687859696e-01
4.646464646464646187e+00,4.764246181038211958e-01
4.747474747474747403e+00,4.664438427171013757e-01
4.848484848484848619e+00,4.569349843774883624e-01
4.949494949494949836e+00,4.478661922296955922e-01
5.050505050505050164e+00,4.392084234638993223e-01
5.151515151515151381e+00,4.309351409811923439e-01
5.252525252525252597e+00,4.230220493478542565e-01
5.353535353535353813e+00,4.154468677339262506e-01
5.454545454545454142e+00,4.081891234811174662e-01
5.555555555555555358e+00,4.012299726283141688e-01
5.656565656565656575e+00,3.945520418435766175e-01
5.757575757575757791e+00,3.881392872627509316e-01
5.858585858585858119e+00,3.819768715600246889e-01
5.959595959595959336e+00,3.760510504796643616e-01
6.060606060606060552e+00,3.703490736341186196e-01
6.161616161616161769e+00,3.648590976186583124e-01
6.262626262626262097e+00,3.595701050310151636e-01
6.363636363636363313e+00,3.544718333060858928e-01
6.464646464646464530e+00,3.495547122416009511e-01
6.565656565656565746e+00,3.448098045838454695e-01
6.666666666666666963e+00,3.402287550025029361e-01
6.767676767676767291e+00,3.358037431212823609e-01
6.868686868686868507e+00,3.315274403302426176e-01
6.969696969696969724e+00,3.273929729263880262e-01
7.070707070707070940e+00,3.233938849767081791e-01
7.171717171717171269e+00,3.195241087827760396e-01
7.272727272727272485e+00,3.157779343877786804e-01
7.373737373737373701e+00,3.121499840032238016e-01
7.474747474747474918e+00,3.086351879275084364e-01
7.575757575757575246e+00,3.052287619251248252e-01
7.676767676767676463e+00,3.019261884465440637e-01
7.777777777777777679e+00,2.987231968974712881e-01
7.878787878787878896e+00,2.956157474122422801e-01
7.979797979797979224e+00,2.926000152881497174e-01
8.080808080808081328e+00,2.896723761327407720e-01
8.181818181818181657e+00,2.868293938838167856e-01
8.282828282828281985e+00,2.840678076238001282e-01
8.383838383838384090e+00,2.813845204636261643e-01
8.484848484848484418e+00,2.787765901405420133e-01
8.585858585858586522e+00,2.762412184050683228e-01
8.686868686868686851e+00,2.737757427047349257e-01
8.787878787878787179e+00,2.713776279771040745e-01
8.888888888888889284e+00,2.690444585659590437e-01
8.989898989898989612e+00,2.667739322000789448e-01
9.090909090909089940e+00,2.645638521193288684e-01
9.191919191919192045e+00,2.624121219034492025e-01
9.292929292929292373e+00,2.603167397578765030e-01
9.393939393939394478e+00,2.582757923554751534e-01
9.494949494949494806e+00,2.562874511866791716e-01
9.595959595959595134e+00,2.543499666649018387e-01
9.696969696969697239e+00,2.524616647490290910e-01
9.797979797979797567e+00,2.506209424973232514e-01
9.898989898989899672e+00,2.488262643655231310e-01
1.000000000000000000e+01,2.470761586680081390e-01
