time,R_spec
0.000000000000000000e+00,2.312642382418031439e-03
1.010101010101010083e-01,2.493792001264268088e-03
2.020202020202020166e-01,3.944750913974767736e-03
3.030303030303030387e-01,5.113512152159657015e-03
4.040404040404040331e-01,5.596906564357434499e-03
5.050505050505050830e-01,5.621234025844468185e-03
6.060606060606060774e-01,5.696793716592457590e-03
7.070707070707070718e-01,5.761599912889613789e-03
8.080808080808080662e-01,5.804972039826083660e-03
9.090909090909090606e-01,5.830496960092841283e-03
1.010101010101010166e+00,5.843812200886804031e-03
1.111111111111111160e+00,5.849464558370272294e-03
1.212121212121212155e+00,5.850559222894671438e-03
1.313131313131313149e+00,5.849074328705534259e-03
1.414141414141414144e+00,5.846224744017150532e-03
1.515151515151515138e+00,5.842739438761004531e-03
1.616161616161616132e+00,5.839045861948475441e-03
1.717171717171717127e+00,5.835388169407170963e-03
1.818181818181818121e+00,5.831899978796382250e-03
1.919191919191919116e+00,5.828648665074615681e-03
2.020202020202020332e+00,5.825662446112815640e-03
2.121212121212121104e+00,5.822946695882876347e-03
2.222222222222222321e+00,5.820493782185890211e-03
2.323232323232323093e+00,5.818289076818670275e-03
2.424242424242424310e+00,5.816314536807604824e-03
2.525252525252525082e+00,5.814550894655901372e-03
2.626262626262626299e+00,5.812978831279498257e-03
2.727272727272727071e+00,5.811579825642721603e-03
2.828282828282828287e+00,5.810336416070989440e-03
2.929292929292929060e+00,5.809232482163865369e-03
3.030303030303030276e+00,5.808253246214808291e-03
3.131313131313131048e+00,5.807385281654886891e-03
3.232323232323232265e+00,5.806616455500280410e-03
3.333333333333333481e+00,5.805935860697010106e-03
3.434343434343434254e+00,5.805333685998805698e-03
3.535353535353535470e+00,5.804801171743142335e-03
3.636363636363636243e+00,5.804330466498261801e-03
3.737373737373737459e+00,5.803914611726086747e-03
3.838383838383838231e+00,5.803547345639549146e-03
3.939393939393939448e+00,5.803223159024279570e-03
4.040404040404040664e+00,5.802937103985709999e-03
4.141414141414140992e+00,5.802684820234049745e-03
4.242424242424242209e+00,5.802462407426180885e-03
4.343434343434343425e+00,5.802266435515901488e-03
4.444444444444444642e+00,5.802093820856061429e-03
4.545454545454544970e+00,5.801941879279176942e-03
4.646464646464646187e+00,5.801808183258018448e-03
4.747474747474747403e+00,5.801690616461078337e-03
4.848484848484848619e+00,5.801587283190984962e-03
4.949494949494949836e+00,5.801496529086820966e-03
5.050505050505050164e+00,5.801416867097725430e-03
5.151515151515151381e+00,5.801346990708146356e-03
5.252525252525252597e+00,5.801285742135686013e-03
5.353535353535353813e+00,5.801232108767288495e-03
5.454545454545454142e+00,5.801185176328105264e-03
5.555555555555555358e+00,5.801144142086498215e-03
5.656565656565656575e+00,5.801108319161030202e-03
5.757575757575757791e+00,5.801077064324101570e-03
5.858585858585858119e+00,5.801049839997234059e-03
5.959595959595959336e+00,5.801026142751186665e-03
6.060606060606060552e+00,5.801005558051328809e-03
6.161616161616161769e+00,5.800987713919340816e-03
6.262626262626262097e+00,5.800972250058865701e-03
6.363636363636363313e+00,5.800958901083227287e-03
6.464646464646464530e+00,5.800947390082442784e-03
6.565656565656565746e+00,5.800937487362132355e-03
6.666666666666666963e+00,5.800928991546022706e-03
6.767676767676767291e+00,5.800921739799076715e-03
6.868686868686868507e+00,5.800915556999946404e-03
6.969696969696969724e+00,5.800910314899543341e-03
7.070707070707070940e+00,5.800905886325591343e-03
7.171717171717171269e+00,5.800902171557018733e-03
7.272727272727272485e+00,5.800899078822252530e-03
7.373737373737373701e+00,5.800896516643564566e-03
7.474747474747474918e+00,5.800894420665243106e-03
7.575757575757575246e+00,5.800892721434629251e-03
7.676767676767676463e+00,5.800891374146178309e-03
7.777777777777777679e+00,5.800890319846737156e-03
7.878787878787878896e+00,5.800889518342242437e-03
7.979797979797979224e+00,5.800888935881097150e-03
8.080808080808081328e+00,5.800888547909811843e-03
8.181818181818181657e+00,5.752533719333262005e-03
8.282828282828281985e+00,5.696988696202317203e-03
8.383838383838384090e+00,5.641603794741306861e-03
8.484848484848484418e+00,5.586386165741042895e-03
8.585858585858586522e+00,5.531342808796379552e-03
8.686868686868686851e+00,5.476480605880293569e-03
8.787878787878787179e+00,5.421806325056524600e-03
8.888888888888889284e+00,5.367326611597315715e-03
8.989898989898989612e+00,5.313048013896003174e-03
9.090909090909089940e+00,5.258976912454292087e-03
9.191919191919192045e+00,5.205119622661848536e-03
9.292929292929292373e+00,5.151482289998837207e-03
9.393939393939394478e+00,5.098070970612019262e-03
9.494949494949494806e+00,5.044891586528640025e-03
9.595959595959595134e+00,4.991949924170939294e-03
9.696969696969697239e+00,4.939251665886316978e-03
9.797979797979797567e+00,4.886802352334298875e-03
9.898989898989899672e+00,4.834607412962602796e-03
1.000000000000000000e+01,4.782672144051615219e-03
