time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.000000000000000000e+00,5.000000000000000000e+00,9.999999999999998890e-01,1.000000000000000000e+00,9.999999999999998890e-01,1.400000000000000000e+01,1.200000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000178e+01,2.000000000000000000e+00
1.010101010101010083e-01,6.126459055232035489e+00,1.773181471607237603e+00,1.677107405868357048e+00,1.773181471607237603e+00,2.771605732511390841e+01,3.141733924755830287e+01,2.955452760786328525e+01,1.851745835606051216e+01,1.081273086332702427e+01,1.765692919984467979e+00
2.020202020202020166e-01,6.574242738895771154e+00,2.635531046977042990e+00,2.306607746105191481e+00,2.635531046977043879e+00,3.102297559751558254e+01,3.507743911831633454e+01,3.305157960613068013e+01,1.921960243263371382e+01,9.891083482307342578e+00,2.420136423914756474e+00
3.030303030303030387e-01,6.515319736907329684e+00,3.316092162898395479e+00,2.694354305615478840e+00,3.316092162898397255e+00,3.081859824871549591e+01,3.480320604595792133e+01,3.281086218572698243e+01,1.860599067347769520e+01,9.076753878799921793e+00,3.027196460774582487e+00
4.040404040404040331e-01,6.267293260881583450e+00,3.739978413335980356e+00,2.881272034376525681e+00,3.739978413335981688e+00,3.005651487384569620e+01,3.402731347846637533e+01,3.204110438908622172e+01,1.780116391037844537e+01,8.278894594696319942e+00,3.160322212083312099e+00
5.050505050505050830e-01,6.013879368321568997e+00,3.980442909930555384e+00,2.974721474935263732e+00,3.980442909930557160e+00,2.935912587648201111e+01,3.333303926381155691e+01,3.134522448080099366e+01,1.715611674153969801e+01,7.609146614888058657e+00,2.911660801534202481e+00
6.060606060606060774e-01,5.807890119002069973e+00,4.116022256774880539e+00,3.036608916516047252e+00,4.116022256774881427e+00,2.885818791971470176e+01,3.283918284283030431e+01,3.084800698002897335e+01,1.671906700055426498e+01,7.105734815320210451e+00,2.526572103186173202e+00
7.070707070707070718e-01,5.649602008071564541e+00,4.194259152825152270e+00,3.090627177094759315e+00,4.194259152825154935e+00,2.853102500945462694e+01,3.251837806591705515e+01,3.052422862886370325e+01,1.644148915444339920e+01,6.747418070776767252e+00,2.148182505636399231e+00
8.080808080808080662e-01,5.527370227746200015e+00,4.240477385933279386e+00,3.143852701632718016e+00,4.240477385933283827e+00,2.832526765580722028e+01,3.231719092747516697e+01,3.032091934977077230e+01,1.626909563180941376e+01,6.498977679642304217e+00,1.824372731436622042e+00
9.090909090909090606e-01,5.430161921950255710e+00,4.268180609555238370e+00,3.197604051462404229e+00,4.268180609555242810e+00,2.819766072143314517e+01,3.219259896869468207e+01,3.019493257766242422e+01,1.616280063759219487e+01,6.329301580842263242e+00,1.560489268731700463e+00
1.010101010101010166e+00,5.349936024553270997e+00,4.284857771711933161e+00,3.251523173765616281e+00,4.284857771711937602e+00,2.811902751145536783e+01,3.211588785447749217e+01,3.011733447040177580e+01,1.609755440191981180e+01,6.214780291187444128e+00,1.348463743601326037e+00
1.111111111111111160e+00,5.281317782643633940e+00,4.294838067333621723e+00,3.304932374813557949e+00,4.294838067333625276e+00,2.807089956288053756e+01,3.206897262538589644e+01,3.006985983023103515e+01,1.605780130464818711e+01,6.138397288016638420e+00,1.177968377937145927e+00
1.212121212121212155e+00,5.220834899954510888e+00,4.300705592681100420e+00,3.357231501088199010e+00,4.300705592681103084e+00,2.804177669618953672e+01,3.204061081625795282e+01,3.004114726563546611e+01,1.603391349340060756e+01,6.088135126402787201e+00,1.039845949537492986e+00
1.313131313131313149e+00,5.166271375329695381e+00,4.304036362564345630e+00,3.407980137585111979e+00,4.304036362564347407e+00,2.802450040452434266e+01,3.202381108295440271e+01,3.002412796502140324e+01,1.601990486228257637e+01,6.055598592000498215e+00,9.267968886272643925e-01
1.414141414141414144e+00,5.116213989940992413e+00,4.305804499919420714e+00,3.456886248534687844e+00,4.305804499919422490e+00,2.801459882455406358e+01,3.201420793203251236e+01,3.001438707102347081e+01,1.601203488677215248e+01,6.034974368720716242e+00,8.332259006766924436e-01
1.515151515151515138e+00,5.069754039480473651e+00,4.306617120064551330e+00,3.503773808309468052e+00,4.306617120064552218e+00,2.800926431580277765e+01,3.200905401607646894e+01,3.000915094828285845e+01,1.600795628221722922e+01,6.022270419505508343e+00,7.548993826805167062e-01
1.616161616161616132e+00,5.026298540434476436e+00,4.306853653289225647e+00,3.548551733439949007e+00,4.306853653289226536e+00,2.800673762227950903e+01,3.200664273092328216e+01,3.000668593276228791e+01,1.600619541522646827e+01,6.014771195852617325e+00,6.886186019992279750e-01
1.717171717171717127e+00,4.985450710884303582e+00,4.306751620600579145e+00,3.591188958735170633e+00,4.306751620600580033e+00,2.800590951446190857e+01,3.200588301365585409e+01,3.000589469287353594e+01,1.600582609534076894e+01,6.010646473689750913e+00,6.319559934575820215e-01
1.818181818181818121e+00,4.946935635306085821e+00,4.306459323468622813e+00,3.631695933854426350e+00,4.306459323468622813e+00,2.800608505185388353e+01,3.200609864139211425e+01,3.000609189377660257e+01,1.600626750586238600e+01,6.008673778458730297e+00,5.830550461647159288e-01
1.919191919191919116e+00,4.910554200104883193e+00,4.306068787251447816e+00,3.670111358882407249e+00,4.306068787251447816e+00,2.800682916483960128e+01,3.200686520861427908e+01,3.000684816100993402e+01,1.600715719463838127e+01,6.008044689931026916e+00,5.404835031671575418e-01
2.020202020202020332e+00,4.876154412537148986e+00,4.305636541378796700e+00,3.706492701201922202e+00,4.305636541378795812e+00,2.800787133168719834e+01,3.200791845221420573e+01,3.000789638223548295e+01,1.600827056028072448e+01,6.008229615780949828e+00,5.031254636108916101e-01
2.121212121212121104e+00,4.843613738765800036e+00,4.305196707590672744e+00,3.740909522075875682e+00,4.305196707590673633e+00,2.800904531202955283e+01,3.200909837427838056e+01,3.000907347823905980e+01,1.600947013004750374e+01,6.008885228585589822e+00,4.701028185391366021e-01
2.222222222222222321e+00,4.812828318220216062e+00,4.304769239827201943e+00,3.773438802218825661e+00,4.304769239827201943e+00,2.801025003708139138e+01,3.201030245274553465e+01,3.001027792721291121e+01,1.601067361753920792e+01,6.009791929322636506e+00,4.407179415291654356e-01
2.323232323232323093e+00,4.783706291384594245e+00,4.304365224953322411e+00,3.804161615081629755e+00,4.304365224953322411e+00,2.801142690761594167e+01,3.201147836229540644e+01,3.001145437520104053e+01,1.601183337277819874e+01,6.010811335202020267e+00,4.144112307433706066e-01
2.424242424242424310e+00,4.756163804937786566e+00,4.303990213766794248e+00,3.833160807628280153e+00,4.303990213766794248e+00,2.801254242376525738e+01,3.201259105424684748e+01,3.001256839319647085e+01,1.601292349416539906e+01,6.011858113600148990e+00,3.907296666824051634e-01
