time,connectedness
0.000000000000000000e+00,1.610009337752481429e+02
1.010101010101010083e-01,2.686261810646661274e+02
2.020202020202020166e-01,3.060123038558674011e+02
3.030303030303030387e-01,3.170131318636765059e+02
4.040404040404040331e-01,3.175032068201781499e+02
5.050505050505050830e-01,3.140638582972528638e+02
6.060606060606060774e-01,3.101699261091513904e+02
7.070707070707070718e-01,3.069670788197024081e+02
8.080808080808080662e-01,3.045881452766103621e+02
9.090909090909090606e-01,3.028819721457439300e+02
1.010101010101010166e+00,3.016685628559737324e+02
1.111111111111111160e+00,3.008024817262036663e+02
1.212121212121212155e+00,3.001780614789203128e+02
1.313131313131313149e+00,2.997214074255274454e+02
1.414141414141414144e+00,2.993815878238301025e+02
1.515151515151515138e+00,2.991236209819166447e+02
1.616161616161616132e+00,2.989235690618110084e+02
1.717171717171717127e+00,2.987649210366964780e+02
1.818181818181818121e+00,2.986362925903412702e+02
1.919191919191919116e+00,2.985297646129072291e+02
2.020202020202020332e+00,2.984397834926912196e+02
2.121212121212121104e+00,2.983624226230114118e+02
2.222222222222222321e+00,2.982948535849927794e+02
2.323232323232323093e+00,2.982350471645701759e+02
2.424242424242424310e+00,2.981814906632008615e+02
2.525252525252525082e+00,2.981330625270911128e+02
2.626262626262626299e+00,2.980889103065348991e+02
2.727272727272727071e+00,2.980483802773674142e+02
2.828282828282828287e+00,2.980109495612801425e+02
2.929292929292929060e+00,2.979762294869254902e+02
3.030303030303030276e+00,2.979438642111676359e+02
3.131313131313131048e+00,2.979136064791936747e+02
3.232323232323232265e+00,2.978852212545342013e+02
3.333333333333333481e+00,2.978585354412518313e+02
3.434343434343434254e+00,2.978333765044840220e+02
3.535353535353535470e+00,2.978096170258271513e+02
3.636363636363636243e+00,2.977871401970209035e+02
3.737373737373737459e+00,2.977658388133420431e+02
3.838383838383838231e+00,2.977456259656574389e+02
3.939393939393939448e+00,2.977264254463764246e+02
4.040404040404040664e+00,2.977081635263207318e+02
4.141414141414140992e+00,2.976907758902148657e+02
4.242424242424242209e+00,2.976742065704461879e+02
4.343434343434343425e+00,2.976584044650232386e+02
4.444444444444444642e+00,2.976433203905418168e+02
4.545454545454544970e+00,2.976289116582727274e+02
4.646464646464646187e+00,2.976151384074265707e+02
4.747474747474747403e+00,2.976019667571700893e+02
4.848484848484848619e+00,2.975893577988931042e+02
4.949494949494949836e+00,2.975772829123616248e+02
5.050505050505050164e+00,2.975657142444773058e+02
5.151515151515151381e+00,2.975546233400665983e+02
5.252525252525252597e+00,2.975439837887218459e+02
5.353535353535353813e+00,2.975337728911943032e+02
5.454545454545454142e+00,2.975239698124922256e+02
5.555555555555555358e+00,2.975145531338628757e+02
5.656565656565656575e+00,2.975055028715682397e+02
5.757575757575757791e+00,2.974968012351882294e+02
5.858585858585858119e+00,2.974884313767048525e+02
5.959595959595959336e+00,2.974803769093180108e+02
6.060606060606060552e+00,2.974726225426949213e+02
6.161616161616161769e+00,2.974651541694450998e+02
6.262626262626262097e+00,2.974579583704875745e+02
6.363636363636363313e+00,2.974510223157158748e+02
6.464646464646464530e+00,2.974443339742005037e+02
6.565656565656565746e+00,2.974378820675649422e+02
6.666666666666666963e+00,2.974316558746256192e+02
6.767676767676767291e+00,2.974256452083821500e+02
6.868686868686868507e+00,2.974198404682097703e+02
6.969696969696969724e+00,2.974142325878685824e+02
7.070707070707070940e+00,2.974088129542867023e+02
7.171717171717171269e+00,2.974035733945997890e+02
7.272727272727272485e+00,2.973985061771372784e+02
7.373737373737373701e+00,2.973936039741805644e+02
7.474747474747474918e+00,2.973888598233858147e+02
7.575757575757575246e+00,2.973842671145356462e+02
7.676767676767676463e+00,2.973798195772566260e+02
7.777777777777777679e+00,2.973755112560169778e+02
7.878787878787878896e+00,2.973713364880456425e+02
7.979797979797979224e+00,2.973672898904342787e+02
8.080808080808081328e+00,2.973633663465021186e+02
8.181818181818181657e+00,2.973595609885759927e+02
8.282828282828281985e+00,2.973558691831689771e+02
8.383838383838384090e+00,2.973522865195382110e+02
8.484848484848484418e+00,2.973488087979096690e+02
8.585858585858586522e+00,2.973454320170582719e+02
8.686868686868686851e+00,2.973421523633589914e+02
8.787878787878787179e+00,2.973389662012190797e+02
8.888888888888889284e+00,2.973358700635783407e+02
8.989898989898989612e+00,2.973328606425919816e+02
9.090909090909089940e+00,2.973299347811810662e+02
9.191919191919192045e+00,2.973270894652704328e+02
9.292929292929292373e+00,2.973243218162676271e+02
9.393939393939394478e+00,2.973216290838855684e+02
9.494949494949494806e+00,2.973190086395048297e+02
9.595959595959595134e+00,2.973164579699552519e+02
9.696969696969697239e+00,2.973139746715808656e+02
9.797979797979797567e+00,2.973115564446202370e+02
9.898989898989899672e+00,2.973092010879504983e+02
1.000000000000000000e+01,2.973069064941066699e+02
