time,linear_connectedness
0.000000000000000000e+00,1.400519966505030709e+02
1.010101010101010083e-01,2.466562342230714364e+02
2.020202020202020166e-01,3.062909271135571885e+02
3.030303030303030387e-01,3.548412633668083345e+02
4.040404040404040331e-01,3.794276335182635194e+02
5.050505050505050830e-01,3.854738487170491794e+02
6.060606060606060774e-01,3.841445941782878890e+02
7.070707070707070718e-01,3.808009065173053500e+02
8.080808080808080662e-01,3.773757001769689055e+02
9.090909090909090606e-01,3.744197268785509323e+02
1.010101010101010166e+00,3.720097772975726116e+02
1.111111111111111160e+00,3.700817642099851810e+02
1.212121212121212155e+00,3.685432635038532680e+02
1.313131313131313149e+00,3.673086902724165839e+02
1.414141414141414144e+00,3.663080442495904663e+02
1.515151515151515138e+00,3.654868744598239232e+02
1.616161616161616132e+00,3.648039941746800423e+02
1.717171717171717127e+00,3.642284082565695371e+02
1.818181818181818121e+00,3.637369881339191124e+02
1.919191919191919116e+00,3.633123909467734620e+02
2.020202020202020332e+00,3.629415373223338293e+02
2.121212121212121104e+00,3.626144904904794544e+02
2.222222222222222321e+00,3.623235742648609516e+02
2.323232323232323093e+00,3.620628661603673208e+02
2.424242424242424310e+00,3.618276550530197824e+02
2.525252525252525082e+00,3.616141989009698818e+02
2.626262626262626299e+00,3.614194713721722110e+02
2.727272727272727071e+00,3.612410042474782585e+02
2.828282828282828287e+00,3.610767342350028457e+02
2.929292929292929060e+00,3.609249969903471538e+02
3.030303030303030276e+00,3.607842979420156553e+02
3.131313131313131048e+00,3.606534647562279474e+02
3.232323232323232265e+00,3.605314277951918029e+02
3.333333333333333481e+00,3.604173184409668806e+02
3.434343434343434254e+00,3.603103287055240003e+02
3.535353535353535470e+00,3.602097991058948310e+02
3.636363636363636243e+00,3.601151387772397356e+02
3.737373737373737459e+00,3.600258161981336684e+02
3.838383838383838231e+00,3.599413791414550019e+02
3.939393939393939448e+00,3.598614274835395008e+02
4.040404040404040664e+00,3.597855943250781934e+02
4.141414141414140992e+00,3.597135551059577097e+02
4.242424242424242209e+00,3.596450245567873480e+02
4.343434343434343425e+00,3.595797452664407956e+02
4.444444444444444642e+00,3.595174805814046977e+02
4.545454545454544970e+00,3.594580206904902866e+02
4.646464646464646187e+00,3.594011752986297665e+02
4.747474747474747403e+00,3.593467771296532760e+02
4.848484848484848619e+00,3.592946580986151162e+02
4.949494949494949836e+00,3.592446802992168386e+02
5.050505050505050164e+00,3.591967156086533919e+02
5.151515151515151381e+00,3.591506410304820633e+02
5.252525252525252597e+00,3.591063438915647339e+02
5.353535353535353813e+00,3.590637245442904941e+02
5.454545454545454142e+00,3.590226926279507325e+02
5.555555555555555358e+00,3.589831603512116658e+02
5.656565656565656575e+00,3.589450465471616099e+02
5.757575757575757791e+00,3.589082785399990598e+02
5.858585858585858119e+00,3.588727883246878605e+02
5.959595959595959336e+00,3.588385118582034465e+02
6.060606060606060552e+00,3.588053894673845434e+02
6.161616161616161769e+00,3.587733662669999148e+02
6.262626262626262097e+00,3.587423910902044213e+02
6.363636363636363313e+00,3.587124152696879946e+02
6.464646464646464530e+00,3.586833938602483158e+02
6.565656565656565746e+00,3.586552846704494186e+02
6.666666666666666963e+00,3.586280481623849710e+02
6.767676767676767291e+00,3.586016465455462026e+02
6.868686868686868507e+00,3.585760450089417191e+02
6.969696969696969724e+00,3.585512106359301470e+02
7.070707070707070940e+00,3.585271119831297710e+02
7.171717171717171269e+00,3.585037198072799356e+02
7.272727272727272485e+00,3.584810062048716190e+02
7.373737373737373701e+00,3.584589448797062232e+02
7.474747474747474918e+00,3.584375110190783857e+02
7.575757575757575246e+00,3.584166808034332234e+02
7.676767676767676463e+00,3.583964317418522683e+02
7.777777777777777679e+00,3.583767429450802524e+02
7.878787878787878896e+00,3.583575938835898569e+02
7.979797979797979224e+00,3.583389653555344694e+02
8.080808080808081328e+00,3.583208389795269113e+02
8.181818181818181657e+00,3.583031974890919855e+02
8.282828282828281985e+00,3.582860240051531378e+02
8.383838383838384090e+00,3.582693029872460215e+02
8.484848484848484418e+00,3.582530189446059126e+02
8.585858585858586522e+00,3.582371575413806113e+02
8.686868686868686851e+00,3.582217047894571351e+02
8.787878787878787179e+00,3.582066478098402627e+02
8.888888888888889284e+00,3.581919733992053807e+02
8.989898989898989612e+00,3.581776697761408172e+02
9.090909090909089940e+00,3.581637251010886871e+02
9.191919191919192045e+00,3.581501283408678660e+02
9.292929292929292373e+00,3.581368685787523418e+02
9.393939393939394478e+00,3.581239357788581401e+02
9.494949494949494806e+00,3.581113199772933058e+02
9.595959595959595134e+00,3.580990116559429453e+02
9.696969696969697239e+00,3.580870015613920145e+02
9.797979797979797567e+00,3.580752809046978768e+02
9.898989898989899672e+00,3.580638415513873838e+02
1.000000000000000000e+01,3.580526748492780484e+02
