time,linear_potential
0.000000000000000000e+00,5.345314149563922967e+01
1.010101010101010083e-01,1.719154901542642904e+02
2.020202020202020166e-01,2.100507574612450412e+02
3.030303030303030387e-01,2.365184656683276501e+02
4.040404040404040331e-01,2.455399437592683398e+02
5.050505050505050830e-01,2.458594838280417605e+02
6.060606060606060774e-01,2.436866447227431536e+02
7.070707070707070718e-01,2.413426351973970725e+02
8.080808080808080662e-01,2.394399708102030786e+02
9.090909090909090606e-01,2.380267206358311967e+02
1.010101010101010166e+00,2.370107949146245687e+02
1.111111111111111160e+00,2.362884116271659707e+02
1.212121212121212155e+00,2.357749761425176303e+02
1.313131313131313149e+00,2.354078776810377178e+02
1.414141414141414144e+00,2.351425478426565121e+02
1.515151515151515138e+00,2.349477838168052983e+02
1.616161616161616132e+00,2.348020364863217821e+02
1.717171717171717127e+00,2.346903879781484648e+02
1.818181818181818121e+00,2.346025991800734971e+02
1.919191919191919116e+00,2.345316201467082919e+02
2.020202020202020332e+00,2.344725918068542967e+02
2.121212121212121104e+00,2.344221643500023902e+02
2.222222222222222321e+00,2.343779970506320467e+02
2.323232323232323093e+00,2.343384887222215411e+02
2.424242424242424310e+00,2.343024965380883486e+02
2.525252525252525082e+00,2.342692265356021437e+02
2.626262626262626299e+00,2.342381159062077529e+02
2.727272727272727071e+00,2.342087677958536744e+02
2.828282828282828287e+00,2.341808845325149093e+02
2.929292929292929060e+00,2.341542837263378658e+02
3.030303030303030276e+00,2.341287801975436196e+02
3.131313131313131048e+00,2.341042904593308265e+02
3.232323232323232265e+00,2.340807155603323793e+02
3.333333333333333481e+00,2.340580085237557455e+02
3.434343434343434254e+00,2.340361018310817087e+02
3.535353535353535470e+00,2.340149655677785461e+02
3.636363636363636243e+00,2.339945674674983422e+02
3.737373737373737459e+00,2.339748727473748318e+02
3.838383838383838231e+00,2.339558605406980973e+02
3.939393939393939448e+00,2.339375118606549790e+02
4.040404040404040664e+00,2.339198028887842895e+02
4.141414141414140992e+00,2.339027122728842869e+02
4.242424242424242209e+00,2.338862227991757265e+02
4.343434343434343425e+00,2.338703167257681912e+02
4.444444444444444642e+00,2.338549738997624843e+02
4.545454545454544970e+00,2.338401763633866892e+02
4.646464646464646187e+00,2.338259066774110408e+02
4.747474747474747403e+00,2.338121504664579788e+02
4.848484848484848619e+00,2.337988841075111281e+02
4.949494949494949836e+00,2.337860933931860643e+02
5.050505050505050164e+00,2.337737634421989128e+02
5.151515151515151381e+00,2.337618757773004461e+02
5.252525252525252597e+00,2.337504127744579705e+02
5.353535353535353813e+00,2.337393591141653815e+02
5.454545454545454142e+00,2.337287013599483885e+02
5.555555555555555358e+00,2.337184230095406008e+02
5.656565656565656575e+00,2.337085085720781024e+02
5.757575757575757791e+00,2.336989442037280753e+02
5.858585858585858119e+00,2.336897163302058686e+02
5.959595959595959336e+00,2.336808111094838409e+02
6.060606060606060552e+00,2.336722153057028208e+02
6.161616161616161769e+00,2.336639165043852699e+02
6.262626262626262097e+00,2.336559025616600422e+02
6.363636363636363313e+00,2.336481618298157628e+02
6.464646464646464530e+00,2.336406829379844510e+02
6.565656565656565746e+00,2.336334551142967086e+02
6.666666666666666963e+00,2.336264681571989570e+02
6.767676767676767291e+00,2.336197116229349717e+02
6.868686868686868507e+00,2.336131760199444329e+02
6.969696969696969724e+00,2.336068526552235198e+02
7.070707070707070940e+00,2.336007320794263933e+02
7.171717171717171269e+00,2.335948063535184929e+02
7.272727272727272485e+00,2.335890672932240761e+02
7.373737373737373701e+00,2.335835071384162802e+02
7.474747474747474918e+00,2.335781187443351712e+02
7.575757575757575246e+00,2.335728947302494021e+02
7.676767676767676463e+00,2.335678283490631202e+02
7.777777777777777679e+00,2.335629137057757703e+02
7.878787878787878896e+00,2.335581441687338042e+02
7.979797979797979224e+00,2.335535140294075802e+02
8.080808080808081328e+00,2.335490177073143059e+02
8.181818181818181657e+00,2.335446498533763986e+02
8.282828282828281985e+00,2.335404053509438143e+02
8.383838383838384090e+00,2.335362794499046970e+02
8.484848484848484418e+00,2.335322673724134290e+02
8.585858585858586522e+00,2.335283647665156366e+02
8.686868686868686851e+00,2.335245672309298754e+02
8.787878787878787179e+00,2.335208712181689350e+02
8.888888888888889284e+00,2.335172722125568043e+02
8.989898989898989612e+00,2.335137671700517217e+02
9.090909090909089940e+00,2.335103520138844715e+02
9.191919191919192045e+00,2.335070239584667888e+02
9.292929292929292373e+00,2.335037792095966154e+02
9.393939393939394478e+00,2.335006151970631834e+02
9.494949494949494806e+00,2.334975289544917416e+02
9.595959595959595134e+00,2.334945174608931495e+02
9.696969696969697239e+00,2.334915781477351686e+02
9.797979797979797567e+00,2.334887083121507487e+02
9.898989898989899672e+00,2.334859060281339396e+02
1.000000000000000000e+01,2.334831683160111311e+02
