time,potential
0.000000000000000000e+00,4.508766706370182646e+02
1.010101010101010083e-01,6.311616966247719347e+02
2.020202020202020166e-01,7.131885274862103188e+02
3.030303030303030387e-01,7.517727236333211067e+02
4.040404040404040331e-01,7.635801813235494819e+02
5.050505050505050830e-01,7.628379942012684296e+02
6.060606060606060774e-01,7.584236467604137033e+02
7.070707070707070718e-01,7.538195135214000402e+02
8.080808080808080662e-01,7.499747735277537686e+02
9.090909090909090606e-01,7.469762380109224296e+02
1.010101010101010166e+00,7.446844061599470024e+02
1.111111111111111160e+00,7.429335403031722080e+02
1.212121212121212155e+00,7.415837567215224908e+02
1.313131313131313149e+00,7.405282296906631245e+02
1.414141414141414144e+00,7.396885213939910955e+02
1.515151515151515138e+00,7.390079217855799243e+02
1.616161616161616132e+00,7.384457341706581701e+02
1.717171717171717127e+00,7.379726775726140886e+02
1.818181818181818121e+00,7.375676362248244686e+02
1.919191919191919116e+00,7.372152713473764152e+02
2.020202020202020332e+00,7.369043405057298060e+02
2.121212121212121104e+00,7.366265230219349860e+02
2.222222222222222321e+00,7.363755789809011958e+02
2.323232323232323093e+00,7.361467956960983656e+02
2.424242424242424310e+00,7.359365433571176709e+02
2.525252525252525082e+00,7.357420066668292975e+02
2.626262626262626299e+00,7.355609701024538936e+02
2.727272727272727071e+00,7.353916697892851744e+02
2.828282828282828287e+00,7.352326757335868024e+02
2.929292929292929060e+00,7.350828380115303844e+02
3.030303030303030276e+00,7.349411794281834318e+02
3.131313131313131048e+00,7.348069139606772069e+02
3.232323232323232265e+00,7.346793578313995567e+02
3.333333333333333481e+00,7.345579449878071046e+02
3.434343434343434254e+00,7.344421705046133866e+02
3.535353535353535470e+00,7.343316104256859944e+02
3.636363636363636243e+00,7.342258889358827219e+02
3.737373737373737459e+00,7.341246706366237049e+02
3.838383838383838231e+00,7.340276624037524016e+02
3.939393939393939448e+00,7.339346023930849015e+02
4.040404040404040664e+00,7.338452506340829586e+02
4.141414141414140992e+00,7.337593908863275374e+02
4.242424242424242209e+00,7.336768275096879961e+02
4.343434343434343425e+00,7.335973811108663085e+02
4.444444444444444642e+00,7.335208848978724063e+02
4.545454545454544970e+00,7.334471864790650670e+02
4.646464646464646187e+00,7.333761441697372447e+02
4.747474747474747403e+00,7.333076282181539227e+02
4.848484848484848619e+00,7.332415124324450062e+02
4.949494949494949836e+00,7.331776840682670127e+02
5.050505050505050164e+00,7.331160366580270420e+02
5.151515151515151381e+00,7.330564685431750149e+02
5.252525252525252597e+00,7.329988842717045827e+02
5.353535353535353813e+00,7.329431953608751655e+02
5.454545454545454142e+00,7.328893186869497640e+02
5.555555555555555358e+00,7.328371744796027087e+02
5.656565656565656575e+00,7.327866874510216348e+02
5.757575757575757791e+00,7.327377870827147035e+02
5.858585858585858119e+00,7.326904065442515730e+02
5.959595959595959336e+00,7.326444821604376330e+02
6.060606060606060552e+00,7.325999536684034865e+02
6.161616161616161769e+00,7.325567641138903809e+02
6.262626262626262097e+00,7.325148593599174092e+02
6.363636363636363313e+00,7.324741878787350515e+02
6.464646464646464530e+00,7.324347007675416990e+02
6.565656565656565746e+00,7.323963515969768423e+02
6.666666666666666963e+00,7.323590961657776006e+02
6.767676767676767291e+00,7.323228923817724763e+02
6.868686868686868507e+00,7.322877002014545269e+02
6.969696969696969724e+00,7.322534815039967953e+02
7.070707070707070940e+00,7.322201999509460393e+02
7.171717171717171269e+00,7.321878208982936940e+02
7.272727272727272485e+00,7.321563113230012050e+02
7.373737373737373701e+00,7.321256397276605412e+02
7.474747474747474918e+00,7.320957760484409391e+02
7.575757575757575246e+00,7.320666915840276943e+02
7.676767676767676463e+00,7.320383589293354589e+02
7.777777777777777679e+00,7.320107519036284884e+02
7.878787878787878896e+00,7.319838454837185964e+02
7.979797979797979224e+00,7.319576157464073276e+02
8.080808080808081328e+00,7.319320398132055061e+02
8.181818181818181657e+00,7.319070957951846594e+02
8.282828282828281985e+00,7.318827627418878592e+02
8.383838383838384090e+00,7.318590205948288485e+02
8.484848484848484418e+00,7.318358501428858744e+02
8.585858585858586522e+00,7.318132329792667861e+02
8.686868686868686851e+00,7.317911514613736017e+02
8.787878787878787179e+00,7.317695886733964699e+02
8.888888888888889284e+00,7.317485283906232780e+02
8.989898989898989612e+00,7.317279550454463788e+02
9.090909090909089940e+00,7.317078536954530819e+02
9.191919191919192045e+00,7.316882099933866357e+02
9.292929292929292373e+00,7.316690101585912771e+02
9.393939393939394478e+00,7.316502409499396435e+02
9.494949494949494806e+00,7.316318896402982546e+02
9.595959595959595134e+00,7.316139439923628061e+02
9.696969696969697239e+00,7.315963922357778983e+02
9.797979797979797567e+00,7.315792230454321725e+02
9.898989898989899672e+00,7.315624255209279454e+02
1.000000000000000000e+01,7.315459891669530634e+02
