time,R_energy_linear
0.000000000000000000e+00,-8.143605322439032898e+04
1.007751937984496110e-01,-1.106467855513644317e+05
2.015503875968992220e-01,-1.282250718771663378e+05
3.023255813953488191e-01,-1.320300606109926302e+05
4.031007751937984440e-01,-1.324684517011423304e+05
5.038759689922480689e-01,-1.325677680713334412e+05
6.046511627906976383e-01,-1.329909853711713222e+05
7.054263565891473187e-01,-1.337807803392775531e+05
8.062015503875968880e-01,-1.348434653022144339e+05
9.069767441860464574e-01,-1.360591018845608633e+05
1.007751937984496138e+00,-1.373070188656635291e+05
1.108527131782945707e+00,-1.384703873524270894e+05
1.209302325581395277e+00,-1.394458115094922541e+05
1.310077519379844846e+00,-1.401679714523734583e+05
1.410852713178294637e+00,-1.406121973160992493e+05
1.511627906976744207e+00,-1.407891079959293129e+05
1.612403100775193776e+00,-1.407737894248046796e+05
1.713178294573643345e+00,-1.407136869682965335e+05
1.813953488372092915e+00,-1.407331983602305118e+05
1.914728682170542706e+00,-1.408409270242979110e+05
2.015503875968992276e+00,-1.409586754435000767e+05
2.116279069767441623e+00,-1.410010433917694027e+05
2.217054263565891414e+00,-1.409349385978191858e+05
2.317829457364341206e+00,-1.408124671893336053e+05
2.418604651162790553e+00,-1.407351573664413590e+05
2.519379844961240345e+00,-1.407568899119390408e+05
2.620155038759689692e+00,-1.408406813272959262e+05
2.720930232558139483e+00,-1.409035661253279250e+05
2.821705426356589275e+00,-1.408830368011565297e+05
2.922480620155038622e+00,-1.408001717680061411e+05
3.023255813953488413e+00,-1.408023840828526008e+05
3.124031007751937761e+00,-1.411281803028612630e+05
3.224806201550387552e+00,-1.420109337030499300e+05
3.325581395348837344e+00,-1.436083899110047205e+05
3.426356589147286691e+00,-1.459604780062021746e+05
3.527131782945736482e+00,-1.489391458310635062e+05
3.627906976744185830e+00,-1.522336168172137113e+05
3.728682170542635621e+00,-1.554367617195051862e+05
3.829457364341085412e+00,-1.581985383670806186e+05
3.930232558139534760e+00,-1.603335031815780967e+05
4.031007751937984551e+00,-1.618234526130248269e+05
4.131782945736434343e+00,-1.627590178106999665e+05
4.232558139534883246e+00,-1.632904837055155076e+05
4.333333333333333037e+00,-1.635923709726831585e+05
4.434108527131782829e+00,-1.638083103663209477e+05
4.534883720930232620e+00,-1.640007121237317333e+05
4.635658914728682412e+00,-1.641564729879667866e+05
4.736434108527131315e+00,-1.642378476195379335e+05
4.837209302325581106e+00,-1.642361755915667454e+05
4.937984496124030898e+00,-1.641950370468314795e+05
5.038759689922480689e+00,-1.641799756518281938e+05
5.139534883720930480e+00,-1.642214985462289769e+05
5.240310077519379384e+00,-1.642955671925809875e+05
5.341085271317829175e+00,-1.643600448450786935e+05
5.441860465116278966e+00,-1.644224478432888282e+05
5.542635658914728758e+00,-1.646169793297101569e+05
5.643410852713178549e+00,-1.652485948261077865e+05
5.744186046511627453e+00,-1.667471647553575167e+05
5.844961240310077244e+00,-1.695387853277511022e+05
5.945736434108527035e+00,-1.738881105730290874e+05
6.046511627906976827e+00,-1.797434724207214604e+05
6.147286821705426618e+00,-1.866387570152929402e+05
6.248062015503875521e+00,-1.937704104023904947e+05
6.348837209302325313e+00,-2.002903132048199186e+05
6.449612403100775104e+00,-2.056293791684425378e+05
6.550387596899224896e+00,-2.096163426344197069e+05
6.651162790697674687e+00,-2.123808585068430984e+05
6.751937984496123590e+00,-2.141965645378542249e+05
6.852713178294573382e+00,-2.153671235342039145e+05
6.953488372093023173e+00,-2.161520019726201717e+05
7.054263565891472965e+00,-2.167180361430924095e+05
7.155038759689922756e+00,-2.171336870416826860e+05
7.255813953488371659e+00,-2.174109813240479562e+05
7.356589147286821451e+00,-2.175654942625765980e+05
7.457364341085271242e+00,-2.176498790265670686e+05
7.558139534883721034e+00,-2.177348662967167911e+05
7.658914728682170825e+00,-2.178655199949742237e+05
7.759689922480619728e+00,-2.180487576146440406e+05
7.860465116279069520e+00,-2.182965816981183598e+05
7.961240310077519311e+00,-2.187184462110505847e+05
8.062015503875969102e+00,-2.196408075643824413e+05
8.162790697674418894e+00,-2.216852051111033361e+05
8.263565891472868685e+00,-2.257035831462047645e+05
8.364341085271318477e+00,-2.325422688595658692e+05
8.465116279069766492e+00,-2.427039882975023647e+05
8.565891472868216283e+00,-2.560074097614344792e+05
