time,R_energy_linear_jacobian
0.000000000000000000e+00,-1.234565095226287667e+03
1.007751937984496110e-01,-1.254624770896623659e+03
2.015503875968992220e-01,-1.265255094433031218e+03
3.023255813953488191e-01,-1.274119978163818132e+03
4.031007751937984440e-01,-1.282955451658202946e+03
5.038759689922480689e-01,-1.290977221898592006e+03
6.046511627906976383e-01,-1.297664514861838825e+03
7.054263565891473187e-01,-1.303207651932763383e+03
8.062015503875968880e-01,-1.308014279791961371e+03
9.069767441860464574e-01,-1.312161438879410298e+03
1.007751937984496138e+00,-1.315307244198148510e+03
1.108527131782945707e+00,-1.317056305889493615e+03
1.209302325581395277e+00,-1.317381582109464034e+03
1.310077519379844846e+00,-1.316771675195041098e+03
1.410852713178294637e+00,-1.316017138249490699e+03
1.511627906976744207e+00,-1.315737653085670217e+03
1.612403100775193776e+00,-1.315978037253848015e+03
1.713178294573643345e+00,-1.316247895899571631e+03
1.813953488372092915e+00,-1.315999385775316568e+03
1.914728682170542706e+00,-1.315128952863952691e+03
2.015503875968992276e+00,-1.314123909821963935e+03
2.116279069767441623e+00,-1.313797271439716269e+03
2.217054263565891414e+00,-1.314843433620778114e+03
2.317829457364341206e+00,-1.317582491367577632e+03
2.418604651162790553e+00,-1.322099674280630097e+03
2.519379844961240345e+00,-1.328589436276375864e+03
2.620155038759689692e+00,-1.337516711775649128e+03
2.720930232558139483e+00,-1.349411995549308813e+03
2.821705426356589275e+00,-1.364446883833224547e+03
2.922480620155038622e+00,-1.382121698457661978e+03
3.023255813953488413e+00,-1.401328144053977439e+03
3.124031007751937761e+00,-1.420752104402773966e+03
3.224806201550387552e+00,-1.439313846880967958e+03
3.325581395348837344e+00,-1.456355498400301258e+03
3.426356589147286691e+00,-1.471519537964913070e+03
3.527131782945736482e+00,-1.484503344116134031e+03
3.627906976744185830e+00,-1.494959388014818160e+03
3.728682170542635621e+00,-1.502652292112636587e+03
3.829457364341085412e+00,-1.507709600329536443e+03
3.930232558139534760e+00,-1.510704705632892910e+03
4.031007751937984551e+00,-1.512463322504004054e+03
