time,R_loc
0.000000000000000000e+00,-3.937388927827891294e+00
1.007751937984496110e-01,-2.657126354690346304e+00
2.015503875968992220e-01,-9.731452269319825765e-01
3.023255813953488191e-01,-5.120379899896805309e-01
4.031007751937984440e-01,-8.087802909617636260e-01
5.038759689922480689e-01,-1.222374112319624118e+00
6.046511627906976383e-01,-1.460334519642891848e+00
7.054263565891473187e-01,-1.444297666686189530e+00
8.062015503875968880e-01,-1.224600632787620214e+00
9.069767441860464574e-01,-9.155496030199827828e-01
1.007751937984496138e+00,-9.732294750521465199e-01
1.108527131782945707e+00,-1.523770661145912086e+00
1.209302325581395277e+00,-1.583625590342385481e+00
1.310077519379844846e+00,-9.056442712612167156e-01
1.410852713178294637e+00,-4.146754174021015649e-01
1.511627906976744207e+00,-2.858521236987398018e-01
1.612403100775193776e+00,-5.204439545714034665e-01
1.713178294573643345e+00,-8.810562683314593357e-01
1.813953488372092915e+00,-1.242925158295715704e+00
1.914728682170542706e+00,-1.485069970330599176e+00
2.015503875968992276e+00,-1.533131524289466086e+00
2.116279069767441623e+00,-1.388893439702165722e+00
2.217054263565891414e+00,-1.117720969445734625e+00
2.317829457364341206e+00,-8.112108853541855069e-01
2.418604651162790553e+00,-5.425741436138054041e-01
2.519379844961240345e+00,-3.429547769107088584e-01
2.620155038759689692e+00,-2.094240200145591757e-01
2.720930232558139483e+00,-2.390619611667498812e-01
2.821705426356589275e+00,-2.290169874019643004e-01
2.922480620155038622e+00,-4.376736799649449949e-01
3.023255813953488413e+00,-7.248176083773927303e-01
3.124031007751937761e+00,-1.025608560079049880e+00
3.224806201550387552e+00,-1.246137643962086372e+00
3.325581395348837344e+00,-1.316955148933374176e+00
3.426356589147286691e+00,-1.226333103288013149e+00
3.527131782945736482e+00,-1.018284456311135955e+00
3.627906976744185830e+00,-7.649224129657739013e-01
3.728682170542635621e+00,-5.300302927668809616e-01
3.829457364341085412e+00,-3.465127254020927694e-01
3.930232558139534760e+00,-2.182277663020926184e-01
4.031007751937984551e+00,-1.634503664021091929e-01
4.131782945736434343e+00,-2.411836726723404212e-01
4.232558139534883246e+00,-4.316878038368443526e-01
4.333333333333333037e+00,-6.803368796104436456e-01
4.434108527131782829e+00,-9.301981471754316999e-01
4.534883720930232620e+00,-1.105119122879472116e+00
4.635658914728682412e+00,-1.151544648081426203e+00
4.736434108527131315e+00,-1.064154020236074416e+00
4.837209302325581106e+00,-8.825979920246140864e-01
4.937984496124030898e+00,-6.668647682950279432e-01
5.038759689922480689e+00,-4.678195780760674438e-01
5.139534883720930480e+00,-3.111399839994533068e-01
5.240310077519379384e+00,-1.999578853051353633e-01
5.341085271317829175e+00,-1.555855408952311336e-01
5.441860465116278966e+00,-2.833995708106940015e-01
5.542635658914728758e+00,-4.712299468412339820e-01
5.643410852713178549e+00,-6.944975858846902383e-01
5.744186046511627453e+00,-8.971400387025596501e-01
5.844961240310077244e+00,-1.017636351186013144e+00
5.945736434108527035e+00,-1.021763176289880448e+00
6.046511627906976827e+00,-9.174665507316603907e-01
6.147286821705426618e+00,-7.458992081765813964e-01
6.248062015503875521e+00,-5.577741046813855519e-01
6.348837209302325313e+00,-3.909422092718273234e-01
6.449612403100775104e+00,-2.618669991960587140e-01
6.550387596899224896e+00,-1.705648257077641006e-01
6.651162790697674687e+00,-2.057716966263889447e-01
6.751937984496123590e+00,-3.483293634642947723e-01
6.852713178294573382e+00,-5.353953116404852608e-01
6.953488372093023173e+00,-7.315262213758444432e-01
7.054263565891472965e+00,-8.829647364372306129e-01
7.155038759689922756e+00,-9.446522262201995090e-01
7.255813953488371659e+00,-9.029664105320023282e-01
7.356589147286821451e+00,-7.792902452230521249e-01
7.457364341085271242e+00,-6.154117788703672431e-01
7.558139534883721034e+00,-4.521562433357217969e-01
7.658914728682170825e+00,-3.148451961365594798e-01
7.759689922480619728e+00,-2.115325642426668651e-01
7.860465116279069520e+00,-1.625915493352891872e-01
7.961240310077519311e+00,-2.744571876434065416e-01
8.062015503875969102e+00,-4.301509535231673453e-01
8.162790697674418894e+00,-6.087232820028987135e-01
8.263565891472868685e+00,-7.677133826433646391e-01
8.364341085271318477e+00,-8.615145601353901839e-01
8.465116279069766492e+00,-8.646222404706804809e-01
8.565891472868216283e+00,-7.828209422910958892e-01
8.666666666666666075e+00,-6.468373268120330977e-01
8.767441860465115866e+00,-4.950033343220638926e-01
8.868217054263565657e+00,-3.569026700844801780e-01
8.968992248062015449e+00,-2.467758637436645586e-01
9.069767441860465240e+00,-1.663577198218746389e-01
9.170542635658915032e+00,-2.284710773903242398e-01
9.271317829457364823e+00,-3.599251856556406892e-01
9.372093023255814614e+00,-5.196547148145214123e-01
9.472868217054262630e+00,-6.752243990604256396e-01
9.573643410852712421e+00,-7.848497114437691380e-01
9.674418604651162212e+00,-8.178115864510004940e-01
9.775193798449612004e+00,-7.691518124630647435e-01
9.875968992248061795e+00,-6.595097632455804160e-01
9.976744186046511587e+00,-5.223703523071776544e-01
1.007751937984496138e+01,-3.882853225611881953e-01
1.017829457364341117e+01,-2.755155015243815342e-01
1.027906976744186096e+01,-1.897472372558439702e-01
1.037984496124031075e+01,-1.988980817824170799e-01
1.048062015503875877e+01,-3.122369993668883126e-01
1.058139534883720856e+01,-4.551768624239116434e-01
1.068217054263565835e+01,-6.029559704856524149e-01
1.078294573643410814e+01,-7.187899022653709835e-01
1.088372093023255793e+01,-7.706392857187438494e-01
1.098449612403100772e+01,-7.467940399408234953e-01
1.108527131782945752e+01,-6.597991557555360487e-01
1.118604651162790731e+01,-5.377862066779925954e-01
1.128682170542635710e+01,-4.103339810157535794e-01
1.138759689922480689e+01,-2.978977731160625808e-01
1.148837209302325491e+01,-2.091813797733266256e-01
1.158914728682170470e+01,-1.794228681184506513e-01
1.168992248062015449e+01,-2.792895017478258524e-01
1.179069767441860428e+01,-4.082402611516044999e-01
1.189147286821705407e+01,-5.470469988111403836e-01
1.199224806201550386e+01,-6.637085707694723169e-01
1.209302325581395365e+01,-7.268779640412503795e-01
1.219379844961240345e+01,-7.209500338944963005e-01
1.229457364341085324e+01,-6.524192492918245989e-01
1.239534883720930303e+01,-5.444601889337263856e-01
1.249612403100775104e+01,-4.247272284985115220e-01
1.259689922480620083e+01,-3.145513804980737405e-01
1.269767441860465063e+01,-2.247399755184176229e-01
1.279844961240310042e+01,-1.664471147577728516e-01
1.289922480620155021e+01,-2.562389225246874958e-01
1.300000000000000000e+01,-3.738373592909738363e-01
