time,R_spec
0.000000000000000000e+00,2.396147103040925349e-05
1.007751937984496110e-01,2.850654577796411077e-05
2.015503875968992220e-01,5.165347097038045388e-05
3.023255813953488191e-01,1.178308717399671605e-04
4.031007751937984440e-01,2.450864022406301179e-04
5.038759689922480689e-01,4.591030062398443468e-04
6.046511627906976383e-01,7.651575258762685627e-04
7.054263565891473187e-01,1.118767822425301151e-03
8.062015503875968880e-01,1.361379058150341548e-03
9.069767441860464574e-01,1.400574976348963399e-03
1.007751937984496138e+00,1.252685631324238023e-03
1.108527131782945707e+00,9.921041382505192685e-04
1.209302325581395277e+00,7.064826501532589509e-04
1.310077519379844846e+00,4.645877182639368552e-04
1.410852713178294637e+00,3.057729299975192605e-04
1.511627906976744207e+00,2.388240907128524881e-04
1.612403100775193776e+00,2.527674586621855846e-04
1.713178294573643345e+00,3.467949370879255810e-04
1.813953488372092915e+00,5.219358613335126074e-04
1.914728682170542706e+00,7.808445198041955027e-04
2.015503875968992276e+00,1.104260950218378511e-03
2.116279069767441623e+00,1.429111244040833601e-03
2.217054263565891414e+00,1.581563643562009262e-03
2.317829457364341206e+00,1.517084018619634187e-03
2.418604651162790553e+00,1.284518279578818114e-03
2.519379844961240345e+00,9.816795928209512412e-04
2.620155038759689692e+00,7.044778141332540961e-04
2.720930232558139483e+00,5.221963658417817268e-04
2.821705426356589275e+00,4.640652979496946978e-04
2.922480620155038622e+00,5.390636205900960209e-04
3.023255813953488413e+00,7.441678553564007315e-04
3.124031007751937761e+00,1.080419218631316824e-03
3.224806201550387552e+00,1.540189340401704188e-03
3.325581395348837344e+00,2.083652688788684149e-03
3.426356589147286691e+00,2.595372517186708694e-03
3.527131782945736482e+00,2.837771368867134103e-03
3.627906976744185830e+00,2.750603693830379337e-03
3.728682170542635621e+00,2.367848950721300819e-03
3.829457364341085412e+00,1.852051973039545163e-03
3.930232558139534760e+00,1.353289203742863434e-03
4.031007751937984551e+00,9.830176513207777855e-04
4.131782945736434343e+00,7.734717711479002777e-04
4.232558139534883246e+00,7.558134733605115230e-04
4.333333333333333037e+00,9.077580638331902985e-04
4.434108527131782829e+00,1.207222390563290892e-03
4.534883720930232620e+00,1.629715380436110028e-03
4.635658914728682412e+00,2.122956887649882912e-03
4.736434108527131315e+00,2.528406351823866451e-03
4.837209302325581106e+00,2.710126513643166396e-03
4.937984496124030898e+00,2.611938192481582169e-03
5.038759689922480689e+00,2.261929391637512547e-03
5.139534883720930480e+00,1.820803365925248180e-03
5.240310077519379384e+00,1.434044929546654263e-03
5.341085271317829175e+00,1.199111732944817786e-03
5.441860465116278966e+00,1.183639312176719589e-03
5.542635658914728758e+00,1.405756609141088891e-03
5.643410852713178549e+00,1.836226634230668682e-03
5.744186046511627453e+00,2.428316649696205497e-03
5.844961240310077244e+00,3.128851126414172734e-03
5.945736434108527035e+00,3.785493538553612314e-03
6.046511627906976827e+00,4.203495007150358231e-03
6.147286821705426618e+00,4.260529056141056960e-03
6.248062015503875521e+00,3.939307451231296650e-03
6.348837209302325313e+00,3.334675471971849242e-03
6.449612403100775104e+00,2.653343552501581659e-03
6.550387596899224896e+00,2.054460902672299027e-03
6.651162790697674687e+00,1.665037526639441545e-03
6.751937984496123590e+00,1.548428294546544404e-03
6.852713178294573382e+00,1.698227555212594719e-03
6.953488372093023173e+00,2.070656461991442210e-03
7.054263565891472965e+00,2.599789820213437019e-03
7.155038759689922756e+00,3.185436336621431073e-03
7.255813953488371659e+00,3.684918435519885481e-03
7.356589147286821451e+00,3.949134461589870471e-03
7.457364341085271242e+00,3.892475620874144039e-03
7.558139534883721034e+00,3.543139145057765983e-03
7.658914728682170825e+00,3.032509715489891365e-03
7.759689922480619728e+00,2.541196111479843492e-03
7.860465116279069520e+00,2.235450377337403448e-03
7.961240310077519311e+00,2.215682734956006712e-03
8.062015503875969102e+00,2.496311293666463732e-03
8.162790697674418894e+00,3.023239446870061402e-03
8.263565891472868685e+00,3.703772066821449556e-03
8.364341085271318477e+00,4.418398818846620314e-03
8.465116279069766492e+00,5.020787058100811134e-03
8.565891472868216283e+00,5.361030033884339047e-03
8.666666666666666075e+00,5.341263102614231956e-03
8.767441860465115866e+00,4.963700786787672917e-03
8.868217054263565657e+00,4.332115799955805688e-03
8.968992248062015449e+00,3.613527781380850706e-03
9.069767441860465240e+00,2.987271306402645987e-03
9.170542635658915032e+00,2.594855699966543139e-03
9.271317829457364823e+00,2.503181086031636832e-03
9.372093023255814614e+00,2.700810482467033008e-03
9.472868217054262630e+00,3.123660758118512737e-03
9.573643410852712421e+00,3.678271814155018027e-03
9.674418604651162212e+00,4.245812055423892756e-03
9.775193798449612004e+00,4.687741147953156280e-03
9.875968992248061795e+00,4.880312170645482485e-03
9.976744186046511587e+00,4.768591867118244371e-03
1.007751937984496138e+01,4.399530539229670051e-03
1.017829457364341117e+01,3.909622050160220345e-03
1.027906976744186096e+01,3.476416169562185875e-03
1.037984496124031075e+01,3.253699388338971744e-03
1.048062015503875877e+01,3.314496075431078159e-03
1.058139534883720856e+01,3.634868917811785206e-03
1.068217054263565835e+01,4.126174534741674366e-03
1.078294573643410814e+01,4.678007556618351756e-03
1.088372093023255793e+01,5.177982252335880733e-03
1.098449612403100772e+01,5.518365316241670773e-03
1.108527131782945752e+01,5.614577803256078775e-03
1.118604651162790731e+01,5.434361170660888599e-03
1.128682170542635710e+01,5.014456159745600897e-03
1.138759689922480689e+01,4.452048602643920994e-03
1.148837209302325491e+01,3.878940849297577570e-03
1.158914728682170470e+01,3.427979597395089395e-03
1.168992248062015449e+01,3.194900001584656535e-03
1.179069767441860428e+01,3.210356186794039585e-03
1.189147286821705407e+01,3.442610124189476872e-03
1.199224806201550386e+01,3.822674931740106807e-03
1.209302325581395365e+01,4.263222335818116909e-03
1.219379844961240345e+01,4.664454873892324993e-03
1.229457364341085324e+01,4.926168717686411035e-03
1.239534883720930303e+01,4.977857635184183491e-03
1.249612403100775104e+01,4.811713959488600131e-03
1.259689922480620083e+01,4.493126530107235082e-03
1.269767441860465063e+01,4.139449201924107549e-03
1.279844961240310042e+01,3.875609268631150656e-03
1.289922480620155021e+01,3.783564901333425108e-03
1.300000000000000000e+01,3.873123472073012642e-03
