time,Rspec_hyper
0.000000000000000000e+00,1.185533999729523565e-04
1.007751937984496110e-01,1.873610944721154983e-04
2.015503875968992220e-01,3.431989974837237282e-04
3.023255813953488191e-01,6.064128979107457230e-04
4.031007751937984440e-01,9.166756720473223478e-04
5.038759689922480689e-01,1.170502385169834743e-03
6.046511627906976383e-01,1.296296714005964329e-03
7.054263565891473187e-01,1.282053552287820307e-03
8.062015503875968880e-01,1.156558788613737052e-03
9.069767441860464574e-01,9.680027105875802385e-04
1.007751937984496138e+00,7.674505673262924229e-04
1.108527131782945707e+00,5.946372857554118110e-04
1.209302325581395277e+00,4.733066495251110487e-04
1.310077519379844846e+00,4.182923610494588434e-04
1.410852713178294637e+00,4.440669468797546308e-04
1.511627906976744207e+00,5.612345592482428491e-04
1.612403100775193776e+00,7.579258465390387427e-04
1.713178294573643345e+00,9.873202645224944847e-04
1.813953488372092915e+00,1.185655606426066783e-03
1.914728682170542706e+00,1.304128236197011270e-03
2.015503875968992276e+00,1.322574332456127920e-03
2.116279069767441623e+00,1.245505310866678586e-03
2.217054263565891414e+00,1.096223213787825453e-03
2.317829457364341206e+00,9.115270170856825619e-04
2.418604651162790553e+00,7.318419225874001413e-04
2.519379844961240345e+00,5.900462024571548770e-04
2.620155038759689692e+00,5.079962802556953119e-04
2.720930232558139483e+00,5.002054944116913690e-04
2.821705426356589275e+00,5.740028052134713097e-04
2.922480620155038622e+00,7.198606958828707592e-04
3.023255813953488413e+00,9.023732812131987115e-04
3.124031007751937761e+00,1.069335851542522944e-03
3.224806201550387552e+00,1.174993537210020870e-03
3.325581395348837344e+00,1.196120721721422812e-03
3.426356589147286691e+00,1.133686519910248602e-03
3.527131782945736482e+00,1.007829183294179547e-03
3.627906976744185830e+00,8.507131935627822421e-04
3.728682170542635621e+00,6.970488318058251989e-04
3.829457364341085412e+00,5.753813618436156435e-04
3.930232558139534760e+00,5.052051232595199939e-04
4.031007751937984551e+00,4.987047932534803595e-04
4.131782945736434343e+00,5.600021256286981820e-04
4.232558139534883246e+00,6.786094375902473972e-04
4.333333333333333037e+00,8.249001244806633461e-04
4.434108527131782829e+00,9.580606389031447439e-04
4.534883720930232620e+00,1.042596683701929507e-03
4.635658914728682412e+00,1.059774756934637671e-03
4.736434108527131315e+00,1.009568481740370002e-03
4.837209302325581106e+00,9.076923376553805260e-04
4.937984496124030898e+00,7.803577244010337019e-04
5.038759689922480689e+00,6.567975811467455065e-04
5.139534883720930480e+00,5.622102594319503682e-04
5.240310077519379384e+00,5.146798122468681635e-04
5.341085271317829175e+00,5.247310072617084476e-04
5.441860465116278966e+00,5.926323282644393401e-04
5.542635658914728758e+00,7.031042701050218679e-04
5.643410852713178549e+00,8.250060241027992736e-04
5.744186046511627453e+00,9.217147836719664228e-04
5.844961240310077244e+00,9.658282723059737323e-04
5.945736434108527035e+00,9.477142072154469497e-04
6.046511627906976827e+00,8.754418845530911701e-04
6.147286821705426618e+00,7.694813678200461502e-04
6.248062015503875521e+00,6.552702998346504951e-04
6.348837209302325313e+00,5.562736655731918617e-04
6.449612403100775104e+00,4.901507003570639703e-04
6.550387596899224896e+00,4.681575203643042419e-04
6.651162790697674687e+00,4.946662779659747244e-04
6.751937984496123590e+00,5.643414860481102847e-04
6.852713178294573382e+00,6.595879208134674664e-04
6.953488372093023173e+00,7.538207697568907045e-04
7.054263565891472965e+00,8.208250590397965594e-04
7.155038759689922756e+00,8.437324598993759927e-04
7.255813953488371659e+00,8.187937809420826538e-04
7.356589147286821451e+00,7.545468501436733769e-04
7.457364341085271242e+00,6.682936530681149196e-04
7.558139534883721034e+00,5.809224492932133031e-04
7.658914728682170825e+00,5.117508116745212669e-04
7.759689922480619728e+00,4.753209037543761279e-04
7.860465116279069520e+00,4.797807606468496152e-04
7.961240310077519311e+00,5.246579862005866773e-04
8.062015503875969102e+00,5.981191286411654661e-04
8.162790697674418894e+00,6.777962229596045957e-04
8.263565891472868685e+00,7.380933589256240268e-04
8.364341085271318477e+00,7.602771086005751053e-04
8.465116279069766492e+00,7.387248058202972728e-04
8.565891472868216283e+00,6.807612658698083703e-04
8.666666666666666075e+00,6.020425352011166131e-04
8.767441860465115866e+00,5.206676900606554753e-04
8.868217054263565657e+00,4.525828564006385401e-04
8.968992248062015449e+00,4.094298515300546929e-04
9.069767441860465240e+00,3.980638787679341667e-04
9.170542635658915032e+00,4.198381346228565510e-04
9.271317829457364823e+00,4.689617509169779564e-04
9.372093023255814614e+00,5.319600000982221532e-04
9.472868217054262630e+00,5.908204924917185609e-04
9.573643410852712421e+00,6.290378427903422229e-04
9.674418604651162212e+00,6.368654953188169088e-04
9.775193798449612004e+00,6.134118987775297356e-04
9.875968992248061795e+00,5.658421742850364838e-04
9.976744186046511587e+00,5.066917715431144224e-04
1.007751937984496138e+01,4.502391894044861917e-04
1.017829457364341117e+01,4.091882490869369485e-04
1.027906976744186096e+01,3.924801310125637091e-04
1.037984496124031075e+01,4.037120168701424086e-04
1.048062015503875877e+01,4.393862175718778835e-04
1.058139534883720856e+01,4.880838968690994362e-04
1.068217054263565835e+01,5.330480785793651789e-04
1.078294573643410814e+01,5.584051255407580100e-04
1.088372093023255793e+01,5.554225390191935060e-04
1.098449612403100772e+01,5.249212199347373306e-04
1.108527131782945752e+01,4.752902517316393970e-04
1.118604651162790731e+01,4.183510158653385227e-04
1.128682170542635710e+01,3.655976770292476089e-04
1.138759689922480689e+01,3.260737741894198407e-04
1.148837209302325491e+01,3.056942341916252031e-04
1.158914728682170470e+01,3.069726892503597772e-04
1.168992248062015449e+01,3.283342320838566943e-04
1.179069767441860428e+01,3.634516439042655058e-04
1.189147286821705407e+01,4.020699706428809738e-04
1.199224806201550386e+01,4.329358132744526256e-04
1.209302325581395365e+01,4.474408532655779975e-04
1.219379844961240345e+01,4.420370248694427103e-04
1.229457364341085324e+01,4.187120257775577264e-04
1.239534883720930303e+01,3.838843235395192040e-04
1.249612403100775104e+01,3.463315903719999455e-04
1.259689922480620083e+01,3.148746537883470630e-04
1.269767441860465063e+01,2.964989524602667636e-04
1.279844961240310042e+01,2.950198873207485499e-04
1.289922480620155021e+01,3.099303250798892588e-04
1.300000000000000000e+01,3.356590633876468900e-04
