time,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.000000000000000000e+00,7.000000000000000000e+00,9.999999999999998890e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,1.200000000000000000e+01,1.300000000000000000e+01,2.999999999999999889e-01,2.999999999999999889e-01
1.007751937984496110e-01,6.372092117893468632e+00,1.620615541348668920e+00,9.416862098802980530e-01,9.112270328402950481e-01,1.274841590023341809e+01,1.524351564495412426e+01,1.396964460204798719e+01,3.006885288252767463e-01,3.002633315177961060e-01
2.015503875968992220e-01,5.742585209235250510e+00,2.465061598498510254e+00,9.536073969296608999e-01,8.272319554300545663e-01,1.242798018505014035e+01,1.608600692847255687e+01,1.422197201577736259e+01,3.033324155012716017e-01,3.004627944801543382e-01
3.023255813953488191e-01,5.024692223516409761e+00,3.431465375853415711e+00,1.037524107962833009e+00,7.389721495575107824e-01,1.234215301422098143e+01,1.626444838790715863e+01,1.428731594578157882e+01,3.114625923014556208e-01,3.006088395076090269e-01
4.031007751937984440e-01,4.254927071400629757e+00,4.324575860964885443e+00,1.212626613259308872e+00,6.528919816573088841e-01,1.232775214914237516e+01,1.631127126834025631e+01,1.431395736414958186e+01,3.308013063020525113e-01,3.007110661885621372e-01
5.038759689922480689e-01,3.514267158027550408e+00,4.962890745182232166e+00,1.507084530728873606e+00,5.806120710416191599e-01,1.234422964196586747e+01,1.634416460665831394e+01,1.434262146575116859e+01,3.667356734029694754e-01,3.007818599929558134e-01
6.046511627906976383e-01,2.862016774690361753e+00,5.266039557052875075e+00,1.949038649315562255e+00,5.315408320110822649e-01,1.238239720433998770e+01,1.638884639467501358e+01,1.438547850411186602e+01,4.206686873761428247e-01,3.008334661721568937e-01
7.054263565891473187e-01,2.316583883492258078e+00,5.246691995345730497e+00,2.549301155261558982e+00,5.115426129796222243e-01,1.243810766544445912e+01,1.644843438743022901e+01,1.444371616353173060e+01,4.879852388995011281e-01,3.008758483142309204e-01
8.062015503875968880e-01,1.871620349869526523e+00,4.965902173119636664e+00,3.277338960139915880e+00,5.258300610542493425e-01,1.250450782361509638e+01,1.651699402532283756e+01,1.451148348844024127e+01,5.589338605604085020e-01,3.009174107023888656e-01
9.069767441860464574e-01,1.514907116759188543e+00,4.507066433474594014e+00,4.049407619346245824e+00,5.825172398003796159e-01,1.257183514013020798e+01,1.658456790915062129e+01,1.457905094552588210e+01,6.227332690281062177e-01,3.009680495958398927e-01
