time,connectedness
0.000000000000000000e+00,9.861345375432807714e+01
1.007751937984496110e-01,1.029639700215916491e+02
2.015503875968992220e-01,1.050782994473047296e+02
3.023255813953488191e-01,1.069036833116563514e+02
4.031007751937984440e-01,1.086754327265039279e+02
5.038759689922480689e-01,1.100870980190860990e+02
6.046511627906976383e-01,1.109772354385214044e+02
7.054263565891473187e-01,1.114180164230291581e+02
8.062015503875968880e-01,1.115393699986535552e+02
9.069767441860464574e-01,1.114201585355876745e+02
1.007751937984496138e+00,1.111140364651209183e+02
1.108527131782945707e+00,1.107099565641594268e+02
1.209302325581395277e+00,1.103461758592526536e+02
1.310077519379844846e+00,1.101783146473714652e+02
1.410852713178294637e+00,1.103323273404680407e+02
1.511627906976744207e+00,1.108523332862226738e+02
1.612403100775193776e+00,1.116495269031362199e+02
1.713178294573643345e+00,1.125031071257446911e+02
1.813953488372092915e+00,1.131672113111580984e+02
1.914728682170542706e+00,1.135072044910330504e+02
2.015503875968992276e+00,1.135290715799726371e+02
2.116279069767441623e+00,1.133076174860170369e+02
2.217054263565891414e+00,1.129154024780930570e+02
2.317829457364341206e+00,1.124083992199559958e+02
2.418604651162790553e+00,1.118528725403364064e+02
2.519379844961240345e+00,1.113478410169799417e+02
2.620155038759689692e+00,1.110166247257283203e+02
2.720930232558139483e+00,1.109747065453402399e+02
2.821705426356589275e+00,1.112898512883794098e+02
2.922480620155038622e+00,1.119463435862240175e+02
3.023255813953488413e+00,1.128389513490442368e+02
3.124031007751937761e+00,1.138257954848077702e+02
3.224806201550387552e+00,1.148068534900768611e+02
3.325581395348837344e+00,1.157455479628384296e+02
3.426356589147286691e+00,1.166199130043651735e+02
3.527131782945736482e+00,1.173753075888711948e+02
3.627906976744185830e+00,1.179388232738717193e+02
3.728682170542635621e+00,1.182804411895276218e+02
3.829457364341085412e+00,1.184553624611432809e+02
3.930232558139534760e+00,1.185875029744988325e+02
4.031007751937984551e+00,1.188118051502148944e+02
4.131782945736434343e+00,1.192112690798320358e+02
4.232558139534883246e+00,1.197727549060958125e+02
4.333333333333333037e+00,1.203854315428283144e+02
4.434108527131782829e+00,1.208984412368437518e+02
4.534883720930232620e+00,1.212029052662955451e+02
4.635658914728682412e+00,1.212706662464459129e+02
4.736434108527131315e+00,1.211332428727315005e+02
4.837209302325581106e+00,1.208439526029811049e+02
4.937984496124030898e+00,1.204620789423338039e+02
5.038759689922480689e+00,1.200600449328199346e+02
