time,linear_connectedness
0.000000000000000000e+00,1.172841362197212192e+02
1.007751937984496110e-01,1.229175132104394095e+02
2.015503875968992220e-01,1.225257131250598377e+02
3.023255813953488191e-01,1.236942162045521343e+02
4.031007751937984440e-01,1.268236602964444586e+02
5.038759689922480689e-01,1.289571912302563987e+02
6.046511627906976383e-01,1.293548086119612890e+02
7.054263565891473187e-01,1.290828856285789357e+02
8.062015503875968880e-01,1.289700864583727764e+02
9.069767441860464574e-01,1.308721011718234877e+02
1.007751937984496138e+00,1.326075164809656712e+02
1.108527131782945707e+00,1.333042952134998700e+02
1.209302325581395277e+00,1.328239739498254721e+02
1.310077519379844846e+00,1.314986759633834197e+02
1.410852713178294637e+00,1.301061328808921758e+02
1.511627906976744207e+00,1.301347894385596362e+02
1.612403100775193776e+00,1.324773747111480020e+02
1.713178294573643345e+00,1.359575526918070807e+02
1.813953488372092915e+00,1.384511361641725102e+02
1.914728682170542706e+00,1.391665342182664631e+02
2.015503875968992276e+00,1.381885253950935919e+02
2.116279069767441623e+00,1.367586459281647251e+02
2.217054263565891414e+00,1.350586048958654715e+02
2.317829457364341206e+00,1.347869268959750002e+02
2.418604651162790553e+00,1.345677115644995752e+02
2.519379844961240345e+00,1.336805391211345864e+02
2.620155038759689692e+00,1.321535910368775433e+02
2.720930232558139483e+00,1.305210103514340005e+02
2.821705426356589275e+00,1.295527717344168366e+02
2.922480620155038622e+00,1.299910911752290303e+02
3.023255813953488413e+00,1.312990071406049708e+02
3.124031007751937761e+00,1.325600911560246971e+02
3.224806201550387552e+00,1.331013778866734185e+02
3.325581395348837344e+00,1.330549494339400383e+02
3.426356589147286691e+00,1.331140946165909043e+02
3.527131782945736482e+00,1.335318813106827633e+02
3.627906976744185830e+00,1.349042725323382967e+02
3.728682170542635621e+00,1.362698879462721777e+02
3.829457364341085412e+00,1.369161443092916670e+02
3.930232558139534760e+00,1.367984619260473949e+02
4.031007751937984551e+00,1.368437223918147652e+02
4.131782945736434343e+00,1.368514038974138316e+02
4.232558139534883246e+00,1.382956923758577545e+02
4.333333333333333037e+00,1.405050393330200222e+02
4.434108527131782829e+00,1.423939777450590043e+02
4.534883720930232620e+00,1.432344341260319993e+02
4.635658914728682412e+00,1.431423886914909929e+02
4.736434108527131315e+00,1.421886704689173087e+02
4.837209302325581106e+00,1.413608555884794669e+02
4.937984496124030898e+00,1.410173507946080065e+02
5.038759689922480689e+00,1.402748644061467758e+02
5.139534883720930480e+00,1.393801929653812977e+02
5.240310077519379384e+00,1.383710789310122777e+02
5.341085271317829175e+00,1.374008564680523250e+02
5.441860465116278966e+00,1.372130600405693315e+02
5.542635658914728758e+00,1.379538148195221936e+02
5.643410852713178549e+00,1.393667484249071151e+02
5.744186046511627453e+00,1.407592256211428605e+02
5.844961240310077244e+00,1.420880775613908042e+02
5.945736434108527035e+00,1.432013305601623188e+02
6.046511627906976827e+00,1.445759347705734683e+02
6.147286821705426618e+00,1.462142129180046197e+02
6.248062015503875521e+00,1.479418346578870853e+02
6.348837209302325313e+00,1.490890843970199739e+02
6.449612403100775104e+00,1.497058354648064551e+02
6.550387596899224896e+00,1.498310837587672779e+02
6.651162790697674687e+00,1.503149527111347936e+02
6.751937984496123590e+00,1.514963529863225347e+02
6.852713178294573382e+00,1.532751386689848800e+02
6.953488372093023173e+00,1.553151919045974694e+02
7.054263565891472965e+00,1.566127361995648926e+02
7.155038759689922756e+00,1.568396143833293479e+02
7.255813953488371659e+00,1.566278485070477018e+02
7.356589147286821451e+00,1.561266285665800808e+02
7.457364341085271242e+00,1.554849594634230527e+02
7.558139534883721034e+00,1.548290215254029079e+02
7.658914728682170825e+00,1.540344363188695809e+02
7.759689922480619728e+00,1.530905173665054804e+02
7.860465116279069520e+00,1.526274830393274726e+02
7.961240310077519311e+00,1.529918564695938699e+02
8.062015503875969102e+00,1.542643064263945689e+02
8.162790697674418894e+00,1.563530723404738296e+02
8.263565891472868685e+00,1.589418757275009000e+02
8.364341085271318477e+00,1.616657776556707518e+02
8.465116279069766492e+00,1.645470131973195862e+02
8.565891472868216283e+00,1.674960867166306286e+02
8.666666666666666075e+00,1.702173054495987969e+02
8.767441860465115866e+00,1.724292920561021845e+02
8.868217054263565657e+00,1.739548077298236137e+02
8.968992248062015449e+00,1.748135084332081703e+02
9.069767441860465240e+00,1.754820355537687533e+02
9.170542635658915032e+00,1.765012048436269652e+02
9.271317829457364823e+00,1.780934909775849349e+02
9.372093023255814614e+00,1.801328362762272661e+02
9.472868217054262630e+00,1.821980933884573233e+02
9.573643410852712421e+00,1.837627326151068701e+02
9.674418604651162212e+00,1.846013953580094267e+02
9.775193798449612004e+00,1.847690107993142590e+02
9.875968992248061795e+00,1.843858484508834010e+02
9.976744186046511587e+00,1.836305345641312954e+02
1.007751937984496138e+01,1.827159643759244432e+02
1.017829457364341117e+01,1.818658396020961732e+02
1.027906976744186096e+01,1.814633608598314538e+02
1.037984496124031075e+01,1.819810166154060767e+02
1.048062015503875877e+01,1.837144223835172454e+02
1.058139534883720856e+01,1.867253582940930698e+02
1.068217054263565835e+01,1.908684025549740966e+02
1.078294573643410814e+01,1.958226550627995266e+02
1.088372093023255793e+01,2.012194981466674335e+02
1.098449612403100772e+01,2.066548805761126175e+02
1.108527131782945752e+01,2.116029250194235090e+02
1.118604651162790731e+01,2.155794160138817688e+02
1.128682170542635710e+01,2.183720106339955009e+02
1.138759689922480689e+01,2.201203486390158446e+02
1.148837209302325491e+01,2.213105137563077278e+02
1.158914728682170470e+01,2.226021785911295012e+02
1.168992248062015449e+01,2.244684040835401788e+02
1.179069767441860428e+01,2.269948646380734658e+02
1.189147286821705407e+01,2.298897676254764804e+02
1.199224806201550386e+01,2.326276844262895338e+02
1.209302325581395365e+01,2.347153180998378446e+02
1.219379844961240345e+01,2.358916569332494362e+02
1.229457364341085324e+01,2.361128961258479535e+02
1.239534883720930303e+01,2.355357259195364179e+02
1.249612403100775104e+01,2.345163806717990269e+02
1.259689922480620083e+01,2.335540187801273930e+02
1.269767441860465063e+01,2.332533756271510583e+02
1.279844961240310042e+01,2.342653701180557277e+02
1.289922480620155021e+01,2.370953258866876183e+02
1.300000000000000000e+01,2.419640638317773664e+02
