time,linear_potential
0.000000000000000000e+00,8.848030761361346208e+01
1.007751937984496110e-01,9.315055311218786471e+01
2.015503875968992220e-01,9.206552537134336944e+01
3.023255813953488191e-01,9.009854491070890958e+01
4.031007751937984440e-01,9.408870475640917164e+01
5.038759689922480689e-01,9.591604986058216298e+01
6.046511627906976383e-01,9.602450111482555428e+01
7.054263565891473187e-01,9.374556244914472813e+01
8.062015503875968880e-01,9.479416381216825016e+01
9.069767441860464574e-01,9.710387749135529134e+01
1.007751937984496138e+00,9.842968477527995219e+01
1.108527131782945707e+00,9.908711787938526072e+01
1.209302325581395277e+00,9.912963181038459481e+01
1.310077519379844846e+00,9.844009780191058212e+01
1.410852713178294637e+00,9.650476674421017265e+01
1.511627906976744207e+00,9.399273954707484791e+01
1.612403100775193776e+00,9.599436499320434280e+01
1.713178294573643345e+00,9.799744586074825747e+01
1.813953488372092915e+00,9.902386444967851276e+01
1.914728682170542706e+00,9.914063978647745046e+01
2.015503875968992276e+00,9.809745808692107971e+01
2.116279069767441623e+00,9.479770945100682411e+01
2.217054263565891414e+00,9.565878193967071752e+01
2.317829457364341206e+00,9.722926459477402261e+01
2.418604651162790553e+00,9.828922929028480837e+01
2.519379844961240345e+00,9.851662309369808668e+01
2.620155038759689692e+00,9.789488688033587493e+01
2.720930232558139483e+00,9.601634973592651079e+01
2.821705426356589275e+00,9.506497935839166757e+01
2.922480620155038622e+00,9.541724384019798322e+01
3.023255813953488413e+00,9.770336833144527589e+01
3.124031007751937761e+00,9.905309884666405651e+01
3.224806201550387552e+00,9.960050051236807178e+01
3.325581395348837344e+00,9.908448406339383041e+01
3.426356589147286691e+00,9.779894884638248698e+01
3.527131782945736482e+00,9.908333967853764079e+01
3.627906976744185830e+00,9.989584984364591946e+01
3.728682170542635621e+00,1.015664822790158155e+02
3.829457364341085412e+00,1.021409083972528009e+02
3.930232558139534760e+00,1.016539446081931004e+02
4.031007751937984551e+00,9.943625875976667317e+01
4.131782945736434343e+00,1.006107076719866598e+02
4.232558139534883246e+00,1.009494573754745375e+02
4.333333333333333037e+00,1.020349953815658495e+02
4.434108527131782829e+00,1.030537948842166429e+02
4.534883720930232620e+00,1.030256073058548196e+02
4.635658914728682412e+00,1.015250993843912823e+02
4.736434108527131315e+00,1.017650710657210453e+02
4.837209302325581106e+00,1.019730046415335352e+02
4.937984496124030898e+00,1.012625511529307261e+02
5.038759689922480689e+00,1.023180635464272115e+02
5.139534883720930480e+00,1.022117696055054807e+02
5.240310077519379384e+00,1.009743368487196449e+02
5.341085271317829175e+00,1.009772514810593265e+02
5.441860465116278966e+00,1.016612935326265443e+02
5.542635658914728758e+00,1.020545960991719596e+02
5.643410852713178549e+00,1.028748396037842099e+02
5.744186046511627453e+00,1.041970084484134276e+02
5.844961240310077244e+00,1.044860051418790334e+02
5.945736434108527035e+00,1.055737728715377841e+02
6.046511627906976827e+00,1.072257563513917660e+02
6.147286821705426618e+00,1.084067412263469379e+02
6.248062015503875521e+00,1.088948100729512731e+02
6.348837209302325313e+00,1.099671337081037592e+02
6.449612403100775104e+00,1.100160035448361953e+02
6.550387596899224896e+00,1.105064448644772455e+02
6.651162790697674687e+00,1.113393379756040531e+02
6.751937984496123590e+00,1.119110590948528454e+02
6.852713178294573382e+00,1.121209864051892424e+02
6.953488372093023173e+00,1.119732428446297092e+02
7.054263565891472965e+00,1.121095075390004183e+02
7.155038759689922756e+00,1.127153895230359382e+02
7.255813953488371659e+00,1.131443240282213765e+02
7.356589147286821451e+00,1.132404915094592468e+02
7.457364341085271242e+00,1.129402989151826375e+02
7.558139534883721034e+00,1.123334022702363484e+02
7.658914728682170825e+00,1.119003419150126319e+02
7.759689922480619728e+00,1.120707213079923008e+02
7.860465116279069520e+00,1.125681815791146363e+02
7.961240310077519311e+00,1.132339380406932179e+02
8.062015503875969102e+00,1.140051294854323061e+02
8.162790697674418894e+00,1.149160116358974619e+02
8.263565891472868685e+00,1.162380055100940268e+02
8.364341085271318477e+00,1.182662766470082687e+02
8.465116279069766492e+00,1.207381935206748125e+02
8.565891472868216283e+00,1.232421003399982311e+02
8.666666666666666075e+00,1.254311910311884901e+02
8.767441860465115866e+00,1.271008979878448315e+02
8.868217054263565657e+00,1.283509478875180321e+02
