time,potential
0.000000000000000000e+00,2.389614460278016281e+02
1.007751937984496110e-01,2.467512619899658546e+02
2.015503875968992220e-01,2.531853934689567893e+02
3.023255813953488191e-01,2.583842103095387301e+02
4.031007751937984440e-01,2.619548071942522256e+02
5.038759689922480689e-01,2.643887811402080388e+02
6.046511627906976383e-01,2.665821014419235553e+02
7.054263565891473187e-01,2.689291942049354134e+02
8.062015503875968880e-01,2.710898312839789241e+02
9.069767441860464574e-01,2.724734807188500554e+02
1.007751937984496138e+00,2.728910657100216781e+02
1.108527131782945707e+00,2.727704393320387908e+02
1.209302325581395277e+00,2.728249047180422053e+02
1.310077519379844846e+00,2.735493323225811082e+02
1.410852713178294637e+00,2.749045602273484405e+02
1.511627906976744207e+00,2.763528098746014621e+02
1.612403100775193776e+00,2.772573378942117870e+02
1.713178294573643345e+00,2.773890324460462580e+02
1.813953488372092915e+00,2.770881721415565835e+02
1.914728682170542706e+00,2.769416134353755297e+02
2.015503875968992276e+00,2.773085275606937330e+02
2.116279069767441623e+00,2.780733413471926951e+02
2.217054263565891414e+00,2.787730321117696235e+02
2.317829457364341206e+00,2.790013132182532445e+02
2.418604651162790553e+00,2.787606118029583513e+02
2.519379844961240345e+00,2.784463799099415269e+02
2.620155038759689692e+00,2.785094829738109183e+02
2.720930232558139483e+00,2.791212078241019867e+02
2.821705426356589275e+00,2.801034497181951224e+02
2.922480620155038622e+00,2.811699131393864377e+02
3.023255813953488413e+00,2.822782000060990413e+02
3.124031007751937761e+00,2.837538297631912769e+02
3.224806201550387552e+00,2.860442835596606415e+02
3.325581395348837344e+00,2.893171140571955675e+02
3.426356589147286691e+00,2.932285080545484561e+02
3.527131782945736482e+00,2.970504326137080398e+02
3.627906976744185830e+00,3.001012741800155936e+02
3.728682170542635621e+00,3.021554261541048731e+02
3.829457364341085412e+00,3.034840712511003176e+02
3.930232558139534760e+00,3.045314766992557907e+02
4.031007751937984551e+00,3.055473953512347407e+02
4.131782945736434343e+00,3.064593556906334584e+02
4.232558139534883246e+00,3.070389119882574960e+02
4.333333333333333037e+00,3.071899871079404534e+02
4.434108527131782829e+00,3.070892767298614672e+02
4.534883720930232620e+00,3.070569724363442674e+02
4.635658914728682412e+00,3.072978168970050774e+02
4.736434108527131315e+00,3.077477868512279429e+02
4.837209302325581106e+00,3.081508697193810349e+02
4.937984496124030898e+00,3.083004956033262260e+02
5.038759689922480689e+00,3.082336187317936833e+02
5.139534883720930480e+00,3.082049322496809509e+02
5.240310077519379384e+00,3.084863825786081861e+02
5.341085271317829175e+00,3.091952127570091875e+02
5.441860465116278966e+00,3.103067669058632987e+02
5.542635658914728758e+00,3.118302940092286235e+02
5.643410852713178549e+00,3.139578358149690303e+02
5.744186046511627453e+00,3.169986573244588612e+02
5.844961240310077244e+00,3.211186369546555284e+02
5.945736434108527035e+00,3.260984743381247881e+02
6.046511627906976827e+00,3.313235148050819134e+02
6.147286821705426618e+00,3.360545256625764523e+02
6.248062015503875521e+00,3.398046033845096758e+02
6.348837209302325313e+00,3.425311807275768388e+02
6.449612403100775104e+00,3.445088693449105790e+02
6.550387596899224896e+00,3.460361268598730362e+02
6.651162790697674687e+00,3.472335868912485921e+02
6.751937984496123590e+00,3.480625088928933337e+02
6.852713178294573382e+00,3.484940467477997572e+02
6.953488372093023173e+00,3.486434589427173023e+02
7.054263565891472965e+00,3.487375320115003206e+02
7.155038759689922756e+00,3.489572905523054942e+02
7.255813953488371659e+00,3.493124232992042266e+02
7.356589147286821451e+00,3.496642166230675457e+02
7.457364341085271242e+00,3.498790073251074091e+02
7.558139534883721034e+00,3.499760150137193477e+02
7.658914728682170825e+00,3.501399466526596598e+02
7.759689922480619728e+00,3.506058972733733299e+02
7.860465116279069520e+00,3.515469632728843408e+02
7.961240310077519311e+00,3.530783372214735323e+02
8.062015503875969102e+00,3.553602926890849290e+02
8.162790697674418894e+00,3.586588830379485557e+02
8.263565891472868685e+00,3.632401086859301813e+02
8.364341085271318477e+00,3.691372022132686652e+02
8.465116279069766492e+00,3.759736417752793045e+02
8.565891472868216283e+00,3.830103846129861722e+02
8.666666666666666075e+00,3.894328612466797495e+02
8.767441860465115866e+00,3.947008023561295431e+02
8.868217054263565657e+00,3.987111933240478265e+02
8.968992248062015449e+00,4.016804387669330936e+02
9.069767441860465240e+00,4.038895834140398620e+02
9.170542635658915032e+00,4.055103977242355882e+02
9.271317829457364823e+00,4.066100253356371468e+02
9.372093023255814614e+00,4.072651590978315994e+02
9.472868217054262630e+00,4.076392848971250373e+02
9.573643410852712421e+00,4.079395491693389886e+02
9.674418604651162212e+00,4.083024533167571803e+02
9.775193798449612004e+00,4.087263959179152266e+02
9.875968992248061795e+00,4.091212569507740113e+02
9.976744186046511587e+00,4.094362848292381614e+02
1.007751937984496138e+01,4.097555976487803946e+02
1.017829457364341117e+01,4.102862291533264170e+02
1.027906976744186096e+01,4.112749766832232581e+02
1.037984496124031075e+01,4.129558191095039774e+02
1.048062015503875877e+01,4.155803753997630565e+02
1.058139534883720856e+01,4.194690563726322807e+02
1.068217054263565835e+01,4.249610807591971593e+02
1.078294573643410814e+01,4.322213685712941924e+02
1.088372093023255793e+01,4.410162544512876366e+02
1.098449612403100772e+01,4.506417836769264795e+02
1.108527131782945752e+01,4.601099360849970026e+02
1.118604651162790731e+01,4.685174573780652736e+02
1.128682170542635710e+01,4.753655419415392771e+02
1.138759689922480689e+01,4.806241567900337373e+02
1.148837209302325491e+01,4.845477606774541073e+02
1.158914728682170470e+01,4.874326566397435840e+02
1.168992248062015449e+01,4.894933003083479548e+02
1.179069767441860428e+01,4.908882557879813930e+02
1.189147286821705407e+01,4.917982377434512955e+02
1.199224806201550386e+01,4.924437870709035678e+02
1.209302325581395365e+01,4.930192978006560907e+02
1.219379844961240345e+01,4.936160659301083911e+02
1.229457364341085324e+01,4.942196048792473562e+02
1.239534883720930303e+01,4.947959318523289198e+02
1.249612403100775104e+01,4.953986668845666941e+02
1.259689922480620083e+01,4.962132455541926674e+02
1.269767441860465063e+01,4.975229033662494658e+02
1.279844961240310042e+01,4.996597568418319497e+02
1.289922480620155021e+01,5.030027681182272659e+02
1.300000000000000000e+01,5.079997826898527933e+02
