time,potential_global
0.000000000000000000e+00,3.977078627380376474e+02
1.007751937984496110e-01,4.057523726600491614e+02
2.015503875968992220e-01,4.119810931036745387e+02
3.023255813953488191e-01,4.181584161661738790e+02
4.031007751937984440e-01,4.238196891292033683e+02
5.038759689922480689e-01,4.282178256791848412e+02
6.046511627906976383e-01,4.312290836749388632e+02
7.054263565891473187e-01,4.331258930894516652e+02
8.062015503875968880e-01,4.340775896281963924e+02
9.069767441860464574e-01,4.340882952734464197e+02
1.007751937984496138e+00,4.332853931630392026e+02
1.108527131782945707e+00,4.321010493588514123e+02
1.209302325581395277e+00,4.311526790905378448e+02
1.310077519379844846e+00,4.309838865946756528e+02
1.410852713178294637e+00,4.318580855633994702e+02
1.511627906976744207e+00,4.336655448078807353e+02
1.612403100775193776e+00,4.359526661068584303e+02
1.713178294573643345e+00,4.381050774600000750e+02
1.813953488372092915e+00,4.396553389296309433e+02
1.914728682170542706e+00,4.404828899201817762e+02
2.015503875968992276e+00,4.407102442474528630e+02
2.116279069767441623e+00,4.404530118664829956e+02
2.217054263565891414e+00,4.397129096655963849e+02
2.317829457364341206e+00,4.384975257146302283e+02
2.418604651162790553e+00,4.370013266104821241e+02
2.519379844961240345e+00,4.356325793977443936e+02
2.620155038759689692e+00,4.348581989879763796e+02
2.720930232558139483e+00,4.350093383979663031e+02
2.821705426356589275e+00,4.361723088524453260e+02
2.922480620155038622e+00,4.381969845142817803e+02
3.023255813953488413e+00,4.408067341077822903e+02
3.124031007751937761e+00,4.437613343020831280e+02
3.224806201550387552e+00,4.469491859636627282e+02
3.325581395348837344e+00,4.502980925000721300e+02
3.426356589147286691e+00,4.535965565884411035e+02
3.527131782945736482e+00,4.564564593830440913e+02
3.627906976744185830e+00,4.585143954928111611e+02
3.728682170542635621e+00,4.596990433819434543e+02
3.829457364341085412e+00,4.603015031009224458e+02
3.930232558139534760e+00,4.607955444357360761e+02
4.031007751937984551e+00,4.615782091827655336e+02
4.131782945736434343e+00,4.627976112073564536e+02
4.232558139534883246e+00,4.643225113190979414e+02
4.333333333333333037e+00,4.658437309717794506e+02
4.434108527131782829e+00,4.670559635983910312e+02
4.534883720930232620e+00,4.678004944867114432e+02
4.635658914728682412e+00,4.680647521798123876e+02
4.736434108527131315e+00,4.678858600052571433e+02
4.837209302325581106e+00,4.672983993405277943e+02
4.937984496124030898e+00,4.663852908298775333e+02
5.038759689922480689e+00,4.653545479822758466e+02
5.139534883720930480e+00,4.645351051956804440e+02
5.240310077519379384e+00,4.642809896515390733e+02
5.341085271317829175e+00,4.648628458754775465e+02
5.441860465116278966e+00,4.664187276904103214e+02
5.542635658914728758e+00,4.689749773130068888e+02
5.643410852713178549e+00,4.725005126952631258e+02
5.744186046511627453e+00,4.769362585649485595e+02
5.844961240310077244e+00,4.821469362637124050e+02
5.945736434108527035e+00,4.878157287965736941e+02
6.046511627906976827e+00,4.934086155747604039e+02
6.147286821705426618e+00,4.983235746126725303e+02
6.248062015503875521e+00,5.021636773591481528e+02
6.348837209302325313e+00,5.049166414917148131e+02
6.449612403100775104e+00,5.068964670737564120e+02
6.550387596899224896e+00,5.085197176618444246e+02
6.651162790697674687e+00,5.100888406927843448e+02
6.751937984496123590e+00,5.116894707549973873e+02
6.852713178294573382e+00,5.132163531535163656e+02
6.953488372093023173e+00,5.144875732132372832e+02
7.054263565891472965e+00,5.153665651813015529e+02
7.155038759689922756e+00,5.158101698626380767e+02
7.255813953488371659e+00,5.158391589633749845e+02
7.356589147286821451e+00,5.155054063754752178e+02
7.457364341085271242e+00,5.149102774768030031e+02
7.558139534883721034e+00,5.142477850537895847e+02
7.658914728682170825e+00,5.138099317132780470e+02
7.759689922480619728e+00,5.139372046321741436e+02
7.860465116279069520e+00,5.149567528854944385e+02
7.961240310077519311e+00,5.171527862140136449e+02
8.062015503875969102e+00,5.207663583468643083e+02
8.162790697674418894e+00,5.259808823141034964e+02
8.263565891472868685e+00,5.328522803324734696e+02
8.364341085271318477e+00,5.411866873927465349e+02
8.465116279069766492e+00,5.504385383583087332e+02
8.565891472868216283e+00,5.597523709718335567e+02
8.666666666666666075e+00,5.682125420870264634e+02
8.767441860465115866e+00,5.751867448080018903e+02
8.868217054263565657e+00,5.805274474778154854e+02
8.968992248062015449e+00,5.845034373384648916e+02
9.069767441860465240e+00,5.875556374927690513e+02
9.170542635658915032e+00,5.900609883258512127e+02
9.271317829457364823e+00,5.922144548763532157e+02
9.372093023255814614e+00,5.940388993309295529e+02
9.472868217054262630e+00,5.954742911995109580e+02
9.573643410852712421e+00,5.964718545488560721e+02
9.674418604651162212e+00,5.970354348913934928e+02
9.775193798449612004e+00,5.972145420170879788e+02
9.875968992248061795e+00,5.970985283557574803e+02
9.976744186046511587e+00,5.968395604816354307e+02
1.007751937984496138e+01,5.966822976115331585e+02
1.017829457364341117e+01,5.969658606826179721e+02
1.027906976744186096e+01,5.980994701489141789e+02
1.037984496124031075e+01,6.005398960803461250e+02
1.048062015503875877e+01,6.047783721901780609e+02
1.058139534883720856e+01,6.112985837632803623e+02
1.068217054263565835e+01,6.204552001643234007e+02
1.078294573643410814e+01,6.322738631916244003e+02
