time,R_spec
0.000000000000000000e+00,2.759415344905969542e-03
1.007751937984496110e-01,2.893127818155536921e-03
2.015503875968992220e-01,2.924237054474951129e-03
3.023255813953488191e-01,3.262178980543827683e-03
4.031007751937984440e-01,3.823885317920302455e-03
5.038759689922480689e-01,3.964780809644886939e-03
6.046511627906976383e-01,3.812623252304131807e-03
7.054263565891473187e-01,3.738959285473876341e-03
8.062015503875968880e-01,3.803578657209206494e-03
9.069767441860464574e-01,4.022078086449573306e-03
1.007751937984496138e+00,3.881892550039873959e-03
1.108527131782945707e+00,3.549220287056661927e-03
1.209302325581395277e+00,3.340901311055521038e-03
1.310077519379844846e+00,3.264778923391495509e-03
1.410852713178294637e+00,3.330101801639763926e-03
1.511627906976744207e+00,3.555643043639653347e-03
1.612403100775193776e+00,3.959254716864302887e-03
1.713178294573643345e+00,4.552072400151034592e-03
1.813953488372092915e+00,5.068840672599638983e-03
1.914728682170542706e+00,4.508159095726859897e-03
2.015503875968992276e+00,4.065595220308484102e-03
2.116279069767441623e+00,3.796784949776613356e-03
2.217054263565891414e+00,3.714158631894933470e-03
2.317829457364341206e+00,3.792131265461334139e-03
2.418604651162790553e+00,3.552125783866418984e-03
2.519379844961240345e+00,3.400545223902893231e-03
2.620155038759689692e+00,3.391534467812201172e-03
2.720930232558139483e+00,3.536887046330039908e-03
2.821705426356589275e+00,3.851430539589083789e-03
2.922480620155038622e+00,4.348001075417760354e-03
3.023255813953488413e+00,4.267635012029775271e-03
3.124031007751937761e+00,4.102224053699130013e-03
3.224806201550387552e+00,4.024552579266556414e-03
3.325581395348837344e+00,4.072481192335254685e-03
3.426356589147286691e+00,4.256454168385433862e-03
3.527131782945736482e+00,4.230501238999494901e-03
3.627906976744185830e+00,3.911497521483148221e-03
3.728682170542635621e+00,3.716240097723364985e-03
3.829457364341085412e+00,3.652967148306909308e-03
3.930232558139534760e+00,3.730365897931498496e-03
4.031007751937984551e+00,3.963591632729678363e-03
4.131782945736434343e+00,4.363984044075962937e-03
4.232558139534883246e+00,4.933359218435116357e-03
4.333333333333333037e+00,4.963928176841873006e-03
4.434108527131782829e+00,4.494982206111431539e-03
4.534883720930232620e+00,4.129922939217022144e-03
4.635658914728682412e+00,3.913543619319415426e-03
4.736434108527131315e+00,3.854373599573823229e-03
4.837209302325581106e+00,3.931905782687071700e-03
4.937984496124030898e+00,3.809918749353941557e-03
5.038759689922480689e+00,3.701557207644198128e-03
5.139534883720930480e+00,3.734684864994339878e-03
5.240310077519379384e+00,3.920049900899677878e-03
5.341085271317829175e+00,4.268614657086217470e-03
5.441860465116278966e+00,4.376284730833859826e-03
5.542635658914728758e+00,4.236545776466885127e-03
5.643410852713178549e+00,4.134560993816262589e-03
5.744186046511627453e+00,4.119648112575066516e-03
5.844961240310077244e+00,4.217299681534461553e-03
5.945736434108527035e+00,4.431280296371315625e-03
6.046511627906976827e+00,4.335255941220127543e-03
6.147286821705426618e+00,4.078050024256531410e-03
6.248062015503875521e+00,3.943541348940834620e-03
6.348837209302325313e+00,3.939942772991557145e-03
6.449612403100775104e+00,4.077408992680491874e-03
6.550387596899224896e+00,4.366948221627804487e-03
6.651162790697674687e+00,4.812686005997507226e-03
6.751937984496123590e+00,5.176151283051737793e-03
6.852713178294573382e+00,4.747954477630105148e-03
6.953488372093023173e+00,4.369396703154357006e-03
7.054263565891472965e+00,4.099148107519801597e-03
7.155038759689922756e+00,3.963672295655440783e-03
7.255813953488371659e+00,3.959381677432364209e-03
7.356589147286821451e+00,4.058132983846560529e-03
7.457364341085271242e+00,3.974421838338078328e-03
7.558139534883721034e+00,3.943014451341464097e-03
7.658914728682170825e+00,4.053202041700024183e-03
7.759689922480619728e+00,4.313976521122118296e-03
7.860465116279069520e+00,4.409060865559425585e-03
7.961240310077519311e+00,4.304166117897575278e-03
8.062015503875969102e+00,4.209562008756946583e-03
8.162790697674418894e+00,4.173964031720365543e-03
8.263565891472868685e+00,4.229354069678774308e-03
8.364341085271318477e+00,4.387144179927771406e-03
8.465116279069766492e+00,4.640518038630036396e-03
8.565891472868216283e+00,4.359099300608623891e-03
8.666666666666666075e+00,4.185945900019115602e-03
8.767441860465115866e+00,4.136622607820372548e-03
8.868217054263565657e+00,4.218316452946653874e-03
8.968992248062015449e+00,4.441585651059089951e-03
9.069767441860465240e+00,4.810605709195704682e-03
9.170542635658915032e+00,5.256990277973641081e-03
9.271317829457364823e+00,4.879988363245360908e-03
9.372093023255814614e+00,4.519041376488182327e-03
9.472868217054262630e+00,4.235672339668981531e-03
9.573643410852712421e+00,4.064968860074076595e-03
9.674418604651162212e+00,4.013789824367844199e-03
9.775193798449612004e+00,4.064539468943907836e-03
9.875968992248061795e+00,4.180202777524483215e-03
9.976744186046511587e+00,4.129449703396150667e-03
1.007751937984496138e+01,4.196147386933950056e-03
1.017829457364341117e+01,4.404381481148560845e-03
1.027906976744186096e+01,4.412454500301039861e-03
1.037984496124031075e+01,4.335255080240664471e-03
1.048062015503875877e+01,4.255619238179137419e-03
1.058139534883720856e+01,4.217802910407983039e-03
1.068217054263565835e+01,4.254766892149926955e-03
1.078294573643410814e+01,4.381671228487168598e-03
1.088372093023255793e+01,4.595965280051890131e-03
1.098449612403100772e+01,4.570407730850701428e-03
1.108527131782945752e+01,4.379149731782102511e-03
1.118604651162790731e+01,4.305427281850195652e-03
1.128682170542635710e+01,4.356380969208827753e-03
1.138759689922480689e+01,4.540638943811568448e-03
1.148837209302325491e+01,4.862295173479535410e-03
1.158914728682170470e+01,5.270427862712593475e-03
1.168992248062015449e+01,4.937716082717923637e-03
1.179069767441860428e+01,4.602834391036070803e-03
1.189147286821705407e+01,4.325228592536991233e-03
1.199224806201550386e+01,4.142759047350291421e-03
1.209302325581395365e+01,4.067735557020221888e-03
