time,Rspec_hyper
0.000000000000000000e+00,9.775171065493784366e-05
1.007751937984496110e-01,7.652317483528142390e-05
2.015503875968992220e-01,8.238537944079556109e-05
3.023255813953488191e-01,1.058168311837566060e-04
4.031007751937984440e-01,1.515707919257053380e-04
5.038759689922480689e-01,2.323070465738760867e-04
6.046511627906976383e-01,3.658870170427575203e-04
7.054263565891473187e-01,5.687536808841920939e-04
8.062015503875968880e-01,5.254737474799547111e-04
9.069767441860464574e-01,3.945124882297904923e-04
1.007751937984496138e+00,3.049481184408973163e-04
1.108527131782945707e+00,2.473995964600937529e-04
1.209302325581395277e+00,2.149509264230365583e-04
1.310077519379844846e+00,2.037147542384145846e-04
1.410852713178294637e+00,2.134394213818049111e-04
1.511627906976744207e+00,2.484441004503628258e-04
1.612403100775193776e+00,3.191525419489022689e-04
1.713178294573643345e+00,4.438482350806367024e-04
1.813953488372092915e+00,6.034737319596364434e-04
1.914728682170542706e+00,4.542942465347274178e-04
2.015503875968992276e+00,3.368717746924563780e-04
2.116279069767441623e+00,2.516525421295251865e-04
2.217054263565891414e+00,1.920227682308394020e-04
2.317829457364341206e+00,1.522808548564053347e-04
2.418604651162790553e+00,1.279612306366508673e-04
2.519379844961240345e+00,1.160916437133952336e-04
2.620155038759689692e+00,1.154520315677922223e-04
2.720930232558139483e+00,1.269104234819991588e-04
2.821705426356589275e+00,1.539660388446839352e-04
2.922480620155038622e+00,2.034804321875082172e-04
3.023255813953488413e+00,2.860512572805002382e-04
3.124031007751937761e+00,4.145189526947154392e-04
3.224806201550387552e+00,5.984493626050423759e-04
3.325581395348837344e+00,6.094883481254869230e-04
3.426356589147286691e+00,4.687446737842024193e-04
3.527131782945736482e+00,3.716367909859864035e-04
3.627906976744185830e+00,3.089334254652887648e-04
3.728682170542635621e+00,2.739462412061251240e-04
3.829457364341085412e+00,2.631019474487743975e-04
3.930232558139534760e+00,2.765259133966122104e-04
4.031007751937984551e+00,3.188544624462605727e-04
4.131782945736434343e+00,4.003015418992507206e-04
4.232558139534883246e+00,5.372891363944914435e-04
4.333333333333333037e+00,5.956378562758786422e-04
4.434108527131782829e+00,4.539447653854358734e-04
4.534883720930232620e+00,3.456012330952906416e-04
4.635658914728682412e+00,2.659045354932433559e-04
4.736434108527131315e+00,2.096632644351134969e-04
4.837209302325581106e+00,1.722100786299736593e-04
4.937984496124030898e+00,1.499057752177131652e-04
5.038759689922480689e+00,1.404935239338266063e-04
5.139534883720930480e+00,1.434175390404646480e-04
5.240310077519379384e+00,1.601923682390391966e-04
5.341085271317829175e+00,1.948688325671466589e-04
5.441860465116278966e+00,2.544020334403121865e-04
5.542635658914728758e+00,3.481886272565151014e-04
5.643410852713178549e+00,4.854090892057299480e-04
5.744186046511627453e+00,6.389505539181980932e-04
5.844961240310077244e+00,6.021331289912932629e-04
5.945736434108527035e+00,4.780746011039132713e-04
6.046511627906976827e+00,3.931154824961876769e-04
6.147286821705426618e+00,3.400708083836395841e-04
6.248062015503875521e+00,3.141203223108380476e-04
6.348837209302325313e+00,3.134781389882352644e-04
6.449612403100775104e+00,3.400535829097479684e-04
6.550387596899224896e+00,4.001996210202932495e-04
6.651162790697674687e+00,5.052582895152017087e-04
6.751937984496123590e+00,6.277534992366847529e-04
6.852713178294573382e+00,5.366494570147286236e-04
6.953488372093023173e+00,4.166673319235446532e-04
7.054263565891472965e+00,3.249755338909154434e-04
7.155038759689922756e+00,2.577839352375963866e-04
7.255813953488371659e+00,2.109721439314830773e-04
7.356589147286821451e+00,1.809320817549716297e-04
7.457364341085271242e+00,1.650718643082617939e-04
7.558139534883721034e+00,1.621914511663610314e-04
7.658914728682170825e+00,1.728243605953413444e-04
7.759689922480619728e+00,1.995962167570296611e-04
7.860465116279069520e+00,2.475084102779896039e-04
7.961240310077519311e+00,3.237164085995892647e-04
8.062015503875969102e+00,4.359038401729296722e-04
8.162790697674418894e+00,5.882972011763430492e-04
8.263565891472868685e+00,6.537014883927995314e-04
8.364341085271318477e+00,5.631018346989446078e-04
8.465116279069766492e+00,4.633788224888344938e-04
8.565891472868216283e+00,3.977552555511631462e-04
8.666666666666666075e+00,3.611725037666317531e-04
8.767441860465115866e+00,3.510441052021312492e-04
8.868217054263565657e+00,3.679221599577160912e-04
8.968992248062015449e+00,4.161203924756134444e-04
9.069767441860465240e+00,5.041392753168358635e-04
9.170542635658915032e+00,6.358220102781841996e-04
9.271317829457364823e+00,5.893299919832921483e-04
9.372093023255814614e+00,4.656052263317370554e-04
9.472868217054262630e+00,3.681977375918242729e-04
9.573643410852712421e+00,2.948449022291467513e-04
9.674418604651162212e+00,2.422388966043913250e-04
9.775193798449612004e+00,2.071210203976126874e-04
9.875968992248061795e+00,1.869266179249182841e-04
9.976744186046511587e+00,1.802262205253634243e-04
1.007751937984496138e+01,1.870783699378324291e-04
1.017829457364341117e+01,2.093452108012001944e-04
1.027906976744186096e+01,2.509139265769045734e-04
1.037984496124031075e+01,3.175240797031337594e-04
1.048062015503875877e+01,4.155504305249096042e-04
1.058139534883720856e+01,5.489885435305996882e-04
1.068217054263565835e+01,6.510947160266932973e-04
1.078294573643410814e+01,6.262486091695698611e-04
1.088372093023255793e+01,5.182027591045274429e-04
1.098449612403100772e+01,4.449468617194765282e-04
1.108527131782945752e+01,4.016883531805842049e-04
1.118604651162790731e+01,3.856441471906398672e-04
1.128682170542635710e+01,3.967460592760220376e-04
1.138759689922480689e+01,4.382122304081215083e-04
1.148837209302325491e+01,5.168805426046188404e-04
1.158914728682170470e+01,6.415370167826529250e-04
1.168992248062015449e+01,6.190140749473447505e-04
1.179069767441860428e+01,4.962790841002318477e-04
1.189147286821705407e+01,3.974541308695227855e-04
1.199224806201550386e+01,3.215388897921830328e-04
1.209302325581395365e+01,2.660224006351802860e-04
1.219379844961240345e+01,2.280961113743467631e-04
1.229457364341085324e+01,2.053924774384451035e-04
1.239534883720930303e+01,1.964766480065651896e-04
1.249612403100775104e+01,2.012144707698732406e-04
1.259689922480620083e+01,2.210666615554850493e-04
1.269767441860465063e+01,2.592639338140471667e-04
1.279844961240310042e+01,3.206225662384521303e-04
1.289922480620155021e+01,4.104912009154273859e-04
1.300000000000000000e+01,5.322380523438773698e-04
