time,linear_connectedness
0.000000000000000000e+00,2.829707115625764686e+02
1.007751937984496110e-01,2.675171795480005130e+02
2.015503875968992220e-01,2.678687845691246707e+02
3.023255813953488191e-01,2.813072151641418372e+02
4.031007751937984440e-01,2.890507267867836845e+02
5.038759689922480689e-01,2.923715372814993998e+02
6.046511627906976383e-01,2.935501856294408753e+02
7.054263565891473187e-01,2.939993494420634192e+02
8.062015503875968880e-01,2.945629955758025176e+02
9.069767441860464574e-01,2.949669359768948311e+02
1.007751937984496138e+00,2.947750988101006442e+02
1.108527131782945707e+00,2.933949671414351883e+02
1.209302325581395277e+00,2.912311285580536833e+02
1.310077519379844846e+00,2.892778292742729036e+02
1.410852713178294637e+00,2.883120642301750536e+02
1.511627906976744207e+00,2.883925496661963166e+02
1.612403100775193776e+00,2.893149084742643709e+02
1.713178294573643345e+00,2.902066698059396685e+02
1.813953488372092915e+00,2.908717095198201719e+02
1.914728682170542706e+00,2.913274998964148494e+02
2.015503875968992276e+00,2.921444866479636175e+02
2.116279069767441623e+00,2.931155137751571260e+02
2.217054263565891414e+00,2.940433634068435822e+02
2.317829457364341206e+00,2.944706293837364228e+02
2.418604651162790553e+00,2.940301568048794252e+02
2.519379844961240345e+00,2.932441204114642801e+02
2.620155038759689692e+00,2.927776257963044486e+02
2.720930232558139483e+00,2.927771650493577340e+02
2.821705426356589275e+00,2.932046221035496387e+02
2.922480620155038622e+00,2.938152957122256339e+02
3.023255813953488413e+00,2.940740837972616077e+02
3.124031007751937761e+00,2.941286736672060442e+02
3.224806201550387552e+00,2.942744587918031129e+02
3.325581395348837344e+00,2.944387294899013341e+02
3.426356589147286691e+00,2.943919234667901037e+02
3.527131782945736482e+00,2.938846661395748470e+02
3.627906976744185830e+00,2.926900152288559411e+02
3.728682170542635621e+00,2.910830915820239397e+02
3.829457364341085412e+00,2.897139842607089122e+02
3.930232558139534760e+00,2.889732532995346332e+02
4.031007751937984551e+00,2.889493850062479510e+02
4.131782945736434343e+00,2.894720123207437723e+02
4.232558139534883246e+00,2.901549419789912463e+02
4.333333333333333037e+00,2.907752906913469815e+02
4.434108527131782829e+00,2.914514109091596765e+02
4.534883720930232620e+00,2.922317382574400426e+02
4.635658914728682412e+00,2.930095563019382325e+02
4.736434108527131315e+00,2.935907968620103929e+02
4.837209302325581106e+00,2.937517598258567659e+02
4.937984496124030898e+00,2.934668557260824855e+02
5.038759689922480689e+00,2.930562172564679599e+02
5.139534883720930480e+00,2.928304292141326073e+02
5.240310077519379384e+00,2.929054790856840782e+02
5.341085271317829175e+00,2.932194890229993121e+02
5.441860465116278966e+00,2.935752354347669097e+02
5.542635658914728758e+00,2.938116134200519127e+02
5.643410852713178549e+00,2.939813447189569615e+02
5.744186046511627453e+00,2.941349306399359307e+02
5.844961240310077244e+00,2.941690871051571321e+02
5.945736434108527035e+00,2.939000794561408156e+02
6.046511627906976827e+00,2.931759408355765117e+02
6.147286821705426618e+00,2.920246846689465201e+02
6.248062015503875521e+00,2.907720141107066070e+02
6.348837209302325313e+00,2.898190675511208951e+02
6.449612403100775104e+00,2.893927259064221289e+02
6.550387596899224896e+00,2.894957001446901472e+02
6.651162790697674687e+00,2.899462386286052151e+02
6.751937984496123590e+00,2.905169546517536787e+02
6.852713178294573382e+00,2.911316064061656448e+02
6.953488372093023173e+00,2.918098449242318679e+02
7.054263565891472965e+00,2.925082579100960061e+02
7.155038759689922756e+00,2.930996256157555990e+02
7.255813953488371659e+00,2.934268415312362777e+02
7.356589147286821451e+00,2.934078833711002972e+02
7.457364341085271242e+00,2.931628721581128616e+02
7.558139534883721034e+00,2.929328831825571342e+02
7.658914728682170825e+00,2.928860269573099231e+02
7.759689922480619728e+00,2.930479945911757795e+02
7.860465116279069520e+00,2.933242517745984514e+02
7.961240310077519311e+00,2.935830488750370932e+02
8.062015503875969102e+00,2.937799859167646446e+02
8.162790697674418894e+00,2.939334728727222341e+02
8.263565891472868685e+00,2.939949403258103757e+02
8.364341085271318477e+00,2.938350349629377547e+02
8.465116279069766492e+00,2.933257254878712956e+02
8.565891472868216283e+00,2.924470491544690844e+02
8.666666666666666075e+00,2.913784655194793913e+02
8.767441860465115866e+00,2.904311789676335138e+02
8.868217054263565657e+00,2.898556551178987775e+02
8.968992248062015449e+00,2.897348431783708520e+02
9.069767441860465240e+00,2.899870459879381315e+02
9.170542635658915032e+00,2.904460309090858345e+02
9.271317829457364823e+00,2.909948712261439141e+02
9.372093023255814614e+00,2.916034680423086911e+02
9.472868217054262630e+00,2.922371049296471028e+02
9.573643410852712421e+00,2.928037133022471608e+02
9.674418604651162212e+00,2.931801778655981252e+02
9.775193798449612004e+00,2.932841699955624222e+02
9.875968992248061795e+00,2.931628417986923409e+02
9.976744186046511587e+00,2.929837919640948485e+02
1.007751937984496138e+01,2.929073581101910122e+02
1.017829457364341117e+01,2.929950870251668107e+02
1.027906976744186096e+01,2.932044225638637727e+02
1.037984496124031075e+01,2.934402988224870796e+02
1.048062015503875877e+01,2.936398744589269540e+02
1.058139534883720856e+01,2.937914273191319126e+02
1.068217054263565835e+01,2.938585188959403354e+02
1.078294573643410814e+01,2.937447513113368700e+02
1.088372093023255793e+01,2.933438799373876691e+02
1.098449612403100772e+01,2.926250565836132296e+02
1.108527131782945752e+01,2.917051297397221674e+02
