time,linear_potential
0.000000000000000000e+00,1.878474344006914407e+02
1.007751937984496110e-01,1.767379900420808099e+02
2.015503875968992220e-01,1.759978037100786423e+02
3.023255813953488191e-01,1.844494308052250062e+02
4.031007751937984440e-01,1.890373720581661985e+02
5.038759689922480689e-01,1.910289847841619064e+02
6.046511627906976383e-01,1.907184166718723759e+02
7.054263565891473187e-01,1.920535864028425408e+02
8.062015503875968880e-01,1.927904005335709314e+02
9.069767441860464574e-01,1.922775471655037620e+02
1.007751937984496138e+00,1.919560330083907616e+02
1.108527131782945707e+00,1.907007996728053172e+02
1.209302325581395277e+00,1.886824772205882255e+02
1.310077519379844846e+00,1.883448699518752392e+02
1.410852713178294637e+00,1.880893879555586068e+02
1.511627906976744207e+00,1.878415629237715905e+02
1.612403100775193776e+00,1.880707229158815608e+02
1.713178294573643345e+00,1.888078305276495428e+02
1.813953488372092915e+00,1.886676981714165038e+02
1.914728682170542706e+00,1.899630977290179032e+02
2.015503875968992276e+00,1.908892216821767818e+02
2.116279069767441623e+00,1.912954272728519527e+02
2.217054263565891414e+00,1.910692148815925577e+02
2.317829457364341206e+00,1.909160611266210879e+02
2.418604651162790553e+00,1.906058745633087881e+02
2.519379844961240345e+00,1.908974075263329837e+02
2.620155038759689692e+00,1.911370118898173018e+02
2.720930232558139483e+00,1.912491602582493044e+02
2.821705426356589275e+00,1.911844738108619026e+02
2.922480620155038622e+00,1.911061641342170958e+02
3.023255813953488413e+00,1.915508778971097286e+02
3.124031007751937761e+00,1.923595014243435912e+02
3.224806201550387552e+00,1.930428003555258840e+02
3.325581395348837344e+00,1.932546085980120836e+02
3.426356589147286691e+00,1.927813005251780396e+02
3.527131782945736482e+00,1.917286103300616276e+02
3.627906976744185830e+00,1.906404339647399127e+02
3.728682170542635621e+00,1.898668121760606198e+02
3.829457364341085412e+00,1.893629493940779867e+02
3.930232558139534760e+00,1.890709169275832267e+02
4.031007751937984551e+00,1.889190185587649751e+02
4.131782945736434343e+00,1.889067043374776063e+02
4.232558139534883246e+00,1.892208585956855416e+02
4.333333333333333037e+00,1.899251879012597897e+02
4.434108527131782829e+00,1.907394771444024002e+02
4.534883720930232620e+00,1.913827492601807307e+02
4.635658914728682412e+00,1.916789898470302091e+02
4.736434108527131315e+00,1.916227465568573507e+02
4.837209302325581106e+00,1.914554748562865996e+02
4.937984496124030898e+00,1.914359316559685453e+02
5.038759689922480689e+00,1.915467586128535515e+02
5.139534883720930480e+00,1.916823779549553421e+02
5.240310077519379384e+00,1.917711483903920566e+02
5.341085271317829175e+00,1.918239277257685842e+02
5.441860465116278966e+00,1.919925351606225377e+02
5.542635658914728758e+00,1.924172618166489031e+02
5.643410852713178549e+00,1.929619135180534499e+02
5.744186046511627453e+00,1.933382224343408780e+02
5.844961240310077244e+00,1.932964260428172167e+02
5.945736434108527035e+00,1.927501641715041956e+02
6.046511627906976827e+00,1.918779295198050647e+02
6.147286821705426618e+00,1.910126706772984164e+02
6.248062015503875521e+00,1.903478711215453245e+02
6.348837209302325313e+00,1.899131939790495665e+02
6.449612403100775104e+00,1.896769167825151783e+02
6.550387596899224896e+00,1.896073531972228352e+02
6.651162790697674687e+00,1.897431118963040717e+02
6.751937984496123590e+00,1.901537017686371200e+02
6.852713178294573382e+00,1.907643796472166002e+02
6.953488372093023173e+00,1.913739571258557248e+02
7.054263565891472965e+00,1.917972701530835025e+02
7.155038759689922756e+00,1.919492108491579074e+02
7.255813953488371659e+00,1.919025873564101516e+02
7.356589147286821451e+00,1.918400944818096150e+02
7.457364341085271242e+00,1.918668449158199962e+02
7.558139534883721034e+00,1.919598249356400004e+02
7.658914728682170825e+00,1.920632172296443514e+02
7.759689922480619728e+00,1.921552449712393411e+02
7.860465116279069520e+00,1.922922856497621353e+02
7.961240310077519311e+00,1.925723828144106164e+02
8.062015503875969102e+00,1.929804383200595055e+02
8.162790697674418894e+00,1.933418041799187108e+02
8.263565891472868685e+00,1.934405846181045376e+02
8.364341085271318477e+00,1.931447751384452545e+02
8.465116279069766492e+00,1.925011704601053282e+02
8.565891472868216283e+00,1.917249585901085425e+02
8.666666666666666075e+00,1.910341843986886659e+02
8.767441860465115866e+00,1.905298280913405904e+02
8.868217054263565657e+00,1.902241265014047542e+02
8.968992248062015449e+00,1.900977995414681914e+02
9.069767441860465240e+00,1.901544913700790858e+02
9.170542635658915032e+00,1.904278709190033396e+02
9.271317829457364823e+00,1.908935067997593364e+02
9.372093023255814614e+00,1.914223691270497341e+02
9.472868217054262630e+00,1.918558660322663911e+02
9.573643410852712421e+00,1.920909844939806135e+02
9.674418604651162212e+00,1.921360839059244086e+02
9.775193798449612004e+00,1.921042949570232850e+02
9.875968992248061795e+00,1.921069739344683569e+02
9.976744186046511587e+00,1.921694730159146332e+02
1.007751937984496138e+01,1.922631189368892421e+02
1.017829457364341117e+01,1.923645623512299210e+02
1.027906976744186096e+01,1.924967194951128135e+02
1.037984496124031075e+01,1.927203576769863389e+02
1.048062015503875877e+01,1.930443304261439152e+02
1.058139534883720856e+01,1.933594063878679776e+02
1.068217054263565835e+01,1.934932928521297697e+02
1.078294573643410814e+01,1.933142720049518459e+02
1.088372093023255793e+01,1.928184726288797890e+02
1.098449612403100772e+01,1.921471904123509091e+02
1.108527131782945752e+01,1.914899672099055010e+02
1.118604651162790731e+01,1.909708183727337314e+02
1.128682170542635710e+01,1.906313141311265440e+02
1.138759689922480689e+01,1.904688733002380729e+02
1.148837209302325491e+01,1.904811418546541404e+02
1.158914728682170470e+01,1.906825563574008697e+02
1.168992248062015449e+01,1.910571627564695518e+02
1.179069767441860428e+01,1.915135799098622158e+02
1.189147286821705407e+01,1.919213831671237926e+02
1.199224806201550386e+01,1.921809456311588633e+02
1.209302325581395365e+01,1.922758150015093292e+02
1.219379844961240345e+01,1.922785004495657120e+02
1.229457364341085324e+01,1.922834195273939599e+02
1.239534883720930303e+01,1.923324208621959031e+02
1.249612403100775104e+01,1.924162854823861153e+02
1.259689922480620083e+01,1.925179591749427175e+02
1.269767441860465063e+01,1.926483645137644487e+02
1.279844961240310042e+01,1.928463011182131766e+02
1.289922480620155021e+01,1.931201454534888455e+02
1.300000000000000000e+01,1.933914629169329089e+02
