time,potential
0.000000000000000000e+00,6.998219880513348699e+02
1.007751937984496110e-01,7.177255526118453872e+02
2.015503875968992220e-01,7.276659019208607333e+02
3.023255813953488191e-01,7.326931679506199089e+02
4.031007751937984440e-01,7.348357098809029821e+02
5.038759689922480689e-01,7.354816149289259783e+02
6.046511627906976383e-01,7.356477560730038476e+02
7.054263565891473187e-01,7.355344775769468697e+02
8.062015503875968880e-01,7.347882211731069901e+02
9.069767441860464574e-01,7.330912927217126480e+02
1.007751937984496138e+00,7.306285549157643118e+02
1.108527131782945707e+00,7.280823825992579259e+02
1.209302325581395277e+00,7.262093817115732008e+02
1.310077519379844846e+00,7.254115249903230733e+02
1.410852713178294637e+00,7.256333244824937765e+02
1.511627906976744207e+00,7.265837714653797548e+02
1.612403100775193776e+00,7.280361829922518382e+02
1.713178294573643345e+00,7.299515884965114765e+02
1.813953488372092915e+00,7.323674223700833181e+02
1.914728682170542706e+00,7.351958087682447740e+02
2.015503875968992276e+00,7.381259644284619981e+02
2.116279069767441623e+00,7.407298431534200063e+02
2.217054263565891414e+00,7.426949441297736030e+02
2.317829457364341206e+00,7.439735574489508281e+02
2.418604651162790553e+00,7.447078435214147021e+02
2.519379844961240345e+00,7.450227384951940621e+02
2.620155038759689692e+00,7.449059204984179132e+02
2.720930232558139483e+00,7.442870558578196096e+02
2.821705426356589275e+00,7.432161967903041386e+02
2.922480620155038622e+00,7.419338254546254348e+02
3.023255813953488413e+00,7.407362261012067393e+02
3.124031007751937761e+00,7.397469339502112007e+02
3.224806201550387552e+00,7.387970851734773987e+02
3.325581395348837344e+00,7.375399307587676958e+02
3.426356589147286691e+00,7.357455539670012286e+02
3.527131782945736482e+00,7.335460219439559069e+02
3.627906976744185830e+00,7.314071950719546749e+02
3.728682170542635621e+00,7.298482613072471850e+02
3.829457364341085412e+00,7.291564060942761216e+02
3.930232558139534760e+00,7.293121768232288105e+02
4.031007751937984551e+00,7.301309802073391211e+02
4.131782945736434343e+00,7.314563373962137121e+02
4.232558139534883246e+00,7.332346638880995897e+02
4.333333333333333037e+00,7.354372170937139117e+02
4.434108527131782829e+00,7.379325236352766524e+02
4.534883720930232620e+00,7.404432647563304499e+02
4.635658914728682412e+00,7.426416754987400282e+02
4.736434108527131315e+00,7.443085149820900597e+02
4.837209302325581106e+00,7.454105891144710085e+02
4.937984496124030898e+00,7.460292840836499408e+02
5.038759689922480689e+00,7.462268061049690004e+02
5.139534883720930480e+00,7.459934047075597618e+02
5.240310077519379384e+00,7.453214237440982970e+02
5.341085271317829175e+00,7.443105552890398258e+02
5.441860465116278966e+00,7.431705244253696492e+02
