time,R_energy_linear
0.000000000000000000e+00,-1.507208846504729299e+05
1.007751937984496110e-01,-3.184131827027947875e+05
2.015503875968992220e-01,-8.467185062082801014e+05
3.023255813953488191e-01,-9.397684040891079931e+05
4.031007751937984440e-01,-9.220661110689990455e+05
5.038759689922480689e-01,-8.801054704372019041e+05
6.046511627906976383e-01,-8.435656123089713510e+05
7.054263565891473187e-01,-8.180959611583130900e+05
8.062015503875968880e-01,-8.016385919404046144e+05
9.069767441860464574e-01,-7.912563780960851582e+05
1.007751937984496138e+00,-7.847425018289902946e+05
1.108527131782945707e+00,-7.806591349123753607e+05
1.209302325581395277e+00,-7.781032922777181957e+05
1.310077519379844846e+00,-7.765111209330615820e+05
1.410852713178294637e+00,-7.755288444919526810e+05
1.511627906976744207e+00,-7.749317861105998745e+05
1.612403100775193776e+00,-7.745797186968429014e+05
1.713178294573643345e+00,-7.743811123015749035e+05
1.813953488372092915e+00,-7.742787407138724811e+05
1.914728682170542706e+00,-7.742358611254263669e+05
2.015503875968992276e+00,-7.742290371700542746e+05
2.116279069767441623e+00,-7.742436220005489886e+05
2.217054263565891414e+00,-7.742696906878267182e+05
2.317829457364341206e+00,-7.743020401196333114e+05
2.418604651162790553e+00,-7.743365284174182452e+05
2.519379844961240345e+00,-7.743710536979699973e+05
2.620155038759689692e+00,-7.744042921847297112e+05
2.720930232558139483e+00,-7.744356418886890169e+05
2.821705426356589275e+00,-7.744643246750226244e+05
2.922480620155038622e+00,-7.744911947210147046e+05
3.023255813953488413e+00,-7.745148991664719069e+05
3.124031007751937761e+00,-7.745366396202514879e+05
3.224806201550387552e+00,-7.745558820936217671e+05
3.325581395348837344e+00,-7.745734870720139006e+05
3.426356589147286691e+00,-7.745889522453160025e+05
3.527131782945736482e+00,-7.746027641091612168e+05
3.627906976744185830e+00,-7.746151274080135627e+05
3.728682170542635621e+00,-7.746259578486643732e+05
3.829457364341085412e+00,-7.746354994338515680e+05
3.930232558139534760e+00,-7.746440378122115508e+05
4.031007751937984551e+00,-7.746515920382525073e+05
4.131782945736434343e+00,-7.746581897944306256e+05
4.232558139534883246e+00,-7.746640169805017067e+05
4.333333333333333037e+00,-7.746691852752837585e+05
4.434108527131782829e+00,-7.746737052752189338e+05
4.534883720930232620e+00,-7.746776730083425064e+05
4.635658914728682412e+00,-7.746811121641864302e+05
4.736434108527131315e+00,-7.746842607116132276e+05
4.837209302325581106e+00,-7.746869078748680186e+05
4.937984496124030898e+00,-7.746891867010084679e+05
5.038759689922480689e+00,-7.746912555061585736e+05
5.139534883720930480e+00,-7.746930658958825516e+05
5.240310077519379384e+00,-7.746945858303973218e+05
5.341085271317829175e+00,-7.746958772183518158e+05
5.441860465116278966e+00,-7.746970296333763981e+05
5.542635658914728758e+00,-7.746980373022601707e+05
5.643410852713178549e+00,-7.746988948709418764e+05
5.744186046511627453e+00,-7.746996221823593369e+05
5.844961240310077244e+00,-7.747002548915193183e+05
5.945736434108527035e+00,-7.747007919882534770e+05
6.046511627906976827e+00,-7.747012436722757993e+05
6.147286821705426618e+00,-7.747016270757269813e+05
6.248062015503875521e+00,-7.747019485182639910e+05
6.348837209302325313e+00,-7.747022119111224310e+05
6.449612403100775104e+00,-7.747024325933390064e+05
6.550387596899224896e+00,-7.747026088042487390e+05
6.651162790697674687e+00,-7.747027472359371604e+05
6.751937984496123590e+00,-7.747028578381025000e+05
6.852713178294573382e+00,-7.747029446434667334e+05
6.953488372093023173e+00,-7.747030015573317651e+05
7.054263565891472965e+00,-7.747030428250287659e+05
7.155038759689922756e+00,-7.747030708513879217e+05
7.255813953488371659e+00,-7.747030764923219103e+05
7.356589147286821451e+00,-7.747030739762318553e+05
7.457364341085271242e+00,-7.747030612649465911e+05
7.558139534883721034e+00,-7.747030434719433542e+05
7.658914728682170825e+00,-7.747030148214416113e+05
7.759689922480619728e+00,-7.747029767734925263e+05
7.860465116279069520e+00,-7.747029409169056453e+05
7.961240310077519311e+00,-7.747028974577696063e+05
8.062015503875969102e+00,-7.747028511929609813e+05
8.162790697674418894e+00,-7.747028023962224834e+05
8.263565891472868685e+00,-7.747027519434479764e+05
8.364341085271318477e+00,-7.747026963937798282e+05
8.465116279069766492e+00,-7.747026441319923615e+05
