time,R_energy_linear_jacobian
0.000000000000000000e+00,-6.847617053721024604e+03
1.007751937984496110e-01,-7.353781589645986060e+03
2.015503875968992220e-01,-7.524370876571252666e+03
3.023255813953488191e-01,-7.545885435483325637e+03
4.031007751937984440e-01,-7.521285320673640854e+03
5.038759689922480689e-01,-7.484862548427825459e+03
6.046511627906976383e-01,-7.452808611696222215e+03
7.054263565891473187e-01,-7.429042885537434813e+03
8.062015503875968880e-01,-7.412580065944634953e+03
9.069767441860464574e-01,-7.401486078845368866e+03
1.007751937984496138e+00,-7.394095286257469525e+03
1.108527131782945707e+00,-7.389197389470779854e+03
1.209302325581395277e+00,-7.385961500835919651e+03
1.310077519379844846e+00,-7.383829224589863770e+03
1.410852713178294637e+00,-7.382428537047171631e+03
1.511627906976744207e+00,-7.381512697793851657e+03
1.612403100775193776e+00,-7.380918197861874432e+03
1.713178294573643345e+00,-7.380536756740716555e+03
1.813953488372092915e+00,-7.380296785756051577e+03
1.914728682170542706e+00,-7.380150774643393561e+03
2.015503875968992276e+00,-7.380067241646763250e+03
2.116279069767441623e+00,-7.380025172756030770e+03
2.217054263565891414e+00,-7.380010531403843743e+03
2.317829457364341206e+00,-7.380013930154508671e+03
2.418604651162790553e+00,-7.380029029027628894e+03
2.519379844961240345e+00,-7.380051587954298157e+03
2.620155038759689692e+00,-7.380078681653280000e+03
2.720930232558139483e+00,-7.380108345894167542e+03
2.821705426356589275e+00,-7.380139261166965298e+03
2.922480620155038622e+00,-7.380170452077034497e+03
3.023255813953488413e+00,-7.380201318986619299e+03
3.124031007751937761e+00,-7.380231502783404721e+03
3.224806201550387552e+00,-7.380260711588089180e+03
3.325581395348837344e+00,-7.380288753010016080e+03
3.426356589147286691e+00,-7.380315517012607415e+03
3.527131782945736482e+00,-7.380340983755093475e+03
3.627906976744185830e+00,-7.380365114158378674e+03
3.728682170542635621e+00,-7.380387916522561682e+03
3.829457364341085412e+00,-7.380409454748161806e+03
3.930232558139534760e+00,-7.380429758659639447e+03
4.031007751937984551e+00,-7.380448839742462951e+03
4.131782945736434343e+00,-7.380466765521086927e+03
4.232558139534883246e+00,-7.380483604437287795e+03
4.333333333333333037e+00,-7.380499393983484879e+03
4.434108527131782829e+00,-7.380514177142873450e+03
4.534883720930232620e+00,-7.380528015273008350e+03
4.635658914728682412e+00,-7.380540972952006086e+03
4.736434108527131315e+00,-7.380553084331674654e+03
4.837209302325581106e+00,-7.380564393308658509e+03
4.937984496124030898e+00,-7.380574967912829379e+03
5.038759689922480689e+00,-7.380584845222540025e+03
5.139534883720930480e+00,-7.380594056486203044e+03
5.240310077519379384e+00,-7.380602647104929929e+03
5.341085271317829175e+00,-7.380610664090326281e+03
5.441860465116278966e+00,-7.380618143371269070e+03
5.542635658914728758e+00,-7.380625110189826955e+03
5.643410852713178549e+00,-7.380631596427054319e+03
5.744186046511627453e+00,-7.380637637541986805e+03
5.844961240310077244e+00,-7.380643259661110278e+03
5.945736434108527035e+00,-7.380648485051651733e+03
6.046511627906976827e+00,-7.380653340408474833e+03
6.147286821705426618e+00,-7.380657852562953849e+03
6.248062015503875521e+00,-7.380662041793332719e+03
6.348837209302325313e+00,-7.380665927018759248e+03
6.449612403100775104e+00,-7.380669529256440001e+03
6.550387596899224896e+00,-7.380672867408142338e+03
6.651162790697674687e+00,-7.380675955657563463e+03
6.751937984496123590e+00,-7.380678810047619663e+03
6.852713178294573382e+00,-7.380681449505571436e+03
6.953488372093023173e+00,-7.380683886162736599e+03
7.054263565891472965e+00,-7.380686131008196753e+03
7.155038759689922756e+00,-7.380688198994669619e+03
7.255813953488371659e+00,-7.380690101362098176e+03
7.356589147286821451e+00,-7.380691848305522399e+03
7.457364341085271242e+00,-7.380693451280352747e+03
7.558139534883721034e+00,-7.380694920966616337e+03
7.658914728682170825e+00,-7.380696265717509050e+03
7.759689922480619728e+00,-7.380697490990132792e+03
7.860465116279069520e+00,-7.380698606531408586e+03
7.961240310077519311e+00,-7.380699620673991376e+03
8.062015503875969102e+00,-7.380700538529874393e+03
8.162790697674418894e+00,-7.380701367488029064e+03
8.263565891472868685e+00,-7.380702114417108533e+03
8.364341085271318477e+00,-7.380702784378540855e+03
8.465116279069766492e+00,-7.380703381619949141e+03
8.565891472868216283e+00,-7.380703911679895100e+03
8.666666666666666075e+00,-7.380704380552566363e+03
