time,R_loc
0.000000000000000000e+00,-5.899998953979099348e+00
1.007751937984496110e-01,-4.160916386680763246e+00
2.015503875968992220e-01,-2.130016403461535646e+00
3.023255813953488191e-01,-4.836217235340142251e-01
4.031007751937984440e-01,5.503498949949870989e-01
5.038759689922480689e-01,6.601986092714967613e-01
6.046511627906976383e-01,6.105485497658384997e-01
7.054263565891473187e-01,5.589589742131332306e-01
8.062015503875968880e-01,5.227913968963424640e-01
9.069767441860464574e-01,5.018821855542089372e-01
1.007751937984496138e+00,4.923399043011764675e-01
1.108527131782945707e+00,4.903922732741640145e-01
1.209302325581395277e+00,4.931861413691032703e-01
1.310077519379844846e+00,4.987481728009458548e-01
1.410852713178294637e+00,5.057731775807330354e-01
1.511627906976744207e+00,5.134226237430489226e-01
1.612403100775193776e+00,5.211727726607058298e-01
1.713178294573643345e+00,5.287073822241340482e-01
1.813953488372092915e+00,5.358451543579357823e-01
1.914728682170542706e+00,5.424916762214064825e-01
2.015503875968992276e+00,5.486075851868085218e-01
2.116279069767441623e+00,5.541877129044879835e-01
2.217054263565891414e+00,5.592475956819074057e-01
2.317829457364341206e+00,5.638146573671448669e-01
2.418604651162790553e+00,5.679225231367563964e-01
2.519379844961240345e+00,5.716074215479112208e-01
2.620155038759689692e+00,5.749059674583506530e-01
2.720930232558139483e+00,5.778537471223821331e-01
2.821705426356589275e+00,5.804845313497769554e-01
2.922480620155038622e+00,5.828298387821295723e-01
3.023255813953488413e+00,5.849187839651310838e-01
3.124031007751937761e+00,5.867779960848411580e-01
3.224806201550387552e+00,5.884317073579548030e-01
3.325581395348837344e+00,5.899018573124475973e-01
3.426356589147286691e+00,5.912082254650539159e-01
3.527131782945736482e+00,5.923686159813102980e-01
3.627906976744185830e+00,5.933989884569623730e-01
3.728682170542635621e+00,5.943136537669193586e-01
3.829457364341085412e+00,5.797411069402569339e-01
3.930232558139534760e+00,5.643124610238414718e-01
4.031007751937984551e+00,5.497692309175405967e-01
4.131782945736434343e+00,5.360387659858467657e-01
4.232558139534883246e+00,5.230560859714739053e-01
4.333333333333333037e+00,5.107629208606079274e-01
4.434108527131782829e+00,4.991068704857104521e-01
4.534883720930232620e+00,4.880406941146220312e-01
4.635658914728682412e+00,4.775216956506844745e-01
4.736434108527131315e+00,4.675111912183504970e-01
4.837209302325581106e+00,4.579740589885639146e-01
4.937984496124030898e+00,4.488783417536112985e-01
5.038759689922480689e+00,4.401949000587546124e-01
5.139534883720930480e+00,4.318971094860457605e-01
5.240310077519379384e+00,4.239605954220460049e-01
5.341085271317829175e+00,4.163630030057374753e-01
5.441860465116278966e+00,4.090837934581093016e-01
5.542635658914728758e+00,4.021040611798532005e-01
5.643410852713178549e+00,3.954063772376725794e-01
5.744186046511627453e+00,3.889746468740962193e-01
5.844961240310077244e+00,3.827939844130989755e-01
5.945736434108527035e+00,3.768506022863715721e-01
6.046511627906976827e+00,3.711317105165035102e-01
6.147286821705426618e+00,3.656254278540382874e-01
6.248062015503875521e+00,3.603207029585775434e-01
6.348837209302325313e+00,3.552072420191787483e-01
6.449612403100775104e+00,3.502754443614197744e-01
6.550387596899224896e+00,3.455163461139887371e-01
6.651162790697674687e+00,3.409215665467479894e-01
6.751937984496123590e+00,3.364832611985058008e-01
6.852713178294573382e+00,3.321940800840583741e-01
6.953488372093023173e+00,3.280471284027031142e-01
7.054263565891472965e+00,3.240359315315188837e-01
7.155038759689922756e+00,3.201544037413628363e-01
7.255813953488371659e+00,3.163968183492182895e-01
7.356589147286821451e+00,3.127577818985705083e-01
7.457364341085271242e+00,3.092322100189948131e-01
7.558139534883721034e+00,3.058153046978095979e-01
7.658914728682170825e+00,3.025025355762878121e-01
7.759689922480619728e+00,2.992896195250227542e-01
7.860465116279069520e+00,2.961725056090797059e-01
7.961240310077519311e+00,2.931473581085225488e-01
8.062015503875969102e+00,2.902105428175677515e-01
8.162790697674418894e+00,2.873586137375205851e-01
8.263565891472868685e+00,2.845883009163635569e-01
8.364341085271318477e+00,2.818964992216260734e-01
8.465116279069766492e+00,2.792802579771463956e-01
8.565891472868216283e+00,2.767367713804591567e-01
8.666666666666666075e+00,2.742633696158069956e-01
8.767441860465115866e+00,2.718575106471637914e-01
8.868217054263565657e+00,2.695167726583097556e-01
8.968992248062015449e+00,2.672388465206620989e-01
9.069767441860465240e+00,2.650215301380764998e-01
9.170542635658915032e+00,2.628627213830531106e-01
9.271317829457364823e+00,2.607604129515467273e-01
9.372093023255814614e+00,2.587126865221528460e-01
9.472868217054262630e+00,2.567177086621602600e-01
9.573643410852712421e+00,2.547737253319470874e-01
9.674418604651162212e+00,2.528790580061390791e-01
9.775193798449612004e+00,2.510320996074177913e-01
9.875968992248061795e+00,2.492313103431842425e-01
9.976744186046511587e+00,2.474752150167375264e-01
1.007751937984496138e+01,2.457623985534229671e-01
1.017829457364341117e+01,2.440915040872321251e-01
1.027906976744186096e+01,2.424612289449179503e-01
1.037984496124031075e+01,2.408703226181030388e-01
1.048062015503875877e+01,2.393175841742048449e-01
1.058139534883720856e+01,2.378018591521480207e-01
1.068217054263565835e+01,2.363220382222905314e-01
1.078294573643410814e+01,2.348770543622938356e-01
1.088372093023255793e+01,2.334658809142325930e-01
1.098449612403100772e+01,2.320875299253316593e-01
1.108527131782945752e+01,2.307410503351800535e-01
1.118604651162790731e+01,2.294255260311059419e-01
1.128682170542635710e+01,2.281400742504963164e-01
1.138759689922480689e+01,2.268838442988363457e-01
1.148837209302325491e+01,2.256560160986131880e-01
1.158914728682170470e+01,2.244557985569411995e-01
1.168992248062015449e+01,2.232824285542181486e-01
1.179069767441860428e+01,2.221351694062928539e-01
1.189147286821705407e+01,2.210133102885369905e-01
1.199224806201550386e+01,2.199161643606090122e-01
1.209302325581395365e+01,2.188430685461442704e-01
1.219379844961240345e+01,2.177933817936947292e-01
1.229457364341085324e+01,2.167664846439154580e-01
1.239534883720930303e+01,2.157617783231716158e-01
1.249612403100775104e+01,2.147786834823944835e-01
1.259689922480620083e+01,2.138166398197791085e-01
1.269767441860465063e+01,2.128751053010261018e-01
1.279844961240310042e+01,2.119535549953421860e-01
1.289922480620155021e+01,2.110514809999797237e-01
1.300000000000000000e+01,2.101683913378199486e-01
