time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999822e+01,1.200000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,2.000000000000000000e+00
1.007751937984496110e-01,6.124616750970159451e+00,1.771164430030466086e+00,1.675472223077444811e+00,1.771164430030466752e+00,2.769778188549042497e+01,3.139440303504272123e+01,2.953391113513702138e+01,1.851220931194230701e+01,1.081550590800524070e+01,1.764708207039181298e+00
2.015503875968992220e-01,6.573588725185948611e+00,2.631784617302382667e+00,2.304190342316877249e+00,2.631784617302383555e+00,3.102008004229834626e+01,3.507506692731576692e+01,3.304894083035173935e+01,1.922080866138934496e+01,9.894831190573185609e+00,2.416668268100352623e+00
3.023255813953488191e-01,6.516703341625505352e+00,3.312276674134988497e+00,2.692479869578955576e+00,3.312276674134989385e+00,3.082320509799246366e+01,3.480803364498791552e+01,3.281558932434396780e+01,1.861161562401299463e+01,9.082511059887746541e+00,3.024448802076687315e+00
4.031007751937984440e-01,6.269781408622272956e+00,3.737023942816264821e+00,2.880101829124825041e+00,3.737023942816266597e+00,3.006373070667697789e+01,3.403454904529117897e+01,3.204833279281275082e+01,1.780814345663634413e+01,8.285859157839148281e+00,3.161244393957089560e+00
5.038759689922480689e-01,6.016581240460125990e+00,3.978370996508323376e+00,2.973889047783501827e+00,3.978370996508324708e+00,2.936614034901118586e+01,3.333998020088688463e+01,3.135220085650244926e+01,1.716236599060115608e+01,7.615972267543477336e+00,2.915739184209810375e+00
6.046511627906976383e-01,5.810413144272139618e+00,4.114603858150026383e+00,3.035827991776885337e+00,4.114603858150027271e+00,2.886386361541822865e+01,3.284475939902802821e+01,3.085363014695631989e+01,1.672392917729856165e+01,7.111681426079157653e+00,2.532093897873674226e+00
7.054263565891473187e-01,5.651856614276511870e+00,4.193290415097249202e+00,3.089762188228826201e+00,4.193290415097248314e+00,2.853524159858451270e+01,3.252250524636179563e+01,3.052839742854895277e+01,1.644503700230158216e+01,6.752277260561877270e+00,2.153955174765829206e+00
8.062015503875968880e-01,5.529386110787677389e+00,4.239816734174490342e+00,3.142857830577439504e+00,4.239816734174491231e+00,2.832827105657080935e+01,3.232012485301180504e+01,3.032388547617572172e+01,1.627160276793523508e+01,6.502795854527599673e+00,1.829835220676492513e+00
9.069767441860464574e-01,5.431999599192568695e+00,4.267733076849054896e+00,3.196475037352748849e+00,4.267733076849054896e+00,2.819974947245327002e+01,3.219463747461327330e+01,3.019699426646675988e+01,1.616453685503310211e+01,6.332217983080770551e+00,1.565445021536229442e+00
1.007751937984496138e+00,5.351653307436367690e+00,4.284558665514015097e+00,3.250272425543371035e+00,4.284558665514014208e+00,2.812045399499428555e+01,3.211727877080050320e+01,3.011874183830241947e+01,1.609873551997890573e+01,6.216955272220014983e+00,1.352884001174461615e+00
1.108527131782945707e+00,5.282960047635698153e+00,4.294642462160887852e+00,3.303577697013603487e+00,4.294642462160886964e+00,2.807185575433350522e+01,3.206990430380822943e+01,3.007080281065518790e+01,1.605858862990372415e+01,6.139983144697234607e+00,1.181891247670743716e+00
