time,connectedness
0.000000000000000000e+00,1.610009337752481429e+02
1.007751937984496110e-01,2.684710706347494238e+02
2.015503875968992220e-01,3.059216634405250375e+02
3.023255813953488191e-01,3.169821761425420732e+02
4.031007751937984440e-01,3.175245860276288568e+02
5.038759689922480689e-01,3.141103777697393298e+02
6.046511627906976383e-01,3.102205024818427432e+02
7.054263565891473187e-01,3.070123736225741595e+02
8.062015503875968880e-01,3.046256773301415706e+02
9.069767441860464574e-01,3.029120528879940366e+02
1.007751937984496138e+00,3.016923537389019998e+02
1.108527131782945707e+00,3.008212499352777627e+02
1.209302325581395277e+00,3.001929282001697743e+02
1.310077519379844846e+00,2.997332898847585625e+02
1.410852713178294637e+00,2.993912067993416599e+02
1.511627906976744207e+00,2.991315295343591174e+02
1.612403100775193776e+00,2.989301873471208069e+02
1.713178294573643345e+00,2.987705611888716817e+02
1.813953488372092915e+00,2.986411880021693150e+02
1.914728682170542706e+00,2.985340881268181192e+02
2.015503875968992276e+00,2.984436634135485633e+02
2.116279069767441623e+00,2.983659535669356728e+02
2.217054263565891414e+00,2.982981063571073719e+02
2.317829457364341206e+00,2.982380764294500750e+02
2.418604651162790553e+00,2.981843357155682384e+02
2.519379844961240345e+00,2.981357538193205983e+02
2.620155038759689692e+00,2.980914713680868431e+02
2.720930232558139483e+00,2.980508290319223761e+02
2.821705426356589275e+00,2.980133002393413335e+02
2.922480620155038622e+00,2.979784940557568689e+02
3.023255813953488413e+00,2.979460507536649061e+02
3.124031007751937761e+00,2.979157231434958248e+02
3.224806201550387552e+00,2.978872728680062778e+02
3.325581395348837344e+00,2.978605273764062531e+02
3.426356589147286691e+00,2.978353133718651407e+02
3.527131782945736482e+00,2.978115015186784262e+02
3.627906976744185830e+00,2.977889754998591343e+02
3.728682170542635621e+00,2.977676277796500699e+02
3.829457364341085412e+00,2.977473704036279969e+02
3.930232558139534760e+00,2.977281270913348408e+02
4.031007751937984551e+00,2.977098245266048480e+02
4.131782945736434343e+00,2.976923975353213905e+02
