time,potential_global
0.000000000000000000e+00,7.423523976383186209e+02
1.007751937984496110e-01,9.941834119725516530e+02
2.015503875968992220e-01,1.075614285725468335e+03
3.023255813953488191e-01,1.097651317944898437e+03
4.031007751937984440e-01,1.095846414463422207e+03
5.038759689922480689e-01,1.086159765603601272e+03
6.046511627906976383e-01,1.076371366802439297e+03
7.054263565891473187e-01,1.068690199670461425e+03
8.062015503875968880e-01,1.063146332708972068e+03
9.069767441860464574e-01,1.059253369796940433e+03
1.007751937984496138e+00,1.056532832267506137e+03
1.108527131782945707e+00,1.054621193345580195e+03
1.209302325581395277e+00,1.053262886344062281e+03
1.310077519379844846e+00,1.052283084760979818e+03
1.410852713178294637e+00,1.051563306337552831e+03
1.511627906976744207e+00,1.051023328935935524e+03
1.612403100775193776e+00,1.050608891286745120e+03
1.713178294573643345e+00,1.050283015347505852e+03
1.813953488372092915e+00,1.050020452461515106e+03
1.914728682170542706e+00,1.049803818252084966e+03
2.015503875968992276e+00,1.049621044860810343e+03
2.116279069767441623e+00,1.049463682574762515e+03
2.217054263565891414e+00,1.049325727079105263e+03
2.317829457364341206e+00,1.049202909349419087e+03
2.418604651162790553e+00,1.049092098687122416e+03
2.519379844961240345e+00,1.048991006840402861e+03
2.620155038759689692e+00,1.048897924302222464e+03
2.720930232558139483e+00,1.048811560799637846e+03
2.821705426356589275e+00,1.048730910682892272e+03
2.922480620155038622e+00,1.048655228287519776e+03
3.023255813953488413e+00,1.048583862176100183e+03
3.124031007751937761e+00,1.048516355396774543e+03
3.224806201550387552e+00,1.048452289378815749e+03
3.325581395348837344e+00,1.048391357446484108e+03
3.426356589147286691e+00,1.048333265471994764e+03
3.527131782945736482e+00,1.048277791770876092e+03
3.627906976744185830e+00,1.048224740344229303e+03
3.728682170542635621e+00,1.048173932997131487e+03
3.829457364341085412e+00,1.048125223227567631e+03
3.930232558139534760e+00,1.048078483960957556e+03
4.031007751937984551e+00,1.048033594397316165e+03
4.131782945736434343e+00,1.047990446807988292e+03
4.232558139534883246e+00,1.047948947954944288e+03
4.333333333333333037e+00,1.047909011420172192e+03
4.434108527131782829e+00,1.047870554966113787e+03
4.534883720930232620e+00,1.047833505478845836e+03
4.635658914728682412e+00,1.047797793551369750e+03
4.736434108527131315e+00,1.047763360748228934e+03
4.837209302325581106e+00,1.047730139662246756e+03
4.937984496124030898e+00,1.047698077368469285e+03
5.038759689922480689e+00,1.047667124913269390e+03
5.139534883720930480e+00,1.047637230190834771e+03
5.240310077519379384e+00,1.047608345136932712e+03
5.341085271317829175e+00,1.047580426624283064e+03
5.441860465116278966e+00,1.047553434885338902e+03
5.542635658914728758e+00,1.047527329767812034e+03
5.643410852713178549e+00,1.047502072819973819e+03
5.744186046511627453e+00,1.047477628895675252e+03
5.844961240310077244e+00,1.047453964737357637e+03
5.945736434108527035e+00,1.047431047963370474e+03
6.046511627906976827e+00,1.047408847792063170e+03
6.147286821705426618e+00,1.047387335384268454e+03
6.248062015503875521e+00,1.047366483232132396e+03
6.348837209302325313e+00,1.047346264880699891e+03
6.449612403100775104e+00,1.047326655185132040e+03
6.550387596899224896e+00,1.047307630329746189e+03
6.651162790697674687e+00,1.047289167565352273e+03
6.751937984496123590e+00,1.047271245120768754e+03
6.852713178294573382e+00,1.047253842268449034e+03
6.953488372093023173e+00,1.047236939278838918e+03
7.054263565891472965e+00,1.047220517300746678e+03
7.155038759689922756e+00,1.047204558318993122e+03
7.255813953488371659e+00,1.047189045152369772e+03
7.356589147286821451e+00,1.047173961406564786e+03
7.457364341085271242e+00,1.047159291411809590e+03
7.558139534883721034e+00,1.047145020191801905e+03
7.658914728682170825e+00,1.047131133442264854e+03
7.759689922480619728e+00,1.047117617493259104e+03
7.860465116279069520e+00,1.047104459270560710e+03
7.961240310077519311e+00,1.047091646269448347e+03
8.062015503875969102e+00,1.047079166530529619e+03
8.162790697674418894e+00,1.047067008610649282e+03
8.263565891472868685e+00,1.047055161555497307e+03
8.364341085271318477e+00,1.047043614877248501e+03
8.465116279069766492e+00,1.047032358532883563e+03
8.565891472868216283e+00,1.047021382901551306e+03
8.666666666666666075e+00,1.047010678763570013e+03
8.767441860465115866e+00,1.047000237281695263e+03
8.868217054263565657e+00,1.046990049982964138e+03
8.968992248062015449e+00,1.046980108740827518e+03
9.069767441860465240e+00,1.046970405758481775e+03
9.170542635658915032e+00,1.046960933553429641e+03
9.271317829457364823e+00,1.046951684942628845e+03
9.372093023255814614e+00,1.046942653028220548e+03
9.472868217054262630e+00,1.046933831184130895e+03
