time,R_energy_linear
0.000000000000000000e+00,-1.809999999138201421e+00
1.004016064257028107e-01,-2.184853047641519108e+00
2.008032128514056214e-01,-3.006663010915599621e+00
3.012048192771084043e-01,-4.421668610347575523e+00
4.016064257028112428e-01,-6.655864988728473541e+00
5.020080321285140812e-01,-1.004229118836858703e+01
6.024096385542168086e-01,-1.505662881729667468e+01
7.028112449799196471e-01,-2.235979341261548470e+01
8.032128514056224855e-01,-3.284099304986644796e+01
9.036144578313253239e-01,-4.764265257900026285e+01
1.004016064257028162e+00,-6.812229593220335744e+01
1.104417670682730890e+00,-9.565235548527796539e+01
1.204819277108433617e+00,-1.310560482266618578e+02
1.305220883534136567e+00,-1.733152294761379153e+02
1.405622489959839294e+00,-2.170870666276092038e+02
1.506024096385542244e+00,-2.493982545191313989e+02
1.606425702811244971e+00,-2.519417759745327317e+02
1.706827309236947698e+00,-2.439337304103762278e+02
1.807228915662650648e+00,-4.987625255646855749e+02
1.907630522088353375e+00,-2.203409778776656367e+03
2.008032128514056325e+00,-7.890617625585116912e+03
2.108433734939759052e+00,-1.685149298367394658e+04
2.208835341365461780e+00,-1.895025640638960249e+04
2.309236947791164507e+00,-1.143385027452609575e+04
2.409638554216867234e+00,-4.418738693759868511e+03
2.510040160642570406e+00,-1.391906852767307100e+03
2.610441767068273133e+00,-4.698486466034767659e+02
2.710843373493975861e+00,-2.226339758836635383e+02
2.811244979919678588e+00,-1.494776175503688478e+02
2.911646586345381316e+00,-1.166655501521128002e+02
3.012048192771084487e+00,-9.359136278882067472e+01
3.112449799196787215e+00,-7.437883306083078594e+01
3.212851405622489942e+00,-5.820178181338440737e+01
3.313253012048192669e+00,-4.490640264552561689e+01
3.413654618473895397e+00,-3.424631406111525678e+01
3.514056224899598568e+00,-2.586329614479007688e+01
3.614457831325301296e+00,-1.936601224379415953e+01
3.714859437751004023e+00,-1.438601697855457040e+01
3.815261044176706751e+00,-1.060401890985291651e+01
3.915662650602409478e+00,-7.757287472974192077e+00
4.016064257028112650e+00,-5.637621610555041407e+00
4.116465863453814933e+00,-4.085666613989130447e+00
4.216867469879518104e+00,-2.984738117818322767e+00
4.317269076305221276e+00,-2.255799469311766003e+00
4.417670682730923559e+00,-1.854481644742742796e+00
4.518072289156626731e+00,-1.770739276433182852e+00
4.618473895582329014e+00,-2.031709556819542684e+00
4.718875502008032186e+00,-2.708478832515307300e+00
4.819277108433734469e+00,-3.927689074400454228e+00
4.919678714859437640e+00,-5.889155029074247594e+00
5.020080321285140812e+00,-8.890769126054834715e+00
5.120481927710843095e+00,-1.336163780944285406e+01
5.220883534136546267e+00,-1.990295103869350157e+01
5.321285140562248550e+00,-2.933211702415134781e+01
5.421686746987951722e+00,-4.271617526236382645e+01
5.522088353413654893e+00,-6.135960564390258298e+01
5.622489959839357176e+00,-8.666751566396470707e+01
5.722891566265060348e+00,-1.197194243875286190e+02
5.823293172690762631e+00,-1.602420258149031156e+02
5.923694779116465803e+00,-2.045169610617113563e+02
6.024096385542168974e+00,-2.421153189250750302e+02
