time,R_energy_linear_jacobian
0.000000000000000000e+00,-4.668214834301661398e+00
1.004016064257028107e-01,-5.195292521727091994e+00
2.008032128514056214e-01,-5.981012790854686401e+00
3.012048192771084043e-01,-7.154771448428419944e+00
4.016064257028112428e-01,-8.897387400433796500e+00
5.020080321285140812e-01,-1.145416437619276806e+01
6.024096385542168086e-01,-1.514226960539996014e+01
7.028112449799196471e-01,-2.033709249308407863e+01
8.032128514056224855e-01,-2.740354966893453081e+01
9.036144578313253239e-01,-3.651110427819405402e+01
1.004016064257028162e+00,-4.727609957460412460e+01
1.104417670682730890e+00,-5.837367583691300865e+01
1.204819277108433617e+00,-6.777767696423707378e+01
1.305220883534136567e+00,-7.410117490547618502e+01
1.405622489959839294e+00,-7.748813321854485991e+01
1.506024096385542244e+00,-7.859464196835710936e+01
1.606425702811244971e+00,-7.744729036463458272e+01
1.706827309236947698e+00,-7.362518501293514817e+01
1.807228915662650648e+00,-6.687003718977825883e+01
1.907630522088353375e+00,-5.755806143225141369e+01
2.008032128514056325e+00,-4.704077454207975251e+01
2.108433734939759052e+00,-3.734558675321230936e+01
2.208835341365461780e+00,-2.979578949367710905e+01
2.309236947791164507e+00,-2.409552257704592648e+01
2.409638554216867234e+00,-1.933879508504938727e+01
2.510040160642570406e+00,-1.516510257122688721e+01
2.610441767068273133e+00,-1.164645428470311295e+01
2.710843373493975861e+00,-8.861214978157100575e+00
2.811244979919678588e+00,-6.776594725012565767e+00
2.911646586345381316e+00,-5.289859889742923649e+00
3.012048192771084487e+00,-4.278638016568819147e+00
3.112449799196787215e+00,-3.628348060287162724e+00
3.212851405622489942e+00,-3.242536433968899789e+00
3.313253012048192669e+00,-3.044551116097823140e+00
3.413654618473895397e+00,-2.975644496933476990e+00
3.514056224899598568e+00,-2.991998570134823066e+00
3.614457831325301296e+00,-3.061766078833660476e+00
3.714859437751004023e+00,-3.162554154548146368e+00
3.815261044176706751e+00,-3.279484484276439016e+00
3.915662650602409478e+00,-3.403852348764698554e+00
4.016064257028112650e+00,-3.532381758796367954e+00
4.116465863453814933e+00,-3.667092099609416067e+00
4.216867469879518104e+00,-3.815834620840671043e+00
4.317269076305221276e+00,-3.993617866006385242e+00
4.417670682730923559e+00,-4.224917446862379578e+00
4.518072289156626731e+00,-4.547254277420294422e+00
4.618473895582329014e+00,-5.016415745006158389e+00
4.718875502008032186e+00,-5.713752252541040022e+00
4.819277108433734469e+00,-6.755919790825814175e+00
4.919678714859437640e+00,-8.307044135922700079e+00
5.020080321285140812e+00,-1.059205859782636239e+01
5.120481927710843095e+00,-1.390681091322298002e+01
5.220883534136546267e+00,-1.861315427927739563e+01
5.321285140562248550e+00,-2.509173647722715828e+01
5.421686746987951722e+00,-3.359929784536929276e+01
5.522088353413654893e+00,-4.396288872458636376e+01
5.622489959839357176e+00,-5.515885243986356556e+01
5.722891566265060348e+00,-6.527172529953894298e+01
5.823293172690762631e+00,-7.256039290018358656e+01
5.923694779116465803e+00,-7.674201445870464511e+01
6.024096385542168974e+00,-7.848804457954415170e+01
6.124497991967871258e+00,-7.804673083444762938e+01
6.224899598393574429e+00,-7.506373766773177181e+01
6.325301204819276712e+00,-6.917765930471699676e+01
6.425702811244979884e+00,-6.053176615194422538e+01
6.526104417670683056e+00,-5.017318035311207325e+01
6.626506024096385339e+00,-4.003120118995393995e+01
6.726907630522088510e+00,-3.180563088979231878e+01
6.827309236947790794e+00,-2.565532395460481396e+01
6.927710843373493965e+00,-2.068802866284315911e+01
7.028112449799197137e+00,-1.634271046464078481e+01
7.128514056224899420e+00,-1.261667622210750395e+01
7.228915662650602592e+00,-9.612231366883650097e+00
7.329317269076304875e+00,-7.328167536095395285e+00
7.429718875502008046e+00,-5.676409468957141158e+00
7.530120481927711218e+00,-4.536531684497647099e+00
7.630522088353413501e+00,-3.789975199975354592e+00
7.730923694779116673e+00,-3.334462238128268474e+00
7.831325301204818956e+00,-3.087559594829743403e+00
7.931726907630522128e+00,-2.985491554362370792e+00
8.032128514056225299e+00,-2.980326065905253952e+00
8.132530120481927582e+00,-3.036946093286977177e+00
8.232931726907629866e+00,-3.130379253536448303e+00
8.333333333333333925e+00,-3.243681540487287851e+00
8.433734939759036209e+00,-3.366418666289805461e+00
8.534136546184738492e+00,-3.493743874510736980e+00
8.634538152610442552e+00,-3.626079117758969517e+00
8.734939759036144835e+00,-3.769443144529645462e+00
8.835341365461847118e+00,-3.936525845959559788e+00
8.935742971887549402e+00,-4.148680062883937758e+00
9.036144578313253461e+00,-4.439087773878594767e+00
9.136546184738955745e+00,-4.857449342559253758e+00
