time,R_energy_pc
0.000000000000000000e+00,-4.506286446605807328e+01
1.004016064257028107e-01,-4.530050166083692886e+01
2.008032128514056214e-01,-4.566204726464319918e+01
3.012048192771084043e-01,-4.616183195945319540e+01
4.016064257028112428e-01,-4.680931599236289031e+01
5.020080321285140812e-01,-4.760696994387484438e+01
6.024096385542168086e-01,-4.854732586634688118e+01
7.028112449799196471e-01,-4.960986441567706606e+01
8.032128514056224855e-01,-5.075836841317916281e+01
9.036144578313253239e-01,-5.193781758433186724e+01
1.004016064257028162e+00,-5.307163415429644715e+01
1.104417670682730890e+00,-5.406116431795731359e+01
1.204819277108433617e+00,-5.478818678722273461e+01
1.305220883534136567e+00,-5.512943656710955764e+01
1.405622489959839294e+00,-5.497970307496623832e+01
1.506024096385542244e+00,-5.428504800141514863e+01
1.606425702811244971e+00,-5.308972811757532639e+01
1.706827309236947698e+00,-5.156741209282016314e+01
1.807228915662650648e+00,-5.000812375668263599e+01
1.907630522088353375e+00,-4.873195086285348765e+01
2.008032128514056325e+00,-4.795950788437926349e+01
2.108433734939759052e+00,-4.773095799993576094e+01
2.208835341365461780e+00,-4.791725389106777300e+01
2.309236947791164507e+00,-4.831060075145236254e+01
2.409638554216867234e+00,-4.872632392191960804e+01
2.510040160642570406e+00,-4.904749905997063308e+01
2.610441767068273133e+00,-4.921737306382561883e+01
2.710843373493975861e+00,-4.922040192959275373e+01
2.811244979919678588e+00,-4.906632512908796429e+01
2.911646586345381316e+00,-4.878112284198482484e+01
3.012048192771084487e+00,-4.840103325396766820e+01
3.112449799196787215e+00,-4.796276381297088420e+01
3.212851405622489942e+00,-4.749841033493023446e+01
3.313253012048192669e+00,-4.703441756971430010e+01
3.413654618473895397e+00,-4.659131487805066030e+01
3.514056224899598568e+00,-4.618408369545320369e+01
3.614457831325301296e+00,-4.582277924130272595e+01
3.714859437751004023e+00,-4.551322098902206648e+01
3.815261044176706751e+00,-4.525769472095046098e+01
3.915662650602409478e+00,-4.505563341013065326e+01
4.016064257028112650e+00,-4.490426037469143239e+01
4.116465863453814933e+00,-4.479914298256694138e+01
4.216867469879518104e+00,-4.473604079251623489e+01
4.317269076305221276e+00,-4.471757690047391520e+01
4.417670682730923559e+00,-4.475600800770208565e+01
4.518072289156626731e+00,-4.487067713680067271e+01
4.618473895582329014e+00,-4.508513511365372750e+01
4.718875502008032186e+00,-4.542022766374299181e+01
4.819277108433734469e+00,-4.589137928560462143e+01
4.919678714859437640e+00,-4.650943233295837587e+01
5.020080321285140812e+00,-4.727859634599478511e+01
5.120481927710843095e+00,-4.819377201091241858e+01
5.220883534136546267e+00,-4.923778687375678942e+01
5.321285140562248550e+00,-5.037814934296093128e+01
5.421686746987951722e+00,-5.156334157270518403e+01
5.522088353413654893e+00,-5.272094779982704438e+01
5.622489959839357176e+00,-5.375674155836870938e+01
5.722891566265060348e+00,-5.455608981091383924e+01
5.823293172690762631e+00,-5.499456602149457751e+01
5.923694779116465803e+00,-5.495972402583967664e+01
6.024096385542168974e+00,-5.438337343992624540e+01
6.124497991967871258e+00,-5.328626201411321262e+01
6.224899598393574429e+00,-5.181513342648803899e+01
6.325301204819276712e+00,-5.024039971485618139e+01
6.425702811244979884e+00,-4.888404945462711737e+01
6.526104417670683056e+00,-4.799556613314150155e+01
6.626506024096385339e+00,-4.765657201279118027e+01
6.726907630522088510e+00,-4.776947501691872588e+01
6.827309236947790794e+00,-4.813457526506964967e+01
6.927710843373493965e+00,-4.855693601314305141e+01
7.028112449799197137e+00,-4.890471779257319440e+01
7.128514056224899420e+00,-4.910938095803693670e+01
7.228915662650602592e+00,-4.914758801561631429e+01
7.329317269076304875e+00,-4.902451322726805927e+01
7.429718875502008046e+00,-4.876273558222280258e+01
7.530120481927711218e+00,-4.839701350171949201e+01
7.630522088353413501e+00,-4.796518950964892980e+01
7.730923694779116673e+00,-4.750076552458643420e+01
7.831325301204818956e+00,-4.703163844254393666e+01
7.931726907630522128e+00,-4.657974710312693389e+01
8.032128514056225299e+00,-4.616133300707948450e+01
8.132530120481927582e+00,-4.578748059781349156e+01
8.232931726907629866e+00,-4.546484753759900599e+01
8.333333333333333925e+00,-4.519641039946662175e+01
8.433734939759036209e+00,-4.498212897995620807e+01
8.534136546184738492e+00,-4.481959766635319653e+01
8.634538152610442552e+00,-4.470461525710892658e+01
8.734939759036144835e+00,-4.463260601680580208e+01
8.835341365461847118e+00,-4.460508145466911145e+01
8.935742971887549402e+00,-4.463296011155708243e+01
9.036144578313253461e+00,-4.473429414408145988e+01
9.136546184738955745e+00,-4.493241050220118638e+01
9.236947791164658028e+00,-4.524892553313212318e+01
9.337349397590362088e+00,-4.570005835892641244e+01
9.437751004016064371e+00,-4.629760799598788168e+01
9.538152610441766655e+00,-4.704702328998151017e+01
9.638554216867468938e+00,-4.794489876499745407e+01
9.738955823293172998e+00,-4.897609702992237857e+01
9.839357429718875281e+00,-5.011051432609999523e+01
9.939759036144577564e+00,-5.130010568092108514e+01
1.004016064257028162e+01,-5.247603705716972655e+01
1.014056224899598391e+01,-5.354682254816989939e+01
1.024096385542168619e+01,-5.439972262910895040e+01
1.034136546184739025e+01,-5.491091333482478376e+01
1.044176706827309253e+01,-5.496450110677549361e+01
1.054216867469879482e+01,-5.448199853681293092e+01
1.064257028112449710e+01,-5.346534917924598318e+01
1.074297188755020116e+01,-5.203769132291146349e+01
1.084337349397590344e+01,-5.045164587448604721e+01
1.094377510040160573e+01,-4.902953378188417588e+01
1.104417670682730979e+01,-4.804271267734066697e+01
1.114457831325301207e+01,-4.760505399775740898e+01
1.124497991967871435e+01,-4.764729668546743113e+01
1.134538152610441841e+01,-4.798157861570449256e+01
1.144578313253012070e+01,-4.840569343094333021e+01
1.154618473895582298e+01,-4.877384236177140764e+01
1.164658634538152526e+01,-4.900659803495676670e+01
1.174698795180722932e+01,-4.907376967403360624e+01
1.184738955823293161e+01,-4.897709049213017352e+01
1.194779116465863389e+01,-4.873652283660455709e+01
1.204819277108433795e+01,-4.838484232311487432e+01
1.214859437751004023e+01,-4.795994661886844312e+01
1.224899598393574252e+01,-4.749655664701491986e+01
1.234939759036144658e+01,-4.702380650107782856e+01
