time,R_loc
0.000000000000000000e+00,-1.443251715395033052e+00
1.004016064257028107e-01,-1.496974053396772142e+00
2.008032128514056214e-01,-1.541134617274422691e+00
3.012048192771084043e-01,-1.576463095270030479e+00
4.016064257028112428e-01,-1.603339520938180662e+00
5.020080321285140812e-01,-1.621694894274144705e+00
6.024096385542168086e-01,-1.630797898496178178e+00
7.028112449799196471e-01,-1.628787660764472012e+00
8.032128514056224855e-01,-1.611544723377752231e+00
9.036144578313253239e-01,-1.569398490911021238e+00
1.004016064257028162e+00,-1.473079509667402309e+00
1.104417670682730890e+00,-1.093218709891097262e+00
1.204819277108433617e+00,-1.270643144896110854e+00
1.305220883534136567e+00,-1.474372296972337182e+00
1.405622489959839294e+00,-1.704010178293913214e+00
1.506024096385542244e+00,-1.954120817604376281e+00
1.606425702811244971e+00,-2.208799887215562308e+00
1.706827309236947698e+00,-2.431286103554697320e+00
1.807228915662650648e+00,-2.546063115005381405e+00
1.907630522088353375e+00,-2.417409113331103754e+00
2.008032128514056325e+00,-1.860052909918862962e+00
2.108433734939759052e+00,-7.740565841629634125e-01
2.208835341365461780e+00,6.099609812793005403e-01
2.309236947791164507e+00,1.790039338978033800e+00
2.409638554216867234e+00,2.461320646185427563e+00
2.510040160642570406e+00,2.674049347284324085e+00
2.610441767068273133e+00,2.606709570862618897e+00
2.710843373493975861e+00,2.403120712202166942e+00
2.811244979919678588e+00,2.147262236240621291e+00
2.911646586345381316e+00,1.882150627796619347e+00
3.012048192771084487e+00,1.628187589752805309e+00
3.112449799196787215e+00,1.394150135947125113e+00
3.212851405622489942e+00,1.182985927467017362e+00
3.313253012048192669e+00,9.947657620551497715e-01
3.413654618473895397e+00,6.056051283872669888e-01
3.514056224899598568e+00,1.586111460224139957e-01
3.614457831325301296e+00,-1.516927651059802873e-01
3.714859437751004023e+00,-4.028762565096948300e-01
3.815261044176706751e+00,-6.130899324706478026e-01
3.915662650602409478e+00,-7.912293582467495590e-01
4.016064257028112650e+00,-9.429976402069089048e-01
4.116465863453814933e+00,-1.072561439489267521e+00
4.216867469879518104e+00,-1.183174356637077373e+00
4.317269076305221276e+00,-1.277463819905316100e+00
4.417670682730923559e+00,-1.357583294975330368e+00
4.518072289156626731e+00,-1.425300713705278444e+00
4.618473895582329014e+00,-1.482050829389222280e+00
4.718875502008032186e+00,-1.528961884214780298e+00
4.819277108433734469e+00,-1.566857863689519625e+00
4.919678714859437640e+00,-1.596229755827443419e+00
5.020080321285140812e+00,-1.617157490284999888e+00
5.120481927710843095e+00,-1.629139640645737686e+00
5.220883534136546267e+00,-1.630725818153434314e+00
5.321285140562248550e+00,-1.618660818851287875e+00
5.421686746987951722e+00,-1.585553482871054243e+00
5.522088353413654893e+00,-1.511300644020824979e+00
5.622489959839357176e+00,-1.287721865232605012e+00
5.722891566265060348e+00,-1.215237736301721938e+00
5.823293172690762631e+00,-1.411052056032868762e+00
5.923694779116465803e+00,-1.633258309485796866e+00
6.024096385542168974e+00,-1.878329512816634850e+00
6.124497991967871258e+00,-2.134277912624327200e+00
6.224899598393574429e+00,-2.372035450282083513e+00
