time,R_spec_pc
0.000000000000000000e+00,3.999999999440888132e+00
1.004016064257028107e-01,3.999999999440888132e+00
2.008032128514056214e-01,4.000000001217244971e+00
3.012048192771084043e-01,3.999999999440888132e+00
4.016064257028112428e-01,4.000000001217244971e+00
5.020080321285140812e-01,3.999999999440888132e+00
6.024096385542168086e-01,3.999999999440888132e+00
7.028112449799196471e-01,3.999999999440888132e+00
8.032128514056224855e-01,4.000000001217244971e+00
9.036144578313253239e-01,3.999999999440888132e+00
1.004016064257028162e+00,3.999999999440888132e+00
1.104417670682730890e+00,3.999999999440888132e+00
1.204819277108433617e+00,3.999999999440888132e+00
1.305220883534136567e+00,3.999999999440888132e+00
1.405622489959839294e+00,4.000000001217244971e+00
1.506024096385542244e+00,3.999999999440888132e+00
1.606425702811244971e+00,3.999999999440888132e+00
1.706827309236947698e+00,4.000000001217244971e+00
1.807228915662650648e+00,3.999999999440887244e+00
1.907630522088353375e+00,3.999999999440888132e+00
2.008032128514056325e+00,3.999999999440888132e+00
2.108433734939759052e+00,4.000000002993601811e+00
2.208835341365461780e+00,4.000000002993601811e+00
2.309236947791164507e+00,4.000000002993601811e+00
2.409638554216867234e+00,4.000000002993601811e+00
2.510040160642570406e+00,4.000000002993601811e+00
2.610441767068273133e+00,4.000000002993601811e+00
2.710843373493975861e+00,4.000000002993601811e+00
2.811244979919678588e+00,4.000000002993601811e+00
2.911646586345381316e+00,4.000000002993601811e+00
3.012048192771084487e+00,3.999999999440888132e+00
3.112449799196787215e+00,3.999999999440888132e+00
3.212851405622489942e+00,3.999999999440888132e+00
3.313253012048192669e+00,3.999999999440888132e+00
3.413654618473895397e+00,3.999999999440888132e+00
3.514056224899598568e+00,3.999999999440888132e+00
3.614457831325301296e+00,3.999999999440888132e+00
3.714859437751004023e+00,3.999999999440888132e+00
3.815261044176706751e+00,3.999999999440888132e+00
3.915662650602409478e+00,3.999999999440888132e+00
4.016064257028112650e+00,3.999999999440888132e+00
4.116465863453814933e+00,4.000000001217244971e+00
4.216867469879518104e+00,4.000000001217244971e+00
4.317269076305221276e+00,4.000000001217244971e+00
4.417670682730923559e+00,4.000000001217244971e+00
4.518072289156626731e+00,3.999999999440888132e+00
4.618473895582329014e+00,3.999999999440888132e+00
4.718875502008032186e+00,3.999999999440888132e+00
4.819277108433734469e+00,3.999999999440888132e+00
4.919678714859437640e+00,3.999999999440888132e+00
5.020080321285140812e+00,3.999999999440888132e+00
5.120481927710843095e+00,3.999999999440888132e+00
5.220883534136546267e+00,4.000000001217244971e+00
5.321285140562248550e+00,4.000000001217244971e+00
5.421686746987951722e+00,3.999999999440888132e+00
5.522088353413654893e+00,3.999999999440888132e+00
5.622489959839357176e+00,3.999999999440888132e+00
5.722891566265060348e+00,3.999999999440888132e+00
5.823293172690762631e+00,3.999999999440888132e+00
5.923694779116465803e+00,3.999999999440888132e+00
6.024096385542168974e+00,3.999999999440888132e+00
6.124497991967871258e+00,4.000000001217244971e+00
6.224899598393574429e+00,3.999999999440887244e+00
