time,R_norm
0.000000000000000000e+00,-3.690000000000000391e+00
1.004016064257028107e-01,-4.343553934988266363e+00
2.008032128514056214e-01,-5.562345112581891904e+00
3.012048192771084043e-01,-7.537595423708277842e+00
4.016064257028112428e-01,-1.054337048465621862e+01
5.020080321285140812e-01,-1.499982107048271729e+01
6.024096385542168086e-01,-2.151743001090797236e+01
7.028112449799196471e-01,-3.094112428905893353e+01
8.032128514056224855e-01,-4.446041566706242065e+01
9.036144578313253239e-01,-6.367826682301423347e+01
1.004016064257028162e+00,-9.069561554809882864e+01
1.104417670682730890e+00,-1.280675505727726602e+02
1.204819277108433617e+00,-1.786482867734189313e+02
1.305220883534136567e+00,-2.445231046846333811e+02
1.405622489959839294e+00,-3.250334371130142017e+02
1.506024096385542244e+00,-4.115891422749260187e+02
1.606425702811244971e+00,-4.791703088122656027e+02
1.706827309236947698e+00,-4.792966452021805139e+02
1.807228915662650648e+00,-3.676628081852992409e+02
1.907630522088353375e+00,-2.777788567308782035e+02
2.008032128514056325e+00,-8.021279186636999157e+02
2.108433734939759052e+00,-2.242037009995236986e+03
2.208835341365461780e+00,-2.824801705456428408e+03
2.309236947791164507e+00,-1.712027991163263550e+03
2.409638554216867234e+00,-6.648904675934874149e+02
2.510040160642570406e+00,-2.848915395024545774e+02
2.610441767068273133e+00,-2.022062424890758052e+02
2.710843373493975861e+00,-1.804150636809954449e+02
2.811244979919678588e+00,-1.594593435180773042e+02
2.911646586345381316e+00,-1.343764997722171302e+02
3.012048192771084487e+00,-1.090321070102824024e+02
3.112449799196787215e+00,-8.623494773119119827e+01
3.212851405622489942e+00,-6.705356923338784725e+01
3.313253012048192669e+00,-5.154352797606647840e+01
3.413654618473895397e+00,-3.931097324703964802e+01
3.514056224899598568e+00,-2.981732078079990700e+01
3.614457831325301296e+00,-2.253221565368297163e+01
3.714859437751004023e+00,-1.699089586987727429e+01
3.815261044176706751e+00,-1.280924508872073631e+01
3.915662650602409478e+00,-9.682217668401403188e+00
4.016064257028112650e+00,-7.374906673875164742e+00
4.116465863453814933e+00,-5.711712900991746444e+00
4.216867469879518104e+00,-4.567223516511289105e+00
4.317269076305221276e+00,-3.860630657557041268e+00
4.417670682730923559e+00,-3.551971819867282054e+00
