time,Rspec_hyper
0.000000000000000000e+00,3.999999999999999112e+00
1.004016064257028107e-01,4.497865491859364795e+00
2.008032128514056214e-01,4.870248275057380560e+00
3.012048192771084043e-01,4.136220306403666669e+00
4.016064257028112428e-01,3.501587570158052110e+00
5.020080321285140812e-01,2.955363105375109711e+00
6.024096385542168086e-01,2.487625886017942545e+00
7.028112449799196471e-01,2.090001490884741742e+00
8.032128514056224855e-01,1.753391207175794442e+00
9.036144578313253239e-01,1.469753345258449251e+00
1.004016064257028162e+00,1.231678334483812032e+00
1.104417670682730890e+00,1.032633325096409038e+00
1.204819277108433617e+00,8.666712869258569318e-01
1.305220883534136567e+00,7.290106776592137905e-01
1.405622489959839294e+00,6.154783313232601305e-01
1.506024096385542244e+00,5.228359488634908292e-01
1.606425702811244971e+00,4.486273376083416697e-01
1.706827309236947698e+00,3.913718818325289117e-01
1.807228915662650648e+00,3.512222520528863745e-01
1.907630522088353375e+00,3.307803406723401896e-01
2.008032128514056325e+00,3.375042856998453633e-01
2.108433734939759052e+00,3.888589455227059455e-01
2.208835341365461780e+00,3.573581183499989766e-01
2.309236947791164507e+00,3.019099052180980181e-01
2.409638554216867234e+00,2.867851026116934321e-01
2.510040160642570406e+00,2.948327995867482398e-01
2.610441767068273133e+00,3.176655707051135313e-01
2.710843373493975861e+00,3.515172337263613445e-01
2.811244979919678588e+00,3.949557441929317791e-01
2.911646586345381316e+00,4.477971356353785959e-01
3.012048192771084487e+00,5.105130369553012581e-01
3.112449799196787215e+00,5.840083106230722354e-01
3.212851405622489942e+00,6.695264286157802669e-01
3.313253012048192669e+00,7.685840502389751361e-01
3.413654618473895397e+00,8.829463266845745117e-01
3.514056224899598568e+00,1.014641771533828507e+00
3.614457831325301296e+00,1.165940632119851106e+00
3.714859437751004023e+00,1.339317117933604084e+00
3.815261044176706751e+00,1.537523199733666690e+00
3.915662650602409478e+00,1.763453021019621314e+00
4.016064257028112650e+00,2.020088891235324091e+00
4.116465863453814933e+00,2.310425780086680092e+00
4.216867469879518104e+00,2.637443739659159014e+00
4.317269076305221276e+00,3.003737671753782923e+00
4.417670682730923559e+00,3.410850635085808769e+00
4.518072289156626731e+00,3.859473421783274460e+00
4.618473895582329014e+00,4.348464838844122937e+00
4.718875502008032186e+00,4.872254381059498485e+00
4.819277108433734469e+00,4.285109283037323635e+00
4.919678714859437640e+00,3.630748883741960142e+00
5.020080321285140812e+00,3.066809276986282029e+00
5.120481927710843095e+00,2.583438264161385778e+00
5.220883534136546267e+00,2.172020152317684527e+00
5.321285140562248550e+00,1.823302113447104578e+00
5.421686746987951722e+00,1.528980752393412912e+00
5.522088353413654893e+00,1.281696307949750979e+00
5.622489959839357176e+00,1.074643697736150427e+00
5.722891566265060348e+00,9.018173751121887349e-01
5.823293172690762631e+00,7.582661442514383454e-01
5.923694779116465803e+00,6.396867029944270922e-01
6.024096385542168974e+00,5.426595232412503300e-01
6.124497991967871258e+00,4.645687885215701862e-01
6.224899598393574429e+00,4.036136333156935541e-01
6.325301204819276712e+00,3.596022075197723988e-01
6.425702811244979884e+00,3.344264050642278274e-01
6.526104417670683056e+00,3.341066520811124541e-01
6.626506024096385339e+00,3.733983499759071512e-01
6.726907630522088510e+00,3.790280213259226150e-01
6.827309236947790794e+00,3.110751981500592400e-01
6.927710843373493965e+00,2.888509182678059561e-01
7.028112449799197137e+00,2.923861462114811793e-01
7.128514056224899420e+00,3.121679493438196396e-01
7.228915662650602592e+00,3.436033152732852480e-01
7.329317269076304875e+00,3.848528710885533721e-01
7.429718875502008046e+00,4.355076795765624453e-01
7.530120481927711218e+00,4.959255194520926779e-01
7.630522088353413501e+00,5.669017958875564034e-01
7.730923694779116673e+00,6.496041619331162087e-01
7.831325301204818956e+00,7.454858496175640337e-01
7.931726907630522128e+00,8.562610325999553407e-01
8.032128514056225299e+00,9.838972948681707908e-01
8.132530120481927582e+00,1.130597143088580836e+00
8.232931726907629866e+00,1.298835764694935779e+00
8.333333333333333925e+00,1.491278739710148127e+00
8.433734939759036209e+00,1.710783085980134732e+00
8.534136546184738492e+00,1.960333139832192373e+00
8.634538152610442552e+00,2.242937369193163999e+00
8.734939759036144835e+00,2.561505474150248318e+00
8.835341365461847118e+00,2.918809103494307777e+00
8.935742971887549402e+00,3.316759183415142864e+00
9.036144578313253461e+00,3.755472469267854052e+00
9.136546184738955745e+00,4.234412465571664619e+00
9.236947791164658028e+00,4.750741467581403477e+00
9.337349397590362088e+00,4.428103147017221630e+00
9.437751004016064371e+00,3.755274192188712945e+00
9.538152610441766655e+00,3.173910612350992366e+00
9.638554216867468938e+00,2.674883285410869060e+00
9.738955823293172998e+00,2.249658987046401659e+00
9.839357429718875281e+00,1.888740567791043157e+00
9.939759036144577564e+00,1.584175261313523375e+00
1.004016064257028162e+01,1.327845147753954125e+00
1.014056224899598391e+01,1.113192891148954367e+00
1.024096385542168619e+01,9.339664474477378242e-01
1.034136546184739025e+01,7.849991194375616210e-01
1.044176706827309253e+01,6.617893795829036252e-01
