time, Rtensor_laplacian
0.000000000000000000e+00,-4.014061542506124347e-01
1.004016064257028107e-01,-3.986774432360669640e-01
2.008032128514056214e-01,-4.030784913910587242e-01
3.012048192771084043e-01,-4.103475259561146782e-01
4.016064257028112428e-01,-4.129898391510712363e-01
5.020080321285140812e-01,-4.120481625757258515e-01
6.024096385542168086e-01,-4.083456551374987642e-01
7.028112449799196471e-01,-4.331902143236414648e-01
8.032128514056224855e-01,-4.752391609067628808e-01
9.036144578313253239e-01,-5.363584057522519100e-01
1.004016064257028162e+00,-6.200076022229852324e-01
1.104417670682730890e+00,-7.287916503891495035e-01
1.204819277108433617e+00,-8.642811071735096995e-01
1.305220883534136567e+00,-1.027118554293912522e+00
1.405622489959839294e+00,-1.217027962542135633e+00
1.506024096385542244e+00,-1.432952979592624354e+00
1.606425702811244971e+00,-1.675020928330745784e+00
1.706827309236947698e+00,-1.952901782942865871e+00
1.807228915662650648e+00,-2.305485958174642747e+00
1.907630522088353375e+00,-2.813000222344459011e+00
2.008032128514056325e+00,-3.738123310578007619e+00
2.108433734939759052e+00,-4.581314967267676508e+00
2.208835341365461780e+00,-4.758480691018976749e+00
2.309236947791164507e+00,-4.603507555987048860e+00
2.409638554216867234e+00,-4.284861639097401032e+00
2.510040160642570406e+00,-3.883441428474336821e+00
2.610441767068273133e+00,-3.461782133768273262e+00
2.710843373493975861e+00,-3.058008457320465556e+00
2.811244979919678588e+00,-2.714577537048589839e+00
2.911646586345381316e+00,-2.350063228267176285e+00
3.012048192771084487e+00,-2.052896388813566730e+00
3.112449799196787215e+00,-1.791769157194618378e+00
3.212851405622489942e+00,-1.563750954371702973e+00
3.313253012048192669e+00,-1.365433898316585681e+00
3.413654618473895397e+00,-1.193686575661032645e+00
3.514056224899598568e+00,-1.045431132408633612e+00
3.614457831325301296e+00,-9.179739112677208768e-01
3.714859437751004023e+00,-8.089469790869378008e-01
3.815261044176706751e+00,-7.160723787550936636e-01
3.915662650602409478e+00,-6.377278381586428679e-01
4.016064257028112650e+00,-5.723211106989763985e-01
