time,connectedness
0.000000000000000000e+00,5.331234046470689769e-01
1.004016064257028107e-01,5.455939629076882458e-01
2.008032128514056214e-01,5.683106823422199305e-01
3.012048192771084043e-01,6.025632367340085782e-01
4.016064257028112428e-01,6.491059497102984466e-01
5.020080321285140812e-01,7.090451157053140330e-01
6.024096385542168086e-01,7.836409967418611622e-01
7.028112449799196471e-01,8.740513974789513307e-01
8.032128514056224855e-01,9.817449654363943345e-01
9.036144578313253239e-01,1.108195043214063258e+00
1.004016064257028162e+00,1.255072647094410243e+00
1.104417670682730890e+00,1.424462468654376535e+00
1.204819277108433617e+00,1.619292361700798821e+00
1.305220883534136567e+00,1.843891342971198943e+00
1.405622489959839294e+00,2.105242658803348377e+00
1.506024096385542244e+00,2.415563873699924535e+00
1.606425702811244971e+00,2.796444996631717750e+00
1.706827309236947698e+00,3.284047527773226172e+00
1.807228915662650648e+00,3.931176920030244215e+00
1.907630522088353375e+00,4.778456833081571098e+00
2.008032128514056325e+00,5.743826662091574775e+00
2.108433734939759052e+00,6.454524869089736328e+00
2.208835341365461780e+00,6.389098184482937981e+00
2.309236947791164507e+00,5.531332553616867820e+00
2.409638554216867234e+00,4.425490653658630258e+00
2.510040160642570406e+00,3.500358879565746317e+00
2.610441767068273133e+00,2.842472111145671221e+00
2.710843373493975861e+00,2.388161199407105251e+00
2.811244979919678588e+00,2.062475772882880865e+00
2.911646586345381316e+00,1.815043709020550455e+00
3.012048192771084487e+00,1.616270720652031478e+00
3.112449799196787215e+00,1.449580480619576228e+00
3.212851405622489942e+00,1.305764877175044525e+00
3.313253012048192669e+00,1.179575385151333755e+00
3.413654618473895397e+00,1.067911523221025671e+00
3.514056224899598568e+00,9.689105325759947984e-01
3.614457831325301296e+00,8.813896623369370520e-01
3.714859437751004023e+00,8.045968068074885737e-01
3.815261044176706751e+00,7.379206707796707176e-01
3.915662650602409478e+00,6.809824306104406144e-01
4.016064257028112650e+00,6.335150904360855595e-01
4.116465863453814933e+00,5.953422910890673325e-01
4.216867469879518104e+00,5.663552510139067131e-01
4.317269076305221276e+00,5.465903474804824080e-01
4.417670682730923559e+00,5.361996157544186570e-01
4.518072289156626731e+00,5.354627102565674424e-01
4.618473895582329014e+00,5.448027426376086391e-01
4.718875502008032186e+00,5.648385465939088634e-01
4.819277108433734469e+00,5.962686181357534920e-01
4.919678714859437640e+00,6.398726944030372898e-01
5.020080321285140812e+00,6.966158426148416627e-01
5.120481927710843095e+00,7.677129335524475184e-01
5.220883534136546267e+00,8.543035797541428389e-01
5.321285140562248550e+00,9.578381303692145021e-01
5.421686746987951722e+00,1.079820959042786299e+00
5.522088353413654893e+00,1.221787767682619874e+00
5.622489959839357176e+00,1.385930843080227959e+00
5.722891566265060348e+00,1.574786365355791640e+00
5.823293172690762631e+00,1.792217500565229216e+00
5.923694779116465803e+00,2.044523085080159674e+00
6.024096385542168974e+00,2.342477945533184780e+00
6.124497991967871258e+00,2.705182905593761511e+00
6.224899598393574429e+00,3.164715732314170360e+00
6.325301204819276712e+00,3.770525333140907875e+00
6.425702811244979884e+00,4.570439504393836394e+00
6.526104417670683056e+00,5.523510433014074295e+00
6.626506024096385339e+00,6.332963516907032187e+00
6.726907630522088510e+00,6.467512203436800888e+00
6.827309236947790794e+00,5.756612745617198712e+00
6.927710843373493965e+00,4.668423618509191186e+00
7.028112449799197137e+00,3.689033663342821345e+00
7.128514056224899420e+00,2.974254384565536924e+00
7.228915662650602592e+00,2.479923627329629898e+00
7.329317269076304875e+00,2.129368519160223627e+00
7.429718875502008046e+00,1.866676790893813553e+00
7.530120481927711218e+00,1.658290674977788814e+00
7.630522088353413501e+00,1.485158011743690221e+00
7.730923694779116673e+00,1.336660265095545252e+00
7.831325301204818956e+00,1.206782802806750210e+00
7.931726907630522128e+00,1.092037613724041289e+00
8.032128514056225299e+00,9.903267231603186671e-01
8.132530120481927582e+00,9.003224590219138790e-01
8.232931726907629866e+00,8.211744934949418706e-01
8.333333333333333925e+00,7.522805014610675078e-01
8.433734939759036209e+00,6.932151758226567928e-01
8.534136546184738492e+00,6.436768758261043333e-01
8.634538152610442552e+00,6.034671342280869544e-01
8.734939759036144835e+00,5.724869397590340858e-01
8.835341365461847118e+00,5.507421489223391919e-01
8.935742971887549402e+00,5.383586130910821277e-01
9.036144578313253461e+00,5.355966905854334659e-01
9.136546184738955745e+00,5.428657015254524376e-01
9.236947791164658028e+00,5.606773664174310445e-01
9.337349397590362088e+00,5.896406276913774835e-01
9.437751004016064371e+00,6.306447135458306263e-01
9.538152610441766655e+00,6.846297655077537847e-01
9.638554216867468938e+00,7.527630546436915315e-01
9.738955823293172998e+00,8.361447566707973511e-01
9.839357429718875281e+00,9.362698568205334304e-01
9.939759036144577564e+00,1.054394064922511642e+00
1.004016064257028162e+01,1.192415307244253375e+00
1.014056224899598391e+01,1.351919243218429489e+00
1.024096385542168619e+01,1.535589025154055820e+00
1.034136546184739025e+01,1.747075012582175679e+00
1.044176706827309253e+01,1.991819044051833298e+00
1.054216867469879482e+01,2.279605311958669667e+00
1.064257028112449710e+01,2.627331519427992923e+00
1.074297188755020116e+01,3.064277987443802420e+00
1.084337349397590344e+01,3.636476777896478829e+00
1.094377510040160573e+01,4.395399319787133940e+00
1.104417670682730979e+01,5.327978932428274916e+00
1.114457831325301207e+01,6.198873687619133044e+00
1.124497991967871435e+01,6.501710550989399096e+00
1.134538152610441841e+01,5.942369813269904100e+00
1.144578313253012070e+01,4.880936272407470078e+00
1.154618473895582298e+01,3.859645159443116924e+00
1.164658634538152526e+01,3.094849054572487823e+00
1.174698795180722932e+01,2.564685423032064371e+00
1.184738955823293161e+01,2.191441975767721928e+00
1.194779116465863389e+01,1.914906465706632366e+00
1.204819277108433795e+01,1.697486441792126044e+00
1.214859437751004023e+01,1.518314483385827085e+00
1.224899598393574252e+01,1.365486035714041257e+00
1.234939759036144658e+01,1.232247047742217827e+00
1.244979919678714886e+01,1.114712168624473643e+00
1.255020080321285114e+01,1.010586002408910833e+00
1.265060240963855342e+01,9.184244365899845164e-01
1.275100401606425748e+01,8.372849208958531575e-01
1.285140562248995977e+01,7.665213785585271999e-01
1.295180722891566205e+01,7.056678634440844977e-01
1.305220883534136611e+01,6.544173247990542341e-01
1.315261044176706839e+01,6.125475512560837332e-01
1.325301204819277068e+01,5.799510900225095522e-01
1.335341365461847296e+01,5.566106382739361980e-01
1.345381526104417702e+01,5.426296182952573544e-01
1.355421686746987930e+01,5.382285483063413700e-01
1.365461847389558159e+01,5.437687433396312109e-01
1.375502008032128565e+01,5.597459077635627001e-01
1.385542168674698793e+01,5.868256065958843415e-01
1.395582329317269021e+01,6.257782196031531630e-01
1.405622489959839427e+01,6.775739893413330606e-01
1.415662650602409656e+01,7.432581911067097646e-01
1.425702811244979884e+01,8.240639481945835065e-01
1.435742971887550112e+01,9.212834886956491331e-01
1.445783132530120518e+01,1.036378443207428779e+00
1.455823293172690747e+01,1.170939501457657794e+00
1.465863453815260975e+01,1.326839468130634581e+00
1.475903614457831381e+01,1.506480590602287783e+00
1.485943775100401609e+01,1.713137667743310111e+00
1.495983935742971838e+01,1.952113414286422266e+00
1.506024096385542244e+01,2.232271330078915206e+00
1.516064257028112472e+01,2.569212585833705376e+00
1.526104417670682700e+01,2.989561659111653391e+00
1.536144578313252929e+01,3.536573160484161704e+00
1.546184738955823335e+01,4.262662542933507659e+00
1.556224899598393563e+01,5.173626325919707725e+00
1.566265060240963791e+01,6.082099674897158970e+00
1.576305220883534197e+01,6.504432757370532947e+00
1.586345381526104426e+01,6.068858770690568782e+00
1.596385542168674654e+01,5.047964686579782700e+00
1.606425702811245060e+01,4.000339562686514583e+00
1.616465863453815288e+01,3.195680872397741457e+00
1.626506024096385516e+01,2.634794250920601488e+00
1.636546184738955745e+01,2.242043190997291546e+00
1.646586345381525973e+01,1.953573986331260004e+00
1.656626506024096201e+01,1.728837101914567853e+00
1.666666666666666785e+01,1.544780304999060494e+00
1.676706827309237013e+01,1.388430971356471755e+00
1.686746987951807242e+01,1.252497738575050645e+00
1.696787148594377470e+01,1.132798390455984627e+00
1.706827309236947698e+01,1.026799383799692489e+00
1.716867469879517927e+01,9.329572916365093116e-01
1.726907630522088510e+01,8.502872293691219330e-01
1.736947791164658739e+01,7.781049678508842327e-01
1.746987951807228967e+01,7.159253761203245858e-01
