time,linear_connectedness
0.000000000000000000e+00,5.493124413740773093e-01
1.004016064257028107e-01,5.243162892581990642e-01
2.008032128514056214e-01,4.843929643444524480e-01
3.012048192771084043e-01,4.296876648531051113e-01
4.016064257028112428e-01,3.620126971270342109e-01
5.020080321285140812e-01,2.835523998340106488e-01
6.024096385542168086e-01,1.976641671076135309e-01
7.028112449799196471e-01,1.102305403393087080e-01
8.032128514056224855e-01,3.279047126973322346e-02
9.036144578313253239e-01,2.798736967499788203e-03
1.004016064257028162e+00,1.071577199450329115e-02
1.104417670682730890e+00,1.173958180085762221e-02
1.204819277108433617e+00,4.782967440639658563e-02
1.305220883534136567e+00,7.763456788506702122e-02
1.405622489959839294e+00,8.958151908372583017e-02
1.506024096385542244e+00,7.801180689945880209e-02
1.606425702811244971e+00,4.304873974941803016e-02
1.706827309236947698e+00,3.458794323326908060e-03
1.807228915662650648e+00,4.877480996430247351e-02
1.907630522088353375e+00,6.068939926873603286e-01
2.008032128514056325e+00,6.136990753492359563e-01
2.108433734939759052e+00,4.046940539346666199e-01
2.208835341365461780e+00,3.872278370288259053e-01
2.309236947791164507e+00,5.236403438337019489e-01
2.409638554216867234e+00,1.127013633514155178e+00
2.510040160642570406e+00,1.496524488383337292e-01
2.610441767068273133e+00,7.776651466384707639e-05
2.710843373493975861e+00,5.583541029593405702e-02
2.811244979919678588e+00,1.324579035870222521e-01
2.911646586345381316e+00,1.816161021663886543e-01
3.012048192771084487e+00,1.948872555661880501e-01
3.112449799196787215e+00,1.751852961628480032e-01
3.212851405622489942e+00,1.285326826982057524e-01
3.313253012048192669e+00,6.419540598737362436e-02
3.413654618473895397e+00,5.359799681456972609e-03
3.514056224899598568e+00,5.119889479744796357e-02
3.614457831325301296e+00,2.251925042058526560e-02
3.714859437751004023e+00,1.135936805554142726e-01
3.815261044176706751e+00,2.149981363160653747e-01
3.915662650602409478e+00,3.090362993366495004e-01
4.016064257028112650e+00,3.898401992032201058e-01
4.116465863453814933e+00,4.550040237044982727e-01
4.216867469879518104e+00,5.035101211458943293e-01
4.317269076305221276e+00,5.348862995659249275e-01
4.417670682730923559e+00,5.490159241807297530e-01
4.518072289156626731e+00,5.460331747591943286e-01
4.618473895582329014e+00,5.263108601589961966e-01
4.718875502008032186e+00,4.904257989176430965e-01
4.819277108433734469e+00,4.394283242200175410e-01
4.919678714859437640e+00,3.749344261977174408e-01
5.020080321285140812e+00,2.991200849255981620e-01
5.120481927710843095e+00,2.150369226018995772e-01
5.220883534136546267e+00,1.278887109038543413e-01
5.321285140562248550e+00,4.727287340348496070e-02
5.421686746987951722e+00,1.203352853221765356e-04
5.522088353413654893e+00,3.676711224419499519e-02
5.622489959839357176e+00,5.044541087996172457e-03
5.722891566265060348e+00,3.862363136363194949e-02
5.823293172690762631e+00,7.081195249495982058e-02
5.923694779116465803e+00,8.715177836527454591e-02
6.024096385542168974e+00,8.103333923643948888e-02
6.124497991967871258e+00,5.084883070374815461e-02
6.224899598393574429e+00,9.391362598005603690e-03
6.325301204819276712e+00,2.153913430147402774e-02
6.425702811244979884e+00,3.791631963299738617e-01
6.526104417670683056e+00,7.197858049041265804e-01
6.626506024096385339e+00,4.301205066414446332e-01
6.726907630522088510e+00,3.806210227700153048e-01
6.827309236947790794e+00,4.756347829550183759e-01
6.927710843373493965e+00,8.677447244438289964e-01
7.028112449799197137e+00,2.715619789342129664e-01
7.128514056224899420e+00,4.650252288986765625e-03
7.228915662650602592e+00,3.645067445428876174e-02
7.329317269076304875e+00,1.145919032249462233e-01
7.429718875502008046e+00,1.716604125611918552e-01
7.530120481927711218e+00,1.932806536336164616e-01
7.630522088353413501e+00,1.808214045612333565e-01
7.730923694779116673e+00,1.398411221254379500e-01
7.831325301204818956e+00,7.860468188556876679e-02
7.931726907630522128e+00,1.491936416997809156e-02
8.032128514056225299e+00,4.917167342374358097e-02
8.132530120481927582e+00,8.686939406974486522e-03
8.232931726907629866e+00,9.098890868802790577e-02
8.333333333333333925e+00,1.922623445972333200e-01
8.433734939759036209e+00,2.885194685899437061e-01
8.534136546184738492e+00,3.724427823983137431e-01
8.634538152610442552e+00,4.411236894403767761e-01
8.734939759036144835e+00,4.932723397763521533e-01
8.835341365461847118e+00,5.283182546013591718e-01
8.935742971887549402e+00,5.460787943156105717e-01
9.036144578313253461e+00,5.466337410558874677e-01
9.136546184738955745e+00,5.302741406631715781e-01
9.236947791164658028e+00,4.976509228108956240e-01
9.337349397590362088e+00,4.498307149967672447e-01
9.437751004016064371e+00,3.880883025065294811e-01
9.538152610441766655e+00,3.144596929549110520e-01
9.638554216867468938e+00,2.317920211746851977e-01
9.738955823293172998e+00,1.448226486268890112e-01
9.839357429718875281e+00,6.176884434386875622e-02
9.939759036144577564e+00,3.694223665368655957e-03
1.004016064257028162e+01,1.034214765093530164e-01
1.014056224899598391e+01,1.191230935663417992e-03
1.024096385542168619e+01,3.097101180537317755e-02
1.034136546184739025e+01,6.479400237330949774e-02
1.044176706827309253e+01,8.478765829314793834e-02
1.054216867469879482e+01,8.332840439424990531e-02
1.064257028112449710e+01,5.775496892351897338e-02
1.074297188755020116e+01,1.631140854524934514e-02
1.084337349397590344e+01,7.778831831630722560e-03
1.094377510040160573e+01,2.470270718300596746e-01
1.104417670682730979e+01,8.558936764731959190e-01
1.114457831325301207e+01,4.606414248870941419e-01
1.124497991967871435e+01,3.801267505464482888e-01
1.134538152610441841e+01,4.432601268188426369e-01
1.144578313253012070e+01,7.390906875538725274e-01
1.154618473895582298e+01,4.228782430972890527e-01
1.164658634538152526e+01,1.957850845335766532e-02
1.174698795180722932e+01,2.180096338671398681e-02
1.184738955823293161e+01,9.790870495100695292e-02
1.194779116465863389e+01,1.603305836810028362e-01
1.204819277108433795e+01,1.890384665876434778e-01
1.214859437751004023e+01,1.830789013148475808e-01
1.224899598393574252e+01,1.474739334892944120e-01
1.234939759036144658e+01,8.984171220893200083e-02
1.244979919678714886e+01,2.484873411868179782e-02
1.255020080321285114e+01,1.408548906535248696e-02
1.265060240963855342e+01,1.175186390812351170e-03
1.275100401606425748e+01,7.083814129675659876e-02
1.285140562248995977e+01,1.705547380707947425e-01
1.295180722891566205e+01,2.679971838727743805e-01
1.305220883534136611e+01,3.541093357680188958e-01
