time,linear_potential
0.000000000000000000e+00,1.875273924457040442e+00
1.004016064257028107e-01,1.939179210049346125e+00
2.008032128514056214e-01,2.020610509074998173e+00
3.012048192771084043e-01,2.120531293533982176e+00
4.016064257028112428e-01,2.238065909214669524e+00
5.020080321285140812e-01,2.372246673049392740e+00
6.024096385542168086e-01,2.520905465914610399e+00
7.028112449799196471e-01,2.679123463535048710e+00
8.032128514056224855e-01,2.836335394101034524e+00
9.036144578313253239e-01,2.955792619590519532e+00
1.004016064257028162e+00,3.179354248055404231e+00
1.104417670682730890e+00,3.561858390786817985e+00
1.204819277108433617e+00,3.891425543183236524e+00
1.305220883534136567e+00,4.205613546362645394e+00
1.405622489959839294e+00,4.508675030397438555e+00
1.506024096385542244e+00,4.791516717706430839e+00
1.606425702811244971e+00,5.026901929398380986e+00
1.706827309236947698e+00,5.146271515919905504e+00
1.807228915662650648e+00,4.967138576452968302e+00
1.907630522088353375e+00,3.905466981802081516e+00
2.008032128514056325e+00,6.230760799390568927e+00
2.108433734939759052e+00,9.475957680472941291e+00
2.208835341365461780e+00,1.040751347895628065e+01
2.309236947791164507e+00,8.671586633396071164e+00
2.409638554216867234e+00,5.153553409826285403e+00
2.510040160642570406e+00,5.257318984906396153e+00
2.610441767068273133e+00,4.857785317692684401e+00
2.710843373493975861e+00,4.375634878650199511e+00
2.811244979919678588e+00,3.944664786818512070e+00
2.911646586345381316e+00,3.578512631115006837e+00
3.012048192771084487e+00,3.264782407160337740e+00
3.112449799196787215e+00,2.987999447570683031e+00
3.212851405622489942e+00,2.733697921692321398e+00
3.313253012048192669e+00,2.485689931987198342e+00
3.413654618473895397e+00,2.213545840968399681e+00
3.514056224899598568e+00,1.857422046611460598e+00
3.614457831325301296e+00,1.969784137064527929e+00
3.714859437751004023e+00,1.949223846441726860e+00
3.815261044176706751e+00,1.908205044742121936e+00
3.915662650602409478e+00,1.866769991392412065e+00
4.016064257028112650e+00,1.832660740983614867e+00
4.116465863453814933e+00,1.809839952330161594e+00
4.216867469879518104e+00,1.800669469062363248e+00
4.317269076305221276e+00,1.806821794921271485e+00
4.417670682730923559e+00,1.829484055538352694e+00
4.518072289156626731e+00,1.869587377847424126e+00
4.618473895582329014e+00,1.927797530306853302e+00
4.718875502008032186e+00,2.004512416374242711e+00
4.819277108433734469e+00,2.099797184746830858e+00
4.919678714859437640e+00,2.213087914101715459e+00
