time,potential
0.000000000000000000e+00,1.381974387502193036e+00
1.004016064257028107e-01,1.409261382953681974e+00
2.008032128514056214e-01,1.433736389753217155e+00
3.012048192771084043e-01,1.456442288491749615e+00
4.016064257028112428e-01,1.477896112579052623e+00
5.020080321285140812e-01,1.499210222870965836e+00
6.024096385542168086e-01,1.521962858881027003e+00
7.028112449799196471e-01,1.548215896510853007e+00
8.032128514056224855e-01,1.580869569809420172e+00
9.036144578313253239e-01,1.623455810932456833e+00
1.004016064257028162e+00,1.680360629874070977e+00
1.104417670682730890e+00,1.757486339640061956e+00
1.204819277108433617e+00,1.861965950013650506e+00
1.305220883534136567e+00,2.003717324030653835e+00
1.405622489959839294e+00,2.194307314804371689e+00
1.506024096385542244e+00,2.448675543950097566e+00
1.606425702811244971e+00,2.782881201586725695e+00
1.706827309236947698e+00,3.208609507336942279e+00
1.807228915662650648e+00,3.723658122227635037e+00
1.907630522088353375e+00,4.288920304267303862e+00
2.008032128514056325e+00,4.808492729422287226e+00
2.108433734939759052e+00,5.136267337366984265e+00
2.208835341365461780e+00,5.139440347788288399e+00
2.309236947791164507e+00,4.803663179049144638e+00
2.409638554216867234e+00,4.245615712964855071e+00
2.510040160642570406e+00,3.621405027945616251e+00
2.610441767068273133e+00,3.042500717816073674e+00
2.710843373493975861e+00,2.558964149392928711e+00
2.811244979919678588e+00,2.177825354656230950e+00
2.911646586345381316e+00,1.887679079836089624e+00
3.012048192771084487e+00,1.671292916866136569e+00
3.112449799196787215e+00,1.512301337425547842e+00
3.212851405622489942e+00,1.397559454149548408e+00
3.313253012048192669e+00,1.316889422848253277e+00
3.413654618473895397e+00,1.262489971635803787e+00
3.514056224899598568e+00,1.228663896591461135e+00
3.614457831325301296e+00,1.211093317455618434e+00
3.714859437751004023e+00,1.206540663005275515e+00
3.815261044176706751e+00,1.212145132389937263e+00
3.915662650602409478e+00,1.225745419206976550e+00
4.016064257028112650e+00,1.245451872217502087e+00
4.116465863453814933e+00,1.269569250252974513e+00
4.216867469879518104e+00,1.296518420953709505e+00
4.317269076305221276e+00,1.324956155413646641e+00
4.417670682730923559e+00,1.353644242287175725e+00
4.518072289156626731e+00,1.381632514246541543e+00
4.618473895582329014e+00,1.408211116308818234e+00
4.718875502008032186e+00,1.433097225031586763e+00
4.819277108433734469e+00,1.456286596794139410e+00
4.919678714859437640e+00,1.478097946636618198e+00
5.020080321285140812e+00,1.499436038195510079e+00
5.120481927710843095e+00,1.521807395237697147e+00
5.220883534136546267e+00,1.547142655926463606e+00
5.321285140562248550e+00,1.578225467137973181e+00
5.421686746987951722e+00,1.618432544542675711e+00
5.522088353413654893e+00,1.671827267630207281e+00
5.622489959839357176e+00,1.744440080951980443e+00
5.722891566265060348e+00,1.842496322804416442e+00
5.823293172690762631e+00,1.975112475338656415e+00
5.923694779116465803e+00,2.153620181487974072e+00
6.024096385542168974e+00,2.392298848594746286e+00
6.124497991967871258e+00,2.707339736308220335e+00
6.224899598393574429e+00,3.111073463382326487e+00
6.325301204819276712e+00,3.606269331503902720e+00
6.425702811244979884e+00,4.163703880893008247e+00
6.526104417670683056e+00,4.701379024628757008e+00
6.626506024096385339e+00,5.083300093923206475e+00
6.726907630522088510e+00,5.164720925575146282e+00
6.827309236947790794e+00,4.900441824833317916e+00
6.927710843373493965e+00,4.384420913701959854e+00
7.028112449799197137e+00,3.766773554635030052e+00
7.128514056224899420e+00,3.172962405876251779e+00
7.228915662650602592e+00,2.665993679622479462e+00
7.329317269076304875e+00,2.261316620465101845e+00
7.429718875502008046e+00,1.950796150839943177e+00
7.530120481927711218e+00,1.718342121488167784e+00
7.630522088353413501e+00,1.547070431728728490e+00
7.730923694779116673e+00,1.422953464971735471e+00
7.831325301204818956e+00,1.335036056111553737e+00
7.931726907630522128e+00,1.275076536408278560e+00
8.032128514056225299e+00,1.236919830416794319e+00
8.132530120481927582e+00,1.215859019819566900e+00
