time,potential_global
0.000000000000000000e+00,4.985318005903537575e+00
1.004016064257028107e-01,4.992958523667758719e+00
2.008032128514056214e-01,5.029283441756959405e+00
3.012048192771084043e-01,5.097285849603497176e+00
4.016064257028112428e-01,5.197879024300007700e+00
5.020080321285140812e-01,5.332501457880627349e+00
6.024096385542168086e-01,5.502767741493285847e+00
7.028112449799196471e-01,5.709902776286995163e+00
8.032128514056224855e-01,5.955829527593000883e+00
9.036144578313253239e-01,6.242418639429008209e+00
1.004016064257028162e+00,6.572031762040544400e+00
1.104417670682730890e+00,6.948206642891785911e+00
1.204819277108433617e+00,7.376221467940696108e+00
1.305220883534136567e+00,7.864484807295474944e+00
1.405622489959839294e+00,8.425846673518785579e+00
1.506024096385542244e+00,9.081863876113420275e+00
1.606425702811244971e+00,9.867105377715354564e+00
1.706827309236947698e+00,1.083240734749835354e+01
1.807228915662650648e+00,1.204057729900490159e+01
1.907630522088353375e+00,1.351538638524321456e+01
2.008032128514056325e+00,1.509802613400197302e+01
2.108433734939759052e+00,1.626493761472138999e+01
2.208835341365461780e+00,1.633304841398908991e+01
2.309236947791164507e+00,1.525390054042334498e+01
2.409638554216867234e+00,1.369323134700951883e+01
2.510040160642570406e+00,1.223785304693592479e+01
2.610441767068273133e+00,1.107244946489178794e+01
2.710843373493975861e+00,1.016794507145421811e+01
2.811244979919678588e+00,9.449886572079847724e+00
2.911646586345381316e+00,8.858156612894219961e+00
3.012048192771084487e+00,8.352645330810656077e+00
3.112449799196787215e+00,7.908560678633134167e+00
3.212851405622489942e+00,7.511101603320833320e+00
3.313253012048192669e+00,7.151388043313033904e+00
3.413654618473895397e+00,6.824036298576510617e+00
3.514056224899598568e+00,6.525914091383979709e+00
3.614457831325301296e+00,6.255209290957253643e+00
3.714859437751004023e+00,6.011045536843637294e+00
3.815261044176706751e+00,5.792747272133302872e+00
3.915662650602409478e+00,5.600215681074043772e+00
4.016064257028112650e+00,5.433569918454672631e+00
4.116465863453814933e+00,5.293065876806593906e+00
4.216867469879518104e+00,5.178984528688376443e+00
4.317269076305221276e+00,5.091858316705584642e+00
4.417670682730923559e+00,5.032357775551202117e+00
4.518072289156626731e+00,5.001247909852668982e+00
4.618473895582329014e+00,4.999426059880138773e+00
4.718875502008032186e+00,5.028147602164384722e+00
4.819277108433734469e+00,5.088404540818654453e+00
4.919678714859437640e+00,5.181134598620556808e+00
5.020080321285140812e+00,5.307535125145713018e+00
5.120481927710843095e+00,5.469197862284135070e+00
5.220883534136546267e+00,5.667334871496905180e+00
5.321285140562248550e+00,5.903864066244299380e+00
5.421686746987951722e+00,6.180725012058857715e+00
5.522088353413654893e+00,6.499920322476310020e+00
5.622489959839357176e+00,6.865346756639581827e+00
5.722891566265060348e+00,7.281206621343722318e+00
5.823293172690762631e+00,7.754895591803952826e+00
5.923694779116465803e+00,8.298239502381974830e+00
6.024096385542168974e+00,8.930532106928380287e+00
6.124497991967871258e+00,9.683134271480319910e+00
6.224899598393574429e+00,1.060214330411381312e+01
6.325301204819276712e+00,1.174932961718910107e+01
6.425702811244979884e+00,1.316376413772071352e+01
6.526104417670683056e+00,1.474379244713395742e+01
6.626506024096385339e+00,1.605849181945556126e+01
6.726907630522088510e+00,1.640638847339022632e+01
6.827309236947790794e+00,1.554839162235902705e+01
6.927710843373493965e+00,1.404755830581911802e+01
7.028112449799197137e+00,1.254675539014789720e+01
7.128514056224899420e+00,1.131580966990020087e+01
7.228915662650602592e+00,1.035764369827956344e+01
7.329317269076304875e+00,9.601986718998389847e+00
7.429718875502008046e+00,8.984630654700739072e+00
7.530120481927711218e+00,8.461500648136802027e+00
7.630522088353413501e+00,8.004758817207529020e+00
7.730923694779116673e+00,7.597576999815689902e+00
7.831325301204818956e+00,7.229851467937768561e+00
7.931726907630522128e+00,6.895560057373790741e+00
8.032128514056225299e+00,6.591127589601271985e+00
8.132530120481927582e+00,6.314434026004302147e+00
8.232931726907629866e+00,6.064368208409331551e+00
8.333333333333333925e+00,5.840330443991920362e+00
8.433734939759036209e+00,5.642108906280395964e+00
8.534136546184738492e+00,5.469742597480320434e+00
8.634538152610442552e+00,5.323451726475754597e+00
8.734939759036144835e+00,5.203600069945136575e+00
8.835341365461847118e+00,5.110665577451742436e+00
8.935742971887549402e+00,5.045276501445866479e+00
9.036144578313253461e+00,5.008251680271952999e+00
9.136546184738955745e+00,5.000490116127483731e+00
9.236947791164658028e+00,5.022865444040011340e+00
9.337349397590362088e+00,5.076300433156243130e+00
9.437751004016064371e+00,5.162191727457229540e+00
9.538152610441766655e+00,5.281620332729430878e+00
9.638554216867468938e+00,5.436121325399266624e+00
9.738955823293172998e+00,5.626810444179289661e+00
9.839357429718875281e+00,5.855745836158743778e+00
9.939759036144577564e+00,6.124199035479366060e+00
1.004016064257028162e+01,6.435219929916975445e+00
1.014056224899598391e+01,6.790864292053162110e+00
1.024096385542168619e+01,7.196107053612336379e+00
1.034136546184739025e+01,7.657963151916490574e+00
1.044176706827309253e+01,8.186312627816148435e+00
1.054216867469879482e+01,8.799091142554885892e+00
1.064257028112449710e+01,9.524317275225385515e+00
1.074297188755020116e+01,1.040567918095454303e+01
1.084337349397590344e+01,1.150244230179303884e+01
1.094377510040160573e+01,1.286338876220979621e+01
1.104417670682730979e+01,1.442710930998234531e+01
1.114457831325301207e+01,1.583799916113649076e+01
1.124497991967871435e+01,1.642147566015002624e+01
1.134538152610441841e+01,1.578567511038928650e+01
1.144578313253012070e+01,1.435190216661769469e+01
1.154618473895582298e+01,1.281997137519424079e+01
1.164658634538152526e+01,1.153342876706764031e+01
1.174698795180722932e+01,1.052898528902139574e+01
1.184738955823293161e+01,9.740347726734729150e+00
1.194779116465863389e+01,9.100788281542614655e+00
1.204819277108433795e+01,8.561726984274699248e+00
1.214859437751004023e+01,8.093525109409963392e+00
1.224899598393574252e+01,7.677643545330816721e+00
1.234939759036144658e+01,7.302841627627341126e+00
1.244979919678714886e+01,6.962436557163027118e+00
1.255020080321285114e+01,6.652529551040741396e+00
1.265060240963855342e+01,6.370793744377222900e+00
1.275100401606425748e+01,6.115910612581553885e+00
1.285140562248995977e+01,5.887189278411868898e+00
1.295180722891566205e+01,5.684318666828201749e+00
1.305220883534136611e+01,5.507347703937516492e+00
1.315261044176706839e+01,5.356446451129174058e+00
1.325301204819277068e+01,5.231986303596212196e+00
1.335341365461847296e+01,5.134421811283683468e+00
1.345381526104417702e+01,5.064357151152375280e+00
1.355421686746987930e+01,5.022489718264935732e+00
1.365461847389558159e+01,5.009651488938607677e+00
1.375502008032128565e+01,5.026762302418331885e+00
1.385542168674698793e+01,5.074902017940074117e+00
1.395582329317269021e+01,5.155143588284875733e+00
1.405622489959839427e+01,5.268795356922085560e+00
1.415662650602409656e+01,5.417097039687596371e+00
1.425702811244979884e+01,5.601572432058159023e+00
1.435742971887550112e+01,5.823723520055686720e+00
1.445783132530120518e+01,6.085438756128974447e+00
1.455823293172690747e+01,6.388868700136077550e+00
1.465863453815260975e+01,6.736981448728024624e+00
1.475903614457831381e+01,7.133939011987111556e+00
1.485943775100401609e+01,7.585729442968450087e+00
1.495983935742971838e+01,8.102446367856311227e+00
1.506024096385542244e+01,8.700281267110863581e+00
1.516064257028112472e+01,9.405673500091907613e+00
1.526104417670682700e+01,1.025856505501533533e+01
1.536144578313252929e+01,1.131635888206132279e+01
1.546184738955823335e+01,1.263258766311457038e+01
1.556224899598393563e+01,1.417467503816408403e+01
1.566265060240963791e+01,1.564800266323364930e+01
1.576305220883534197e+01,1.640061215582232990e+01
1.586345381526104426e+01,1.594277408986710398e+01
1.596385542168674654e+01,1.458625155424321918e+01
1.606425702811245060e+01,1.304048021982502092e+01
1.616465863453815288e+01,1.171139614050324340e+01
1.626506024096385516e+01,1.066797135108133077e+01
1.636546184738955745e+01,9.851374766454748411e+00
1.646586345381525973e+01,9.192821255962119409e+00
1.656626506024096201e+01,8.641113677368565504e+00
1.666666666666666785e+01,8.163818497351115866e+00
1.676706827309237013e+01,7.740955965485679435e+00
1.686746987951807242e+01,7.360554024498090264e+00
1.696787148594377470e+01,7.015502042424662577e+00
1.706827309236947698e+01,6.701427475389294841e+00
1.716867469879517927e+01,6.415820669041517377e+00
1.726907630522088510e+01,6.157299892335620584e+00
1.736947791164658739e+01,5.925095578640288352e+00
1.746987951807228967e+01,5.718862915079778730e+00
1.757028112449799195e+01,5.538516800236346072e+00
1.767068273092369424e+01,5.384238603833274794e+00
1.777108433734939652e+01,5.256386880642899939e+00
1.787148594377509880e+01,5.155321546675039279e+00
1.797188755020080464e+01,5.081600823317849347e+00
1.807228915662650692e+01,5.036040299708899326e+00
1.817269076305220921e+01,5.019369245006383373e+00
1.827309236947791149e+01,5.032717035930090788e+00
