time,R_energy
0.000000000000000000e+00,-8.390065927005213630e-04
1.005025125628140753e-01,-7.063625642405984553e-04
2.010050251256281506e-01,-5.931803367617792793e-04
3.015075376884422398e-01,-4.969719019258434954e-04
4.020100502512563012e-01,-4.154762006663208175e-04
5.025125628140704181e-01,-3.466627359858697648e-04
6.030150753768844796e-01,-2.887266719594404015e-04
7.035175879396985410e-01,-2.400778987816528883e-04
8.040201005025126024e-01,-1.993263121819999456e-04
9.045226130653266639e-01,-1.652650930456251029e-04
1.005025125628140836e+00,-1.368529229403577896e-04
1.105527638190954898e+00,-1.131961451085432014e-04
1.206030150753768959e+00,-9.353152836952975180e-05
1.306532663316583021e+00,-7.721004345849506376e-05
1.407035175879397082e+00,-6.368190555172659716e-05
1.507537688442211143e+00,-5.248301005093020002e-05
1.608040201005025205e+00,-4.322279546672555067e-05
1.708542713567839266e+00,-3.557350738576942609e-05
1.809045226130653328e+00,-2.926078988919612235e-05
1.909547738693467389e+00,-2.405550321021244424e-05
2.010050251256281673e+00,-1.976666032760533270e-05
2.110552763819095734e+00,-1.623536617873213499e-05
2.211055276381909795e+00,-1.332964342659527867e-05
2.311557788944723857e+00,-1.094003562762118096e-05
2.412060301507537918e+00,-8.975886122192312222e-06
2.512562814070351980e+00,-7.362200040199276083e-06
2.613065326633166041e+00,-6.037006426322735842e-06
2.713567839195980103e+00,-4.949147011217843467e-06
2.814070351758794164e+00,-4.056427263418719023e-06
2.914572864321608225e+00,-3.324073818700049615e-06
3.015075376884422287e+00,-2.723450085731672925e-06
3.115577889447236348e+00,-2.230988725762995819e-06
3.216080402010050410e+00,-1.827305804372650181e-06
3.316582914572864471e+00,-1.496466751375526312e-06
3.417085427135678533e+00,-1.225378895649550968e-06
3.517587939698492594e+00,-1.003289329486333635e-06
3.618090452261306655e+00,-8.213702701323215041e-07
3.718592964824120717e+00,-6.723769918683662992e-07
3.819095477386934778e+00,-5.503658644148199890e-07
3.919597989949748840e+00,-4.504621119858403189e-07
4.020100502512563345e+00,-3.686686557345861172e-07
4.120603015075377407e+00,-3.017088686053208093e-07
4.221105527638191468e+00,-2.468972979828430428e-07
4.321608040201005529e+00,-2.020334348394270738e-07
4.422110552763819591e+00,-1.653144601689300225e-07
4.522613065326633652e+00,-1.352636077021625629e-07
4.623115577889447714e+00,-1.106713695447321962e-07
4.723618090452261775e+00,-9.054725827653974638e-08
4.824120603015075837e+00,-7.408024194600594102e-08
4.924623115577889898e+00,-6.060630138487292494e-08
5.025125628140703959e+00,-4.958183420142464685e-08
5.125628140703518021e+00,-4.056185659181372448e-08
5.226130653266332082e+00,-3.318214101638731570e-08
5.326633165829146144e+00,-2.714458171544204909e-08
5.427135678391960205e+00,-2.220520672013732227e-08
