time,R_energy_linear
0.000000000000000000e+00,-1.152005759976007238e-01
1.005025125628140753e-01,-1.225926696802392413e-01
2.010050251256281506e-01,-1.296961308098654175e-01
3.015075376884422398e-01,-1.364843428794657587e-01
4.020100502512563012e-01,-1.429385729405092675e-01
5.025125628140704181e-01,-1.490470469282816346e-01
6.030150753768844796e-01,-1.548041622654254823e-01
7.035175879396985410e-01,-1.602093779725284051e-01
8.040201005025126024e-01,-1.652666024591360472e-01
9.045226130653266639e-01,-1.699833237741149583e-01
1.005025125628140836e+00,-1.743698506812961235e-01
1.105527638190954898e+00,-1.784386655910140673e-01
1.206030150753768959e+00,-1.822038437009642631e-01
1.306532663316583021e+00,-1.856805520372790397e-01
1.407035175879397082e+00,-1.888846250964897611e-01
1.507537688442211143e+00,-1.918322113971549503e-01
1.608040201005025205e+00,-1.945394817699590551e-01
1.708542713567839266e+00,-1.970224063982124185e-01
1.809045226130653328e+00,-1.992965677243367650e-01
1.909547738693467389e+00,-2.013770216741441466e-01
2.010050251256281673e+00,-2.032782006406906317e-01
2.110552763819095734e+00,-2.050138430535484446e-01
2.211055276381909795e+00,-2.065969493275620628e-01
2.311557788944723857e+00,-2.080397586185177006e-01
2.412060301507537918e+00,-2.093537421739908866e-01
2.512562814070351980e+00,-2.105496097463341876e-01
2.613065326633166041e+00,-2.116373259534141682e-01
2.713567839195980103e+00,-2.126261343553601524e-01
2.814070351758794164e+00,-2.135245867359975569e-01
2.914572864321608225e+00,-2.143405763081419613e-01
3.015075376884422287e+00,-2.150813731868326251e-01
3.115577889447236348e+00,-2.157536610338348648e-01
3.216080402010050410e+00,-2.163635742186735267e-01
3.316582914572864471e+00,-2.169167346101943672e-01
3.417085427135678533e+00,-2.174182874766609763e-01
3.517587939698492594e+00,-2.178729363970533517e-01
3.618090452261306655e+00,-2.182849765142287901e-01
3.718592964824120717e+00,-2.186583262951543039e-01
3.819095477386934778e+00,-2.189965574564452233e-01
3.919597989949748840e+00,-2.193029231730407591e-01
4.020100502512563345e+00,-2.195803844414447037e-01
4.120603015075377407e+00,-2.198316345616835865e-01
4.221105527638191468e+00,-2.200591220734489650e-01
4.321608040201005529e+00,-2.202650717619419329e-01
4.422110552763819591e+00,-2.204515042621286169e-01
4.522613065326633652e+00,-2.206202540024352898e-01
4.623115577889447714e+00,-2.207729857450199118e-01
4.723618090452261775e+00,-2.209112098123838797e-01
4.824120603015075837e+00,-2.210362959253932003e-01
4.924623115577889898e+00,-2.211494860189231471e-01
