time,R_energy_linear_jacobian
0.000000000000000000e+00,-7.303209982924352417e-01
1.005025125628140753e-01,-7.528042479851168034e-01
2.010050251256281506e-01,-7.737596730758939945e-01
3.015075376884422398e-01,-7.932361213014890167e-01
4.020100502512563012e-01,-8.112917607291469935e-01
5.025125628140704181e-01,-8.279914609845836493e-01
6.030150753768844796e-01,-8.434045641812127903e-01
7.035175879396985410e-01,-8.576030423761618060e-01
8.040201005025126024e-01,-8.706599783791524327e-01
9.045226130653266639e-01,-8.826483014726695941e-01
1.005025125628140836e+00,-8.936397966312346064e-01
1.105527638190954898e+00,-9.037043382121527912e-01
1.206030150753768959e+00,-9.129093116168119915e-01
1.306532663316583021e+00,-9.213191953713546489e-01
1.407035175879397082e+00,-9.289952768708604758e-01
1.507537688442211143e+00,-9.359954779271655312e-01
1.608040201005025205e+00,-9.423742698085975089e-01
1.708542713567839266e+00,-9.481826581004473287e-01
1.809045226130653328e+00,-9.534682226401979266e-01
1.909547738693467389e+00,-9.582752013586198769e-01
2.010050251256281673e+00,-9.626446052741608472e-01
2.110552763819095734e+00,-9.666143555834031398e-01
2.211055276381909795e+00,-9.702194361537689327e-01
2.311557788944723857e+00,-9.734920553356678496e-01
2.412060301507537918e+00,-9.764618123851029896e-01
2.512562814070351980e+00,-9.791558647795580717e-01
2.613065326633166041e+00,-9.815990936086791407e-01
2.713567839195980103e+00,-9.838142648755276998e-01
2.814070351758794164e+00,-9.858221851301236516e-01
2.914572864321608225e+00,-9.876418503398110005e-01
3.015075376884422287e+00,-9.892905872427305569e-01
3.115577889447236348e+00,-9.907841867783844236e-01
3.216080402010050410e+00,-9.921370293630585868e-01
3.316582914572864471e+00,-9.933622019945702597e-01
3.417085427135678533e+00,-9.944716073197601425e-01
3.517587939698492594e+00,-9.954760648607838824e-01
3.618090452261306655e+00,-9.963854047061481145e-01
3.718592964824120717e+00,-9.972085540062431974e-01
3.819095477386934778e+00,-9.979536166541500553e-01
3.919597989949748840e+00,-9.986279465353546936e-01
4.020100502512563345e+00,-9.992382147458676034e-01
4.120603015075377407e+00,-9.997904712093752533e-01
4.221105527638191468e+00,-1.000290201053563477e+00
4.321608040201005529e+00,-1.000742376134466705e+00
4.422110552763819591e+00,-1.001151502089622891e+00
4.522613065326633652e+00,-1.001521661256068896e+00
4.623115577889447714e+00,-1.001856551784923166e+00
4.723618090452261775e+00,-1.002159523254824380e+00
4.824120603015075837e+00,-1.002433609091212485e+00
4.924623115577889898e+00,-1.002681556052746448e+00
5.025125628140703959e+00,-1.002905851020695405e+00
5.125628140703518021e+00,-1.003108745344445829e+00
5.226130653266332082e+00,-1.003292276962370666e+00
5.326633165829146144e+00,-1.003458290468252523e+00
5.427135678391960205e+00,-1.003608455314708658e+00
5.527638190954774267e+00,-1.003744282341300087e+00
5.628140703517588328e+00,-1.003867138758906874e+00
5.728643216080402389e+00,-1.003978261726378829e+00
5.829145728643216451e+00,-1.004078770662051090e+00
5.929648241206030512e+00,-1.004169678404205790e+00
6.030150753768844574e+00,-1.004251901323157448e+00
6.130653266331658635e+00,-1.004326268469859285e+00
6.231155778894472697e+00,-1.004393529875614366e+00
6.331658291457286758e+00,-1.004454364064561789e+00
6.432160804020100819e+00,-1.004509384838178310e+00
6.532663316582914881e+00,-1.004559147441581590e+00
6.633165829145728942e+00,-1.004604154145171568e+00
6.733668341708543004e+00,-1.004644859286285330e+00
6.834170854271357065e+00,-1.004681673832246602e+00
6.934673366834171127e+00,-1.004714969513425649e+00
7.035175879396985188e+00,-1.004745082568122561e+00
7.135678391959799249e+00,-1.004772317121184200e+00
7.236180904522613311e+00,-1.004796948251108102e+00
7.336683417085427372e+00,-1.004819224768855435e+00
7.437185929648241434e+00,-1.004839371716124807e+00
7.537688442211055495e+00,-1.004857592633674246e+00
7.638190954773869557e+00,-1.004874071615077469e+00
7.738693467336683618e+00,-1.004888975165939335e+00
7.839195979899497679e+00,-1.004902453881149071e+00
7.939698492462311741e+00,-1.004914643961923648e+00
8.040201005025126690e+00,-1.004925668591697185e+00
8.140703517587940752e+00,-1.004935639172802375e+00
8.241206030150754813e+00,-1.004944656459684005e+00
8.341708542713568875e+00,-1.004952811584949091e+00
8.442211055276382936e+00,-1.004960186975319525e+00
8.542713567839196998e+00,-1.004966857180487283e+00
8.643216080402011059e+00,-1.004972889621447818e+00
8.743718592964825120e+00,-1.004978345271561491e+00
8.844221105527639182e+00,-1.004983279277492647e+00
8.944723618090453243e+00,-1.004987741518737598e+00
9.045226130653267305e+00,-1.004991777109581541e+00
9.145728643216081366e+00,-1.004995426853812823e+00
9.246231155778895427e+00,-1.004998727647017143e+00
9.346733668341709489e+00,-1.005001712849967754e+00
9.447236180904523550e+00,-1.005004412634288746e+00
9.547738693467337612e+00,-1.005006854288250207e+00
9.648241206030151673e+00,-1.005009062510485496e+00
9.748743718592965735e+00,-1.005011059675517737e+00
9.849246231155779796e+00,-1.005012865994486582e+00
9.949748743718593857e+00,-1.005014499702937991e+00
1.005025125628140792e+01,-1.005015977293705287e+00
1.015075376884422198e+01,-1.005017313686230818e+00
1.025125628140703604e+01,-1.005018522374437673e+00
1.035175879396985010e+01,-1.005019615561700830e+00
1.045226130653266416e+01,-1.005020604285282948e+00
1.055276381909547823e+01,-1.005021498508529287e+00
1.065326633165829229e+01,-1.005022307206764776e+00
1.075376884422110635e+01,-1.005023038519552214e+00
1.085427135678392041e+01,-1.005023699851821162e+00
1.095477386934673447e+01,-1.005024297902528563e+00
1.105527638190954853e+01,-1.005024838725918856e+00
1.115577889447236259e+01,-1.005025327798040324e+00
1.125628140703517666e+01,-1.005025770070946400e+00
1.135678391959799072e+01,-1.005026170021596332e+00
1.145728643216080478e+01,-1.005026531702154058e+00
1.155778894472361884e+01,-1.005026858773555576e+00
1.165829145728643290e+01,-1.005027154545065970e+00
1.175879396984924696e+01,-1.005027422015250638e+00
1.185929648241206102e+01,-1.005027663892381629e+00
1.195979899497487509e+01,-1.005027882623097613e+00
1.206030150753768915e+01,-1.005028080422161851e+00
1.216080402010050321e+01,-1.005028259292408022e+00
1.226130653266331727e+01,-1.005028421046258558e+00
1.236180904522613133e+01,-1.005028567321584632e+00
1.246231155778894539e+01,-1.005028699600769349e+00
1.256281407035175945e+01,-1.005028819223225733e+00
1.266331658291457352e+01,-1.005028927398958771e+00
1.276381909547738758e+01,-1.005029025222068828e+00
1.286432160804020164e+01,-1.005029113685562914e+00
1.296482412060301570e+01,-1.005029193686424183e+00
1.306532663316582976e+01,-1.005029266032203106e+00
1.316582914572864382e+01,-1.005029331455416841e+00
1.326633165829145788e+01,-1.005029390618489282e+00
1.336683417085427195e+01,-1.005029444119215576e+00
1.346733668341708601e+01,-1.005029492500549626e+00
1.356783919597990007e+01,-1.005029536251127897e+00
1.366834170854271413e+01,-1.005029575815191478e+00
1.376884422110552819e+01,-1.005029611594588923e+00
1.386934673366834225e+01,-1.005029643949116425e+00
1.396984924623115631e+01,-1.005029673207622043e+00
1.407035175879397038e+01,-1.005029699666366128e+00
1.417085427135678444e+01,-1.005029723592018920e+00
1.427135678391959850e+01,-1.005029745228094962e+00
1.437185929648241256e+01,-1.005029764793684333e+00
1.447236180904522662e+01,-1.005029782488153334e+00
1.457286432160804068e+01,-1.005029798489429194e+00
1.467336683417085474e+01,-1.005029812957054514e+00
1.477386934673366881e+01,-1.005029826040027885e+00
1.487437185929648287e+01,-1.005029837870847320e+00
1.497487437185929693e+01,-1.005029848570571760e+00
1.507537688442211099e+01,-1.005029858247554753e+00
1.517587939698492505e+01,-1.005029866997304344e+00
1.527638190954773911e+01,-1.005029874909663334e+00
1.537688442211055317e+01,-1.005029882064769398e+00
1.547738693467336724e+01,-1.005029888535077243e+00
1.557788944723618130e+01,-1.005029894388602463e+00
1.567839195979899536e+01,-1.005029899682115424e+00
1.577889447236180942e+01,-1.005029904468206503e+00
1.587939698492462348e+01,-1.005029908796871485e+00
1.597989949748743754e+01,-1.005029912713228724e+00
1.608040201005025338e+01,-1.005029916256527489e+00
1.618090452261306567e+01,-1.005029919460835197e+00
1.628140703517588150e+01,-1.005029922358393613e+00
1.638190954773869379e+01,-1.005029924977400624e+00
1.648241206030150963e+01,-1.005029927343326079e+00
1.658291457286432191e+01,-1.005029929482888607e+00
1.668341708542713775e+01,-1.005029931420112987e+00
1.678391959798995003e+01,-1.005029933169250711e+00
1.688442211055276587e+01,-1.005029934743093989e+00
1.698492462311557816e+01,-1.005029936159947290e+00
1.708542713567839400e+01,-1.005029937436889842e+00
1.718592964824120628e+01,-1.005029938589136362e+00
1.728643216080402212e+01,-1.005029939630246671e+00
1.738693467336683440e+01,-1.005029940570000502e+00
1.748743718592965024e+01,-1.005029941415769734e+00
1.758793969849246253e+01,-1.005029942175335256e+00
1.768844221105527836e+01,-1.005029942861971559e+00
1.778894472361809065e+01,-1.005029943486742017e+00
1.788944723618090649e+01,-1.005029944054431024e+00
1.798994974874371877e+01,-1.005029944571508294e+00
1.809045226130653461e+01,-1.005029945041454820e+00
1.819095477386934689e+01,-1.005029945466112240e+00
1.829145728643216273e+01,-1.005029945851855455e+00
1.839195979899497502e+01,-1.005029946203493951e+00
1.849246231155779085e+01,-1.005029946523001705e+00
1.859296482412060314e+01,-1.005029946813329023e+00
1.869346733668341898e+01,-1.005029947077126451e+00
1.879396984924623126e+01,-1.005029947318072381e+00
1.889447236180904710e+01,-1.005029947537112944e+00
1.899497487437185939e+01,-1.005029947733784290e+00
1.909547738693467522e+01,-1.005029947913698596e+00
1.919597989949748751e+01,-8.933599537851519834e-01
1.929648241206030335e+01,-7.816899596307649301e-01
1.939698492462311563e+01,-6.700199654541459937e-01
1.949748743718593147e+01,-5.583499712549520044e-01
1.959798994974874375e+01,-4.466799770363794053e-01
1.969849246231155959e+01,-3.350099828001910085e-01
1.979899497487437188e+01,-2.233399885467638457e-01
1.989949748743718771e+01,-1.116699942800315482e-01
2.000000000000000000e+01,-0.000000000000000000e+00
