time,R_loc
0.000000000000000000e+00,2.000019999857937658e-01
1.005025125628140753e-01,2.115866672928318204e-01
2.010050251256281506e-01,2.222581101021109395e-01
3.015075376884422398e-01,2.320723385493966839e-01
4.020100502512563012e-01,2.410848554158795398e-01
5.025125628140704181e-01,2.493499060233355658e-01
6.030150753768844796e-01,2.569201365577866158e-01
7.035175879396985410e-01,2.638459493404382572e-01
8.040201005025126024e-01,2.701755799751696108e-01
9.045226130653266639e-01,2.759548370983786469e-01
1.005025125628140836e+00,2.812269748880824038e-01
1.105527638190954898e+00,2.860326659840164987e-01
1.206030150753768959e+00,2.904100020783076386e-01
1.306532663316583021e+00,2.943945306525808103e-01
1.407035175879397082e+00,2.980193198305960967e-01
1.507537688442211143e+00,3.013150442249430960e-01
1.608040201005025205e+00,3.043100831982836763e-01
1.708542713567839266e+00,3.070306414136234063e-01
1.809045226130653328e+00,3.095008603327954466e-01
1.909547738693467389e+00,3.117429384163171169e-01
2.010050251256281673e+00,3.137772571055151838e-01
2.110552763819095734e+00,3.156225013463409557e-01
2.211055276381909795e+00,3.172957778914410332e-01
2.311557788944723857e+00,3.188127300280448884e-01
2.412060301507537918e+00,3.201876472801439832e-01
2.512562814070351980e+00,3.214335698906688465e-01
2.613065326633166041e+00,3.225623878163035863e-01
2.713567839195980103e+00,3.235849333981488107e-01
2.814070351758794164e+00,3.245110686684021806e-01
2.914572864321608225e+00,3.253497663452485367e-01
3.015075376884422287e+00,3.261091852908371558e-01
3.115577889447236348e+00,3.267967406079879678e-01
3.216080402010050410e+00,3.274191681135750209e-01
3.316582914572864471e+00,3.279825839507801710e-01
3.417085427135678533e+00,3.284925396308942536e-01
3.517587939698492594e+00,3.289540721739806495e-01
3.618090452261306655e+00,3.293717505324602057e-01
3.718592964824120717e+00,3.297497178128181994e-01
3.819095477386934778e+00,3.300917300880896188e-01
3.919597989949748840e+00,3.304011916815388084e-01
4.020100502512563345e+00,3.306811874359852910e-01
4.120603015075377407e+00,3.309345123408210521e-01
4.221105527638191468e+00,3.311636980796759389e-01
4.321608040201005529e+00,3.313710377308747845e-01
4.422110552763819591e+00,3.315586077854695835e-01
4.522613065326633652e+00,3.317282884456442815e-01
4.623115577889447714e+00,3.318817819884714027e-01
4.723618090452261775e+00,3.320206293549370913e-01
4.824120603015075837e+00,3.321462254813993820e-01
4.924623115577889898e+00,3.322598328813353707e-01
5.025125628140703959e+00,3.323625941373151704e-01
5.125628140703518021e+00,3.324555432893658846e-01
5.226130653266332082e+00,3.325396160943988044e-01
5.326633165829146144e+00,3.326156592532020229e-01
5.427135678391960205e+00,3.326844388399101682e-01
5.527638190954774267e+00,3.327466480332595955e-01
5.628140703517588328e+00,3.328029139628243538e-01
5.728643216080402389e+00,3.328538039963107042e-01
