time,R_spec
0.000000000000000000e+00,1.499990250114675572e+00
1.005025125628140753e-01,1.440553552704608276e+00
2.010050251256281506e-01,1.389307350817255315e+00
3.015075376884422398e-01,1.344895450300311879e+00
4.020100502512563012e-01,1.306231271152499485e+00
5.025125628140704181e-01,1.272435648651914386e+00
6.030150753768844796e-01,1.242789997249118539e+00
7.035175879396985410e-01,1.216702902464035896e+00
8.040201005025126024e-01,1.193682697907946233e+00
9.045226130653266639e-01,1.173317918893189038e+00
1.005025125628140836e+00,1.155262001889193701e+00
1.105527638190954898e+00,1.139221210427683317e+00
1.206030150753768959e+00,1.124945183870815768e+00
1.306532663316583021e+00,1.112219432163755517e+00
1.407035175879397082e+00,1.100859327260938159e+00
1.507537688442211143e+00,1.090705256626402608e+00
1.608040201005025205e+00,1.081618694450042772e+00
1.708542713567839266e+00,1.073478953358376842e+00
1.809045226130653328e+00,1.066180553562387390e+00
1.909547738693467389e+00,1.059631029894045895e+00
2.010050251256281673e+00,1.053749090745680572e+00
2.110552763819095734e+00,1.048463087067113442e+00
2.211055276381909795e+00,1.043709721595948103e+00
2.311557788944723857e+00,1.039432955786377955e+00
2.412060301507537918e+00,1.035583081101865366e+00
2.512562814070351980e+00,1.032115925765938913e+00
2.613065326633166041e+00,1.028992174193993137e+00
2.713567839195980103e+00,1.026176782050790326e+00
2.814070351758794164e+00,1.023638469802676365e+00
2.914572864321608225e+00,1.021349284497651499e+00
3.015075376884422287e+00,1.019284218259492114e+00
3.115577889447236348e+00,1.017420875093292487e+00
3.216080402010050410e+00,1.015739179986052454e+00
3.316582914572864471e+00,1.014221123392378132e+00
3.417085427135678533e+00,1.012850536149191960e+00
3.517587939698492594e+00,1.011612891902138323e+00
3.618090452261306655e+00,1.010495131701008908e+00
3.718592964824120717e+00,1.009485509320966923e+00
3.819095477386934778e+00,1.008573453713860424e+00
3.919597989949748840e+00,1.007749447175259050e+00
4.020100502512563345e+00,1.007004916822804574e+00
4.120603015075377407e+00,1.006332137503054280e+00
4.221105527638191468e+00,1.005724146063652125e+00
4.321608040201005529e+00,1.005174663718968908e+00
4.422110552763819591e+00,1.004678027540348184e+00
4.522613065326633652e+00,1.004229128576336727e+00
4.623115577889447714e+00,1.003823356579669701e+00
4.723618090452261775e+00,1.003456550627173094e+00
4.824120603015075837e+00,1.003124954268200142e+00
