time,Rspec_hyper
0.000000000000000000e+00,1.111111111111111160e+00
1.005025125628140753e-01,1.100487130047064444e+00
2.010050251256281506e-01,1.090878844715642337e+00
3.015075376884422398e-01,1.082189296843825366e+00
4.020100502512563012e-01,1.074330635957157609e+00
5.025125628140704181e-01,1.067223410621743529e+00
6.030150753768844796e-01,1.060795683136668277e+00
7.035175879396985410e-01,1.054982566488621654e+00
8.040201005025126024e-01,1.049725292934314158e+00
9.045226130653266639e-01,1.044970703108438759e+00
1.005025125628140836e+00,1.040670732672152710e+00
1.105527638190954898e+00,1.036781912439433739e+00
1.206030150753768959e+00,1.033264929517739628e+00
1.306532663316583021e+00,1.030084230047593419e+00
1.407035175879397082e+00,1.027207659684847396e+00
1.507537688442211143e+00,1.024606138571324765e+00
1.608040201005025205e+00,1.022253369821153113e+00
1.708542713567839266e+00,1.020125566561550734e+00
1.809045226130653328e+00,1.018201217049445884e+00
1.909547738693467389e+00,1.016460868365872683e+00
2.010050251256281673e+00,1.014886926909840614e+00
2.110552763819095734e+00,1.013463481277029565e+00
2.211055276381909795e+00,1.012176141490519043e+00
2.311557788944723857e+00,1.011011893486053914e+00
2.412060301507537918e+00,1.009958967574738908e+00
2.512562814070351980e+00,1.009006719451950751e+00
2.613065326633166041e+00,1.008145522591420651e+00
2.713567839195980103e+00,1.007366670928622865e+00
2.814070351758794164e+00,1.006662290848477248e+00
2.914572864321608225e+00,1.006025261588919140e+00
3.015075376884422287e+00,1.005449143255169542e+00
3.115577889447236348e+00,1.004928111717085404e+00
3.216080402010050410e+00,1.004456899731459352e+00
3.316582914572864471e+00,1.004030743694039440e+00
3.417085427135678533e+00,1.003645335482975742e+00
3.517587939698492594e+00,1.003296778906864750e+00
3.618090452261306655e+00,1.002981550317112891e+00
3.718592964824120717e+00,1.002696462986445436e+00
3.819095477386934778e+00,1.002438634893421776e+00
3.919597989949748840e+00,1.002205459587315550e+00
4.020100502512563345e+00,1.001994579838829669e+00
4.120603015075377407e+00,1.001803863810241779e+00
4.221105527638191468e+00,1.001631383504099748e+00
4.321608040201005529e+00,1.001475395272588997e+00
4.422110552763819591e+00,1.001334322190544190e+00
4.522613065326633652e+00,1.001206738113897377e+00
4.623115577889447714e+00,1.001091353262419048e+00
4.723618090452261775e+00,1.000987001180995595e+00
4.824120603015075837e+00,1.000892626947628594e+00
4.924623115577889898e+00,1.000807276508955956e+00
5.025125628140703959e+00,1.000730087035479832e+00
5.125628140703518021e+00,1.000660278199001718e+00
5.226130653266332082e+00,1.000597144284078421e+00
5.326633165829146144e+00,1.000540047053765980e+00
5.427135678391960205e+00,1.000488409297517700e+00
5.527638190954774267e+00,1.000441708996011148e+00
5.628140703517588328e+00,1.000399474043924153e+00
5.728643216080402389e+00,1.000361277477296085e+00
5.829145728643216451e+00,1.000326733157243186e+00
5.929648241206030512e+00,1.000295491866379560e+00
6.030150753768844574e+00,1.000267237778488472e+00
6.130653266331658635e+00,1.000241685265754299e+00
6.231155778894472697e+00,1.000218576011277172e+00
6.331658291457286758e+00,1.000197676397683644e+00
6.432160804020100819e+00,1.000178775145424082e+00
6.532663316582914881e+00,1.000161681176897188e+00
6.633165829145728942e+00,1.000146221684794945e+00
6.733668341708543004e+00,1.000132240385152693e+00
6.834170854271357065e+00,1.000119595937429828e+00
6.934673366834171127e+00,1.000108160515520872e+00
7.035175879396985188e+00,1.000097818508955516e+00
7.135678391959799249e+00,1.000088465357817924e+00
7.236180904522613311e+00,1.000080006529869614e+00
7.336683417085427372e+00,1.000072356513393768e+00
7.437185929648241434e+00,1.000065437971514370e+00
7.537688442211055495e+00,1.000059180962658001e+00
7.638190954773869557e+00,1.000053522232734249e+00
7.738693467336683618e+00,1.000048404575862859e+00
7.839195979899497679e+00,1.000043776256045902e+00
7.939698492462311741e+00,1.000039590484145258e+00
8.040201005025126690e+00,1.000035804944879869e+00
8.140703517587940752e+00,1.000032381369045487e+00
8.241206030150754813e+00,1.000029285146638358e+00
8.341708542713568875e+00,1.000026484976975549e+00
8.442211055276382936e+00,1.000023952552261619e+00
8.542713567839196998e+00,1.000021662271421086e+00
8.643216080402011059e+00,1.000019590981286122e+00
8.743718592964825120e+00,1.000017717742532897e+00
8.844221105527639182e+00,1.000016023618004457e+00
8.944723618090453243e+00,1.000014491485931689e+00
9.045226130653267305e+00,1.000013105889871579e+00
9.145728643216081366e+00,1.000011852792085154e+00
9.246231155778895427e+00,1.000010719506062351e+00
9.346733668341709489e+00,1.000009694577360886e+00
9.447236180904523550e+00,1.000008767645642394e+00
9.547738693467337612e+00,1.000007929341038659e+00
9.648241206030151673e+00,1.000007171189609689e+00
9.748743718592965735e+00,1.000006485527635158e+00
9.849246231155779796e+00,1.000005865424149709e+00
9.949748743718593857e+00,1.000005304610882328e+00
1.005025125628140792e+01,1.000004797418891700e+00
1.015075376884422198e+01,1.000004338721263153e+00
1.025125628140703604e+01,1.000003923881285450e+00
1.035175879396985010e+01,1.000003548705577616e+00
1.045226130653266416e+01,1.000003209401703286e+00
1.055276381909547823e+01,1.000002902471651023e+00
1.065326633165829229e+01,1.000002624727721834e+00
1.075376884422110635e+01,1.000002373565349600e+00
1.085427135678392041e+01,1.000002146437716011e+00
1.095477386934673447e+01,1.000001941044023734e+00
1.105527638190954853e+01,1.000001755304547046e+00
1.115577889447236259e+01,1.000001587338569031e+00
1.125628140703517666e+01,1.000001435445335041e+00
1.135678391959799072e+01,1.000001298086837798e+00
1.145728643216080478e+01,1.000001173872240967e+00
1.155778894472361884e+01,1.000001061543800640e+00
1.165829145728643290e+01,1.000000959964123304e+00
1.175879396984924696e+01,1.000000868104654828e+00
1.185929648241206102e+01,1.000000785035266126e+00
1.195979899497487509e+01,1.000000709914827812e+00
1.206030150753768915e+01,1.000000641982703442e+00
1.216080402010050321e+01,1.000000580551037688e+00
1.226130653266331727e+01,1.000000524997799456e+00
1.236180904522613133e+01,1.000000474760479818e+00
1.246231155778894539e+01,1.000000429330395235e+00
1.256281407035175945e+01,1.000000388247539007e+00
1.266331658291457352e+01,1.000000351095922557e+00
1.276381909547738758e+01,1.000000317499363689e+00
1.286432160804020164e+01,1.000000287117677855e+00
1.296482412060301570e+01,1.000000259643230915e+00
1.306532663316582976e+01,1.000000234797828957e+00
1.316582914572864382e+01,1.000000212329896776e+00
1.326633165829145788e+01,1.000000192011933464e+00
1.336683417085427195e+01,1.000000173638206480e+00
1.346733668341708601e+01,1.000000157022671532e+00
1.356783919597990007e+01,1.000000141997086089e+00
1.366834170854271413e+01,1.000000128409307187e+00
1.376884422110552819e+01,1.000000116121750215e+00
1.386934673366834225e+01,1.000000105009996032e+00
1.396984924623115631e+01,1.000000094961532415e+00
1.407035175879397038e+01,1.000000085874610978e+00
1.417085427135678444e+01,1.000000077657222652e+00
1.427135678391959850e+01,1.000000070226160886e+00
1.437185929648241256e+01,1.000000063506180759e+00
1.447236180904522662e+01,1.000000057429240030e+00
1.457286432160804068e+01,1.000000051933804590e+00
1.467336683417085474e+01,1.000000046964230282e+00
1.477386934673366881e+01,1.000000042470198025e+00
1.487437185929648287e+01,1.000000038406201774e+00
1.497487437185929693e+01,1.000000034731091336e+00
1.507537688442211099e+01,1.000000031407654255e+00
1.517587939698492505e+01,1.000000028402239005e+00
1.527638190954773911e+01,1.000000025684413707e+00
1.537688442211055317e+01,1.000000023226658818e+00
1.547738693467336724e+01,1.000000021004086914e+00
1.557788944723618130e+01,1.000000018994194662e+00
1.567839195979899536e+01,1.000000017176629896e+00
1.577889447236180942e+01,1.000000015532989117e+00
1.587939698492462348e+01,1.000000014046629193e+00
1.597989949748743754e+01,1.000000012702499941e+00
1.608040201005025338e+01,1.000000011486991358e+00
1.618090452261306567e+01,1.000000010387795069e+00
1.628140703517588150e+01,1.000000009393781752e+00
1.638190954773869379e+01,1.000000008494885684e+00
1.648241206030150963e+01,1.000000007682005698e+00
1.658291457286432191e+01,1.000000006946911046e+00
1.668341708542713775e+01,1.000000006281202669e+00
1.678391959798995003e+01,1.000000005678821635e+00
1.688442211055276587e+01,1.000000005134051406e+00
1.698492462311557816e+01,1.000000004642720430e+00
1.708542713567839400e+01,1.000000004199220527e+00
1.718592964824120628e+01,1.000000003798085624e+00
1.728643216080402212e+01,1.000000003435124629e+00
1.738693467336683440e+01,1.000000003106339186e+00
1.748743718592965024e+01,1.000000002808578925e+00
1.758793969849246253e+01,1.000000002539201738e+00
1.768844221105527836e+01,1.000000002306120184e+00
1.778894472361809065e+01,1.000000002095450036e+00
1.788944723618090649e+01,1.000000001904023827e+00
1.798994974874371877e+01,1.000000001730084964e+00
1.809045226130653461e+01,1.000000001572035835e+00
1.819095477386934689e+01,1.000000001428424490e+00
1.829145728643216273e+01,1.000000001297932206e+00
1.839195979899497502e+01,1.000000001179360831e+00
1.849246231155779085e+01,1.000000001071620792e+00
1.859296482412060314e+01,1.000000000973723546e+00
1.869346733668341898e+01,1.000000000884769147e+00
1.879396984924623126e+01,1.000000000803941358e+00
1.889447236180904710e+01,1.000000000730496996e+00
1.899497487437185939e+01,1.000000000663762156e+00
1.909547738693467522e+01,1.000000000603123773e+00
1.919597989949748751e+01,1.000000000548024737e+00
1.929648241206030335e+01,1.000000000497959451e+00
1.939698492462311563e+01,1.000000000452468063e+00
1.949748743718593147e+01,1.000000000411132017e+00
1.959798994974874375e+01,1.000000000373572284e+00
1.969849246231155959e+01,1.000000000339444028e+00
1.979899497487437188e+01,1.000000000308433279e+00
1.989949748743718771e+01,1.000000000280255597e+00
2.000000000000000000e+01,1.000000000254283261e+00
