time, Rtensor_laplacian
0.000000000000000000e+00,-1.536396102507610051e+00
1.005025125628140753e-01,-1.551228301066818860e+00
2.010050251256281506e-01,-1.564891270221158370e+00
3.015075376884422398e-01,-1.577456722265947242e+00
4.020100502512563012e-01,-1.588995718180082894e+00
5.025125628140704181e-01,-1.599577711440025807e+00
6.030150753768844796e-01,-1.609270104374236565e+00
7.035175879396985410e-01,-1.618137430670358867e+00
8.040201005025126024e-01,-1.626241448255692612e+00
9.045226130653266639e-01,-1.633640805376406435e+00
1.005025125628140836e+00,-1.640390881958595282e+00
1.105527638190954898e+00,-1.646543752744208389e+00
1.206030150753768959e+00,-1.652148187253232203e+00
1.306532663316583021e+00,-1.657249699857010539e+00
1.407035175879397082e+00,-1.661890626400681858e+00
1.507537688442211143e+00,-1.666110240960417821e+00
1.608040201005025205e+00,-1.669944879574766894e+00
1.708542713567839266e+00,-1.673428092638485465e+00
1.809045226130653328e+00,-1.676590788277410260e+00
1.909547738693467389e+00,-1.679461388078945738e+00
2.010050251256281673e+00,-1.682065986195856011e+00
2.110552763819095734e+00,-1.684428509412921882e+00
2.211055276381909795e+00,-1.686570855721774009e+00
2.311557788944723857e+00,-1.688513053574707046e+00
2.412060301507537918e+00,-1.690273402887843446e+00
2.512562814070351980e+00,-1.691868595064348169e+00
2.613065326633166041e+00,-1.693313854781657746e+00
2.713567839195980103e+00,-1.694623050672734221e+00
2.814070351758794164e+00,-1.695808809605219736e+00
2.914572864321608225e+00,-1.696882619452410479e+00
3.015075376884422287e+00,-1.697854926265473408e+00
3.115577889447236348e+00,-1.698735223730573951e+00
3.216080402010050410e+00,-1.699532136796783055e+00
3.316582914572864471e+00,-1.700253494995307646e+00
3.417085427135678533e+00,-1.700906406549733019e+00
3.517587939698492594e+00,-1.701497320644764555e+00
3.618090452261306655e+00,-1.702032086840331360e+00
3.718592964824120717e+00,-1.702516009262178498e+00
3.819095477386934778e+00,-1.702953897941584360e+00
3.919597989949748840e+00,-1.703350111303685965e+00
4.020100502512563345e+00,-1.703708597207143960e+00
4.120603015075377407e+00,-1.704032937458083374e+00
4.221105527638191468e+00,-1.704326371048006550e+00
4.321608040201005529e+00,-1.704591834364082459e+00
4.422110552763819591e+00,-1.704831985791933846e+00
4.522613065326633652e+00,-1.705049232605612586e+00
4.623115577889447714e+00,-1.705245755137535513e+00
4.723618090452261775e+00,-1.705423525860798151e+00
4.824120603015075837e+00,-1.705584330165669682e+00
4.924623115577889898e+00,-1.705729785445297297e+00
5.025125628140703959e+00,-1.705861352979048506e+00
5.125628140703518021e+00,-1.705980359243515210e+00
5.226130653266332082e+00,-1.706088000136518623e+00
5.326633165829146144e+00,-1.706185360661964134e+00
5.427135678391960205e+00,-1.706273421344070007e+00
5.527638190954774267e+00,-1.706353069449533022e+00
5.628140703517588328e+00,-1.706425108459053819e+00
5.728643216080402389e+00,-1.706490264472688700e+00
5.829145728643216451e+00,-1.706549194890683907e+00
5.929648241206030512e+00,-1.706602493651771413e+00
6.030150753768844574e+00,-1.706650698015200307e+00
6.130653266331658635e+00,-1.706694298061266712e+00
6.231155778894472697e+00,-1.706733729628239660e+00
6.331658291457286758e+00,-1.706769392717610190e+00
6.432160804020100819e+00,-1.706801647430178148e+00
6.532663316582914881e+00,-1.706830818594584187e+00
6.633165829145728942e+00,-1.706857200219629611e+00
6.733668341708543004e+00,-1.706881062124168791e+00
6.834170854271357065e+00,-1.706902642465355724e+00
6.934673366834171127e+00,-1.706922159380344972e+00
7.035175879396985188e+00,-1.706939809500971572e+00
7.135678391959799249e+00,-1.706955774591590869e+00
7.236180904522613311e+00,-1.706970212012475452e+00
7.336683417085427372e+00,-1.706983269689621885e+00
7.437185929648241434e+00,-1.706995078630686224e+00
7.537688442211055495e+00,-1.707005758419800401e+00
7.638190954773869557e+00,-1.707015417698756865e+00
7.738693467336683618e+00,-1.707024152853956478e+00
7.839195979899497679e+00,-1.707032053513932723e+00
7.939698492462311741e+00,-1.707039198593034435e+00
8.040201005025126690e+00,-1.707045660006212495e+00
8.140703517587940752e+00,-1.707051504206962500e+00
8.241206030150754813e+00,-1.707056789705888145e+00
8.341708542713568875e+00,-1.707061569299493042e+00
8.442211055276382936e+00,-1.707065892429983300e+00
8.542713567839196998e+00,-1.707069801672545184e+00
8.643216080402011059e+00,-1.707073336227579397e+00
8.743718592964825120e+00,-1.707076534968276382e+00
8.844221105527639182e+00,-1.707079427267382377e+00
8.944723618090453243e+00,-1.707082041267229178e+00
9.045226130653267305e+00,-1.707084408161191780e+00
9.145728643216081366e+00,-1.707086547238946039e+00
9.246231155778895427e+00,-1.707088480443942125e+00
9.346733668341709489e+00,-1.707090231627156784e+00
9.447236180904523550e+00,-1.707091813537161329e+00
9.547738693467337612e+00,-1.707093244837864177e+00
9.648241206030151673e+00,-1.707094539246832410e+00
9.748743718592965735e+00,-1.707095708739759798e+00
9.849246231155779796e+00,-1.707096767998707021e+00
9.949748743718593857e+00,-1.707097725103360553e+00
1.005025125628140792e+01,-1.707098591168917823e+00
1.015075376884422198e+01,-1.707099374391675140e+00
1.025125628140703604e+01,-1.707100082623143722e+00
1.035175879396985010e+01,-1.707100723123585517e+00
1.045226130653266416e+01,-1.707101302306340385e+00
1.055276381909547823e+01,-1.707101826021704349e+00
1.065326633165829229e+01,-1.707102299880483232e+00
1.075376884422110635e+01,-1.707102729196603219e+00
1.085427135678392041e+01,-1.707103116072343552e+00
1.095477386934673447e+01,-1.707103467551264409e+00
1.105527638190954853e+01,-1.707103784642870714e+00
1.115577889447236259e+01,-1.707104069966067117e+00
1.125628140703517666e+01,-1.707104330678655524e+00
1.135678391959799072e+01,-1.707104565038327193e+00
1.145728643216080478e+01,-1.707104776686731995e+00
1.155778894472361884e+01,-1.707104968922515509e+00
1.165829145728643290e+01,-1.707105141759231115e+00
1.175879396984924696e+01,-1.707105299091572492e+00
1.185929648241206102e+01,-1.707105440829010279e+00
1.195979899497487509e+01,-1.707105568123988393e+00
1.206030150753768915e+01,-1.707105685010804619e+00
1.216080402010050321e+01,-1.707105790029779691e+00
1.226130653266331727e+01,-1.707105884824873465e+00
1.236180904522613133e+01,-1.707105970564053221e+00
1.246231155778894539e+01,-1.707106048019337408e+00
1.256281407035175945e+01,-1.707106118257603056e+00
1.266331658291457352e+01,-1.707106181644370002e+00
1.276381909547738758e+01,-1.707106238887412530e+00
1.286432160804020164e+01,-1.707106290513334956e+00
1.296482412060301570e+01,-1.707106336357893328e+00
1.306532663316582976e+01,-1.707106380277114255e+00
1.316582914572864382e+01,-1.707106418214953125e+00
1.326633165829145788e+01,-1.707106453082104069e+00
1.336683417085427195e+01,-1.707106484219534037e+00
1.346733668341708601e+01,-1.707106513030868911e+00
1.356783919597990007e+01,-1.707106538284521191e+00
1.366834170854271413e+01,-1.707106561776011944e+00
1.376884422110552819e+01,-1.707106582045708087e+00
1.386934673366834225e+01,-1.707106601390599998e+00
1.396984924623115631e+01,-1.707106618783345908e+00
1.407035175879397038e+01,-1.707106634389426558e+00
1.417085427135678444e+01,-1.707106648546873773e+00
1.427135678391959850e+01,-1.707106661006542625e+00
1.437185929648241256e+01,-1.707106672602363817e+00
1.447236180904522662e+01,-1.707106681221348232e+00
1.457286432160804068e+01,-1.707106691371635732e+00
1.467336683417085474e+01,-1.707106700734788207e+00
1.477386934673366881e+01,-1.707106708347437385e+00
1.487437185929648287e+01,-1.707106715052674417e+00
1.497487437185929693e+01,-1.707106721708139263e+00
1.507537688442211099e+01,-1.707106727524148271e+00
1.517587939698492505e+01,-1.707106732585315312e+00
1.527638190954773911e+01,-1.707106737264746599e+00
1.537688442211055317e+01,-1.707106741445723719e+00
1.547738693467336724e+01,-1.707106745162462635e+00
1.557788944723618130e+01,-1.707106748247894989e+00
1.567839195979899536e+01,-1.707106751793041610e+00
1.577889447236180942e+01,-1.707106754335328880e+00
1.587939698492462348e+01,-1.707106756271815629e+00
1.597989949748743754e+01,-1.707106757725219248e+00
1.608040201005025338e+01,-1.707106761510011950e+00
1.618090452261306567e+01,-1.707106763101436719e+00
1.628140703517588150e+01,-1.707106764944650079e+00
1.638190954773869379e+01,-1.707106766455834590e+00
1.648241206030150963e+01,-1.707106767962899951e+00
1.658291457286432191e+01,-1.707106768992672885e+00
1.668341708542713775e+01,-1.707106770422149644e+00
1.678391959798995003e+01,-1.707106771082835150e+00
1.688442211055276587e+01,-1.707106772246460791e+00
1.698492462311557816e+01,-1.707106773208467487e+00
1.708542713567839400e+01,-1.707106773511381403e+00
1.718592964824120628e+01,-1.707106774341016875e+00
1.728643216080402212e+01,-1.707106775056767445e+00
1.738693467336683440e+01,-1.707106775801693344e+00
1.748743718592965024e+01,-1.707106776338542575e+00
1.758793969849246253e+01,-1.707106776723513741e+00
1.768844221105527836e+01,-1.707106777173651446e+00
1.778894472361809065e+01,-1.707106777184729696e+00
1.788944723618090649e+01,-1.707106776451135843e+00
1.798994974874371877e+01,-1.707106777230314565e+00
1.809045226130653461e+01,-1.707106778420490967e+00
1.819095477386934689e+01,-1.707106778459851038e+00
1.829145728643216273e+01,-1.707106778910044698e+00
1.839195979899497502e+01,-1.707106778638978639e+00
1.849246231155779085e+01,-1.707106779145974640e+00
1.859296482412060314e+01,-1.707106779467944868e+00
1.869346733668341898e+01,-1.707106779215365799e+00
