time,connectedness
0.000000000000000000e+00,1.019394220772386894e-01
1.005025125628140753e-01,1.029235339857364762e-01
2.010050251256281506e-01,1.038300679117027253e-01
3.015075376884422398e-01,1.046637818915801960e-01
4.020100502512563012e-01,1.054293908591303341e-01
5.025125628140704181e-01,1.061315029289680023e-01
6.030150753768844796e-01,1.067745903672498164e-01
7.035175879396985410e-01,1.073629348276878837e-01
8.040201005025126024e-01,1.079006339017041793e-01
9.045226130653266639e-01,1.083915790111017463e-01
1.005025125628140836e+00,1.088394445757393247e-01
1.105527638190954898e+00,1.092476857199039530e-01
1.206030150753768959e+00,1.096195383144669133e-01
1.306532663316583021e+00,1.099580220978937928e-01
1.407035175879397082e+00,1.102659461914600181e-01
1.507537688442211143e+00,1.105459163930044286e-01
1.608040201005025205e+00,1.108003435098295075e-01
1.708542713567839266e+00,1.110314536200096014e-01
1.809045226130653328e+00,1.112412975290762440e-01
1.909547738693467389e+00,1.114317609809799547e-01
2.010050251256281673e+00,1.116045753738700019e-01
2.110552763819095734e+00,1.117613279834638873e-01
2.211055276381909795e+00,1.119034720216488810e-01
2.311557788944723857e+00,1.120323363751083434e-01
2.412060301507537918e+00,1.121491349319427289e-01
2.512562814070351980e+00,1.122549754592191418e-01
2.613065326633166041e+00,1.123508679968309443e-01
2.713567839195980103e+00,1.124377327531121407e-01
2.814070351758794164e+00,1.125164074982856754e-01
2.914572864321608225e+00,1.125876544604580420e-01
3.015075376884422287e+00,1.126521667357167356e-01
3.115577889447236348e+00,1.127105742287694001e-01
3.216080402010050410e+00,1.127634491440565045e-01
3.316582914572864471e+00,1.128113110496359317e-01
3.417085427135678533e+00,1.128546315375021925e-01
3.517587939698492594e+00,1.128938385047673076e-01
3.618090452261306655e+00,1.129293200801679276e-01
3.718592964824120717e+00,1.129614282201730768e-01
3.819095477386934778e+00,1.129904819982393560e-01
3.919597989949748840e+00,1.130167706099957647e-01
4.020100502512563345e+00,1.130405561160648942e-01
4.120603015075377407e+00,1.130620759431603117e-01
4.221105527638191468e+00,1.130815451628680302e-01
4.321608040201005529e+00,1.130991585663818910e-01
4.422110552763819591e+00,1.131150925521864914e-01
4.522613065326633652e+00,1.131295068425515193e-01
4.623115577889447714e+00,1.131425460435219743e-01
4.723618090452261775e+00,1.131543410620026724e-01
4.824120603015075837e+00,1.131650103924605744e-01
4.924623115577889898e+00,1.131746612848003319e-01
5.025125628140703959e+00,1.131833908040067449e-01
5.125628140703518021e+00,1.131912867912790999e-01
5.226130653266332082e+00,1.131984287355790597e-01
5.326633165829146144e+00,1.132048885637238489e-01
5.427135678391960205e+00,1.132107313564917062e-01
5.527638190954774267e+00,1.132160159975061364e-01
5.628140703517588328e+00,1.132207957611258420e-01
5.728643216080402389e+00,1.132251188449620027e-01
5.829145728643216451e+00,1.132290288521766719e-01
5.929648241206030512e+00,1.132325652282311912e-01
6.030150753768844574e+00,1.132357636563405268e-01
6.130653266331658635e+00,1.132386564154952979e-01
6.231155778894472697e+00,1.132412727045647993e-01
6.331658291457286758e+00,1.132436389356589745e-01
6.432160804020100819e+00,1.132457789996555442e-01
6.532663316582914881e+00,1.132477145065029500e-01
6.633165829145728942e+00,1.132494650026910632e-01
6.733668341708543004e+00,1.132510481680364944e-01
