time,linear_connectedness
0.000000000000000000e+00,5.053520041128850560e-02
1.005025125628140753e-01,5.540000875287774684e-02
2.010050251256281506e-01,5.999808281310933800e-02
3.015075376884422398e-01,6.432045129668528816e-02
4.020100502512563012e-01,6.836501147882886875e-02
5.025125628140704181e-01,7.213476502410998137e-02
6.030150753768844796e-01,7.563652951758351173e-02
7.035175879396985410e-01,7.887973903103838447e-02
8.040201005025126024e-01,8.187575703666517823e-02
9.045226130653266639e-01,8.463717806504487962e-02
1.005025125628140836e+00,8.717730212210030027e-02
1.105527638190954898e+00,8.950974634601217839e-02
1.206030150753768959e+00,9.164814199649672088e-02
1.306532663316583021e+00,9.360590660569143018e-02
1.407035175879397082e+00,9.539607633795819941e-02
1.507537688442211143e+00,9.703118627945668540e-02
1.608040201005025205e+00,9.852318735463111432e-02
1.708542713567839266e+00,9.988339894798375918e-02
1.809045226130653328e+00,1.011224772528283855e-01
1.909547738693467389e+00,1.022504042305812377e-01
2.010050251256281673e+00,1.032764927599130189e-01
2.110552763819095734e+00,1.042094000122947561e-01
2.211055276381909795e+00,1.050571484834289249e-01
2.311557788944723857e+00,1.058271525025776816e-01
2.412060301507537918e+00,1.065262480504728104e-01
2.512562814070351980e+00,1.071607247676794605e-01
2.613065326633166041e+00,1.077363591699879719e-01
2.713567839195980103e+00,1.082584477331935691e-01
2.814070351758794164e+00,1.087318400275686658e-01
2.914572864321608225e+00,1.091609706509686084e-01
3.015075376884422287e+00,1.095498901410370540e-01
3.115577889447236348e+00,1.099022946291399461e-01
3.216080402010050410e+00,1.102215536946872798e-01
3.316582914572864471e+00,1.105107367360202986e-01
3.417085427135678533e+00,1.107726378361104935e-01
3.517587939698492594e+00,1.110097986272548520e-01
3.618090452261306655e+00,1.112245299058571280e-01
3.718592964824120717e+00,1.114189314265643105e-01
3.819095477386934778e+00,1.115949103545046672e-01
3.919597989949748840e+00,1.117541981359678194e-01
4.020100502512563345e+00,1.118983660747711051e-01
4.120603015075377407e+00,1.120288398000622299e-01
4.221105527638191468e+00,1.121469121711608508e-01
4.321608040201005529e+00,1.122537555212873295e-01
4.422110552763819591e+00,1.123504324844405711e-01
4.522613065326633652e+00,1.124379061083506104e-01
4.623115577889447714e+00,1.125170490138047985e-01
4.723618090452261775e+00,1.125886516694376838e-01
4.824120603015075837e+00,1.126534301464855170e-01
4.924623115577889898e+00,1.127120329068370952e-01
5.025125628140703959e+00,1.127650471145512645e-01
5.125628140703518021e+00,1.128130044202440008e-01
5.226130653266332082e+00,1.128563861624019837e-01
5.326633165829146144e+00,1.128956280315463745e-01
5.427135678391960205e+00,1.129311243586009206e-01
5.527638190954774267e+00,1.129632320817463287e-01
5.628140703517588328e+00,1.129922742169598981e-01
5.728643216080402389e+00,1.130185430750441367e-01
5.829145728643216451e+00,1.130423031496440300e-01
5.929648241206030512e+00,1.130637938086847261e-01
6.030150753768844574e+00,1.130832316042113261e-01
6.130653266331658635e+00,1.131008124181036856e-01
6.231155778894472697e+00,1.131167135543931779e-01
6.331658291457286758e+00,1.131310953772400318e-01
6.432160804020100819e+00,1.131441029315787272e-01
6.532663316582914881e+00,1.131558674568477196e-01
6.633165829145728942e+00,1.131665077033856825e-01
6.733668341708543004e+00,1.131761310490789763e-01
6.834170854271357065e+00,1.131848346530238969e-01
6.934673366834171127e+00,1.131927063419947976e-01
7.035175879396985188e+00,1.131998256636072564e-01
7.135678391959799249e+00,1.132062644735593315e-01
7.236180904522613311e+00,1.132120877858564245e-01
7.336683417085427372e+00,1.132173544629613560e-01
7.437185929648241434e+00,1.132221176603783741e-01
7.537688442211055495e+00,1.132264255111964935e-01
7.638190954773869557e+00,1.132303215216433068e-01
7.738693467336683618e+00,1.132338450998101320e-01
7.839195979899497679e+00,1.132370318026299782e-01
7.939698492462311741e+00,1.132399138450555509e-01
8.040201005025126690e+00,1.132425203499362321e-01
