time,linear_potential
0.000000000000000000e+00,1.058503061055831918e+00
1.005025125628140753e-01,1.077727891155483730e+00
2.010050251256281506e-01,1.095320458527263341e+00
3.015075376884422398e-01,1.111406204369336681e+00
4.020100502512563012e-01,1.126102646158091858e+00
5.025125628140704181e-01,1.139519582248992524e+00
6.030150753768844796e-01,1.151759669607776759e+00
7.035175879396985410e-01,1.162918282905693435e+00
8.040201005025126024e-01,1.173084361786040697e+00
9.045226130653266639e-01,1.182340568100934242e+00
1.005025125628140836e+00,1.190763546314141053e+00
1.105527638190954898e+00,1.198424255791010751e+00
1.206030150753768959e+00,1.205388274719430886e+00
1.306532663316583021e+00,1.211716104349799927e+00
1.407035175879397082e+00,1.217463471758229332e+00
1.507537688442211143e+00,1.222681628092696204e+00
1.608040201005025205e+00,1.227417635413016406e+00
1.708542713567839266e+00,1.231714665589809243e+00
1.809045226130653328e+00,1.235612263185669413e+00
1.909547738693467389e+00,1.239146606451061228e+00
2.010050251256281673e+00,1.242350764713070266e+00
2.110552763819095734e+00,1.245254934990514428e+00
2.211055276381909795e+00,1.247886667340511124e+00
2.311557788944723857e+00,1.250271076611111587e+00
2.412060301507537918e+00,1.252431041049879568e+00
2.512562814070351980e+00,1.254387387629396500e+00
2.613065326633166041e+00,1.256159064051973306e+00
2.713567839195980103e+00,1.257763299313799266e+00
2.814070351758794164e+00,1.259215751173456521e+00
2.914572864321608225e+00,1.260530643276776441e+00
3.015075376884422287e+00,1.261720891153509161e+00
3.115577889447236348e+00,1.262798217753644092e+00
3.216080402010050410e+00,1.263773260236021878e+00
3.316582914572864471e+00,1.264655667555693697e+00
3.417085427135678533e+00,1.265454189416920672e+00
3.517587939698492594e+00,1.266176758569009131e+00
3.618090452261306655e+00,1.266830565020091059e+00
3.718592964824120717e+00,1.267422124427698638e+00
3.819095477386934778e+00,1.267957340032572988e+00
3.919597989949748840e+00,1.268441559480092184e+00
4.020100502512563345e+00,1.268879626408608630e+00
4.120603015075377407e+00,1.269275926949984257e+00
4.221105527638191468e+00,1.269634432988975492e+00
4.321608040201005529e+00,1.269958740322865154e+00
4.422110552763819591e+00,1.270252104323249753e+00
4.522613065326633652e+00,1.270517471712983681e+00
4.623115577889447714e+00,1.270757509592778778e+00
4.723618090452261775e+00,1.270974631982937808e+00
4.824120603015075837e+00,1.271171023308748982e+00
4.924623115577889898e+00,1.271348660431181887e+00
5.025125628140703959e+00,1.271509332248074386e+00
5.125628140703518021e+00,1.271654657334496230e+00
5.226130653266332082e+00,1.271786100075649184e+00
5.326633165829146144e+00,1.271904985445739600e+00
5.427135678391960205e+00,1.272012512248561933e+00
5.527638190954774267e+00,1.272109764906313778e+00
5.628140703517588328e+00,1.272197724482465819e+00
5.728643216080402389e+00,1.272277278474065909e+00
5.829145728643216451e+00,1.272349229755571187e+00
5.929648241206030512e+00,1.272414304475729008e+00
6.030150753768844574e+00,1.272473159556092970e+00
6.130653266331658635e+00,1.272526389334770691e+00
6.231155778894472697e+00,1.272574531176944745e+00
6.331658291457286758e+00,1.272618071248743377e+00
6.432160804020100819e+00,1.272657449370732330e+00
6.532663316582914881e+00,1.272693063283825587e+00
6.633165829145728942e+00,1.272725272656201057e+00
6.733668341708543004e+00,1.272754402912058769e+00
6.834170854271357065e+00,1.272780748308451892e+00
6.934673366834171127e+00,1.272804575146996076e+00
7.035175879396985188e+00,1.272826124025155270e+00
7.135678391959799249e+00,1.272845612826440487e+00
7.236180904522613311e+00,1.272863238440114841e+00
7.336683417085427372e+00,1.272879178855465643e+00
7.437185929648241434e+00,1.272893595286301638e+00
7.537688442211055495e+00,1.272906633385970654e+00
7.638190954773869557e+00,1.272918424963851880e+00
7.738693467336683618e+00,1.272929089071617614e+00
7.839195979899497679e+00,1.272938733613302453e+00
7.939698492462311741e+00,1.272947456027395230e+00
8.040201005025126690e+00,1.272955344474701267e+00
8.140703517587940752e+00,1.272962478728914881e+00
8.241206030150754813e+00,1.272968930819476485e+00
8.341708542713568875e+00,1.272974766004046687e+00
8.442211055276382936e+00,1.272980043264814176e+00
8.542713567839196998e+00,1.272984815945108483e+00
8.643216080402011059e+00,1.272989132288418812e+00
8.743718592964825120e+00,1.272993035925897409e+00
8.844221105527639182e+00,1.272996566317269540e+00
8.944723618090453243e+00,1.272999759099234129e+00
9.045226130653267305e+00,1.273002646601310683e+00
9.145728643216081366e+00,1.273005257953115921e+00
9.246231155778895427e+00,1.273007619590775796e+00
9.346733668341709489e+00,1.273009755464517889e+00
9.447236180904523550e+00,1.273011687163497108e+00
9.547738693467337612e+00,1.273013434131698540e+00
9.648241206030151673e+00,1.273015014027546687e+00
9.748743718592965735e+00,1.273016442902479506e+00
9.849246231155779796e+00,1.273017735199726275e+00
9.949748743718593857e+00,1.273018903859631124e+00
1.005025125628140792e+01,1.273019960858245092e+00
1.015075376884422198e+01,1.273020916716878670e+00
1.025125628140703604e+01,1.273021781219939808e+00
1.035175879396985010e+01,1.273022563065373980e+00
