time,potential
0.000000000000000000e+00,2.616228025740020335e+00
1.005025125628140753e-01,2.632864330700024791e+00
2.010050251256281506e-01,2.648135775925832824e+00
3.015075376884422398e-01,2.662135867300360115e+00
4.020100502512563012e-01,2.674955087171284163e+00
5.025125628140704181e-01,2.686680137199362051e+00
6.030150753768844796e-01,2.697393735409079341e+00
7.035175879396985410e-01,2.707173955741275506e+00
8.040201005025126024e-01,2.716094561342758507e+00
9.045226130653266639e-01,2.724224831643541123e+00
1.005025125628140836e+00,2.731629552641974268e+00
1.105527638190954898e+00,2.738369125806041637e+00
1.206030150753768959e+00,2.744499694820145663e+00
1.306532663316583021e+00,2.750073304824353748e+00
1.407035175879397082e+00,2.755138084976829660e+00
1.507537688442211143e+00,2.759738446203278350e+00
1.608040201005025205e+00,2.763915283830822744e+00
1.708542713567839266e+00,2.767706201371872954e+00
1.809045226130653328e+00,2.771145712073646905e+00
1.909547738693467389e+00,2.774265445195521096e+00
2.010050251256281673e+00,2.777094354040194002e+00
2.110552763819095734e+00,2.779658910402353911e+00
2.211055276381909795e+00,2.781983291684948956e+00
2.311557788944723857e+00,2.784089558884377702e+00
2.412060301507537918e+00,2.785997824575131787e+00
2.512562814070351980e+00,2.787726410827398027e+00
2.613065326633166041e+00,2.789291996948342067e+00
2.713567839195980103e+00,2.790709757193486240e+00
2.814070351758794164e+00,2.791993488707655402e+00
2.914572864321608225e+00,2.793155730042400364e+00
3.015075376884422287e+00,2.794207870664835447e+00
3.115577889447236348e+00,2.795160251914496019e+00
3.216080402010050410e+00,2.796022259890302841e+00
3.316582914572864471e+00,2.796802410761230817e+00
3.417085427135678533e+00,2.797508428995096441e+00
3.517587939698492594e+00,2.798147318992478816e+00
3.618090452261306655e+00,2.798725430599450448e+00
3.718592964824120717e+00,2.799248518954895015e+00
3.819095477386934778e+00,2.799721799107536491e+00
3.919597989949748840e+00,2.800149995814810389e+00
4.020100502512563345e+00,2.800537388911994441e+00
4.120603015075377407e+00,2.800887854615705663e+00
4.221105527638191468e+00,2.801204903101599974e+00
4.321608040201005529e+00,2.801491712672327772e+00
4.422110552763819591e+00,2.801751160808825247e+00
4.522613065326633652e+00,2.801985852375809660e+00
4.623115577889447714e+00,2.802198145231392878e+00
4.723618090452261775e+00,2.802390173470759915e+00
4.824120603015075837e+00,2.802563868515203005e+00
4.924623115577889898e+00,2.802720978240238914e+00
5.025125628140703959e+00,2.802863084320269760e+00
5.125628140703518021e+00,2.802991617952084180e+00
5.226130653266332082e+00,2.803107874105428277e+00
5.326633165829146144e+00,2.803213024435988299e+00
5.427135678391960205e+00,2.803308128984111747e+00
5.527638190954774267e+00,2.803394146771696516e+00
5.628140703517588328e+00,2.803471945399535592e+00
5.728643216080402389e+00,2.803542309738216165e+00
5.829145728643216451e+00,2.803605949797200569e+00
5.929648241206030512e+00,2.803663507849010639e+00
6.030150753768844574e+00,2.803715564878361821e+00
6.130653266331658635e+00,2.803762646419682092e+00
6.231155778894472697e+00,2.803805227840590497e+00
6.331658291457286758e+00,2.803843739123542456e+00
6.432160804020100819e+00,2.803878569193034576e+00
6.532663316582914881e+00,2.803910069831306640e+00
6.633165829145728942e+00,2.803938559221477611e+00
6.733668341708543004e+00,2.803964325153413206e+00
6.834170854271357065e+00,2.803987627924288351e+00
6.934673366834171127e+00,2.804008702963081134e+00
7.035175879396985188e+00,2.804027763216828895e+00
7.135678391959799249e+00,2.804045001291820327e+00
7.236180904522613311e+00,2.804060591333837671e+00
7.336683417085427372e+00,2.804074690880358212e+00
7.437185929648241434e+00,2.804087442415895026e+00
7.537688442211055495e+00,2.804098974806057409e+00
7.638190954773869557e+00,2.804109404599934852e+00
7.738693467336683618e+00,2.804118837206555526e+00
7.839195979899497679e+00,2.804127367959341477e+00
7.939698492462311741e+00,2.804135083078922008e+00
8.040201005025126690e+00,2.804142060543971748e+00
8.140703517587940752e+00,2.804148370878876140e+00
8.241206030150754813e+00,2.804154077866161110e+00
