time,potential_global
0.000000000000000000e+00,6.408378484697642818e+00
1.005025125628140753e-01,6.444424418584162595e+00
2.010050251256281506e-01,6.477551777606481487e+00
3.015075376884422398e-01,6.507953697168903595e+00
4.020100502512563012e-01,6.535818423090716145e+00
5.025125628140704181e-01,6.561327439423725316e+00
6.030150753768844796e-01,6.584654820360379190e+00
7.035175879396985410e-01,6.605965607137987305e+00
8.040201005025126024e-01,6.625416369043168885e+00
9.045226130653266639e-01,6.643154683359250079e+00
1.005025125628140836e+00,6.659318988770889902e+00
1.105527638190954898e+00,6.674038714403049966e+00
1.206030150753768959e+00,6.687434463193911327e+00
1.306532663316583021e+00,6.699618279827511458e+00
1.407035175879397082e+00,6.710693981617854575e+00
1.507537688442211143e+00,6.720757533071348711e+00
1.608040201005025205e+00,6.729897440214386961e+00
1.708542713567839266e+00,6.738195199036215222e+00
1.809045226130653328e+00,6.745725702006454938e+00
1.909547738693467389e+00,6.752557660645180704e+00
2.010050251256281673e+00,6.758754036801891019e+00
2.110552763819095734e+00,6.764372448312228059e+00
2.211055276381909795e+00,6.769465562059825636e+00
2.311557788944723857e+00,6.774081469948301404e+00
2.412060301507537918e+00,6.778264045403048499e+00
2.512562814070351980e+00,6.782053279852943817e+00
2.613065326633166041e+00,6.785485598610785374e+00
2.713567839195980103e+00,6.788594156185340012e+00
2.814070351758794164e+00,6.791409111351682348e+00
2.914572864321608225e+00,6.793957882537648985e+00
3.015075376884422287e+00,6.796265384266657605e+00
3.115577889447236348e+00,6.798354245516776473e+00
3.216080402010050410e+00,6.800245010935617174e+00
3.316582914572864471e+00,6.801956325895791799e+00
3.417085427135678533e+00,6.803505106394270641e+00
3.517587939698492594e+00,6.804906694796685862e+00
3.618090452261306655e+00,6.806175002410023822e+00
3.718592964824120717e+00,6.807322639837650513e+00
3.819095477386934778e+00,6.808361036033248936e+00
3.919597989949748840e+00,6.809300546926627895e+00
4.020100502512563345e+00,6.810150554447750970e+00
4.120603015075377407e+00,6.810919556726617863e+00
4.221105527638191468e+00,6.811615250197203153e+00
4.321608040201005529e+00,6.812244604284543925e+00
4.422110552763819591e+00,6.812813929306198446e+00
4.522613065326633652e+00,6.813328938172835691e+00
4.623115577889447714e+00,6.813794802428252417e+00
4.723618090452261775e+00,6.814216203126980176e+00
4.824120603015075837e+00,6.814597377007674872e+00
4.924623115577889898e+00,6.814942158383074045e+00
5.025125628140703959e+00,6.815254017132309272e+00
5.125628140703518021e+00,6.815536093148752528e+00
5.226130653266332082e+00,6.815791227566325716e+00
5.326633165829146144e+00,6.816021991059215246e+00
5.427135678391960205e+00,6.816230709484083050e+00
5.527638190954774267e+00,6.816419487110116471e+00
5.628140703517588328e+00,6.816590227660359602e+00
5.728643216080402389e+00,6.816744653367677209e+00
5.829145728643216451e+00,6.816884322230416515e+00
5.929648241206030512e+00,6.817010643635935452e+00
6.030150753768844574e+00,6.817124892504786260e+00
6.130653266331658635e+00,6.817228222094430024e+00
6.231155778894472697e+00,6.817321675588435603e+00
6.331658291457286758e+00,6.817406196585523048e+00
6.432160804020100819e+00,6.817482638592219146e+00
6.532663316582914881e+00,6.817551773613191202e+00
6.633165829145728942e+00,6.817614299924571242e+00
6.733668341708543004e+00,6.817670849107575037e+00
6.834170854271357065e+00,6.817721992412545617e+00
6.934673366834171127e+00,6.817768246517436737e+00
7.035175879396985188e+00,6.817810078763700155e+00
7.135678391959799249e+00,6.817847911854626020e+00
7.236180904522613311e+00,6.817882127981095053e+00
7.336683417085427372e+00,6.817913072885989578e+00
7.437185929648241434e+00,6.817941059277199400e+00
7.537688442211055495e+00,6.817966369974540086e+00
7.638190954773869557e+00,6.817989260767783222e+00
7.738693467336683618e+00,6.818009962998369922e+00
7.839195979899497679e+00,6.818028685895360930e+00
7.939698492462311741e+00,6.818045618688380216e+00
8.040201005025126690e+00,6.818060932518698714e+00
8.140703517587940752e+00,6.818074782167846237e+00
8.241206030150754813e+00,6.818087307621086168e+00
8.341708542713568875e+00,6.818098635481559811e+00
8.442211055276382936e+00,6.818108880249318382e+00
8.542713567839196998e+00,6.818118145478154091e+00
8.643216080402011059e+00,6.818126524821905399e+00
8.743718592964825120e+00,6.818134102980768496e+00
8.844221105527639182e+00,6.818140956557190435e+00
8.944723618090453243e+00,6.818147154811075694e+00
9.045226130653267305e+00,6.818152760266555035e+00
9.145728643216081366e+00,6.818157829709447171e+00
9.246231155778895427e+00,6.818162414460015697e+00
9.346733668341709489e+00,6.818166560854868941e+00
9.447236180904523550e+00,6.818170310804966050e+00
9.547738693467337612e+00,6.818173702214743059e+00
9.648241206030151673e+00,6.818176769364505674e+00
9.748743718592965735e+00,6.818179543257086195e+00
9.849246231155779796e+00,6.818182051931168886e+00
9.949748743718593857e+00,6.818184320744679283e+00
1.005025125628140792e+01,6.818186372631084069e+00
1.015075376884422198e+01,6.818188228331175438e+00
1.025125628140703604e+01,6.818189906602714068e+00
1.035175879396985010e+01,6.818191424410017021e+00
1.045226130653266416e+01,6.818192797095430358e+00
1.055276381909547823e+01,6.818194038810233337e+00
1.065326633165829229e+01,6.818195162450368940e+00
1.075376884422110635e+01,6.818196178552692999e+00
1.085427135678392041e+01,6.818197097420483743e+00
1.095477386934673447e+01,6.818197928361731996e+00
1.105527638190954853e+01,6.818198679790091532e+00
1.115577889447236259e+01,6.818199359314128571e+00
1.125628140703517666e+01,6.818199973814357051e+00
1.135678391959799072e+01,6.818200529512907337e+00
1.145728643216080478e+01,6.818201032036508735e+00
1.155778894472361884e+01,6.818201486473475015e+00
1.165829145728643290e+01,6.818201897425224089e+00
1.175879396984924696e+01,6.818202269052857645e+00
1.185929648241206102e+01,6.818202605119309645e+00
1.195979899497487509e+01,6.818202909027435865e+00
1.206030150753768915e+01,6.818203183854473437e+00
1.216080402010050321e+01,6.818203432383201701e+00
1.226130653266331727e+01,6.818203657130110784e+00
1.236180904522613133e+01,6.818203860370891434e+00
1.246231155778894539e+01,6.818204044163470812e+00
1.256281407035175945e+01,6.818204210368857154e+00
1.266331658291457352e+01,6.818204360669972708e+00
1.276381909547738758e+01,6.818204496588703201e+00
1.286432160804020164e+01,6.818204619501305963e+00
1.296482412060301570e+01,6.818204730652341894e+00
1.306532663316582976e+01,6.818204831167280489e+00
