time,R_energy_linear
0.000000000000000000e+00,-9.917000001802682707e-01
1.005025125628140753e-01,-1.303556315695586720e+00
2.010050251256281506e-01,-1.724151412518351023e+00
3.015075376884422398e-01,-2.289046636269011170e+00
4.020100502512563012e-01,-3.040141336500908675e+00
5.025125628140704181e-01,-4.022187550167000580e+00
6.030150753768844796e-01,-5.275270289795087386e+00
7.035175879396985410e-01,-6.822110078083726492e+00
8.040201005025126024e-01,-8.650419422868345976e+00
9.045226130653266639e-01,-1.069338817070691583e+01
1.005025125628140836e+00,-1.281527903566136573e+01
1.105527638190954898e+00,-1.481220638964777159e+01
1.206030150753768959e+00,-1.643705518941452937e+01
1.306532663316583021e+00,-1.744949784828177641e+01
1.407035175879397082e+00,-1.767865913047146620e+01
1.507537688442211143e+00,-1.707473855176559496e+01
1.608040201005025205e+00,-1.572624411910048181e+01
1.708542713567839266e+00,-1.383419884945784339e+01
1.809045226130653328e+00,-1.165521409770239991e+01
1.909547738693467389e+00,-9.438211090546101190e+00
2.010050251256281673e+00,-7.377605961269571466e+00
2.110552763819095734e+00,-5.593272600443161657e+00
2.211055276381909795e+00,-4.134309815657893239e+00
2.311557788944723857e+00,-2.996588357021559901e+00
2.412060301507537918e+00,-2.143859747799818027e+00
2.512562814070351980e+00,-1.525816950840789943e+00
2.613065326633166041e+00,-1.090531817045998109e+00
2.713567839195980103e+00,-7.914334634122233147e-01
2.814070351758794164e+00,-5.902044523131625420e-01
2.914572864321608225e+00,-4.571436104710588921e-01
3.015075376884422287e+00,-3.702305881802300247e-01
3.115577889447236348e+00,-3.137054166583617687e-01
3.216080402010050410e+00,-2.766188717949074616e-01
3.316582914572864471e+00,-2.515654863692162180e-01
3.417085427135678533e+00,-2.336668594835495660e-01
3.517587939698492594e+00,-2.197993292632850482e-01
3.618090452261306655e+00,-2.080294480785386813e-01
3.718592964824120717e+00,-1.972131150905207797e-01
3.819095477386934778e+00,-1.867174207117891505e-01
3.919597989949748840e+00,-1.762314541137608714e-01
4.020100502512563345e+00,-1.656399924415684899e-01
4.120603015075377407e+00,-1.549407708061282529e-01
4.221105527638191468e+00,-1.441914104453475287e-01
4.321608040201005529e+00,-1.334763031385186594e-01
4.422110552763819591e+00,-1.228867155577711007e-01
4.522613065326633652e+00,-1.125094339008441829e-01
4.623115577889447714e+00,-1.024208960939023694e-01
