time,R_energy_linear_jacobian
0.000000000000000000e+00,-3.754818658743105164e+00
1.005025125628140753e-01,-4.040367211257594349e+00
2.010050251256281506e-01,-4.313220300403036944e+00
3.015075376884422398e-01,-4.569577132200070224e+00
4.020100502512563012e-01,-4.807891824077297649e+00
5.025125628140704181e-01,-5.028971130266793210e+00
6.030150753768844796e-01,-5.235574690940484111e+00
7.035175879396985410e-01,-5.431581947654670728e+00
8.040201005025126024e-01,-5.620908510223705079e+00
9.045226130653266639e-01,-5.806405282608730012e+00
1.005025125628140836e+00,-5.988950571616427965e+00
1.105527638190954898e+00,-6.166881694916952483e+00
1.206030150753768959e+00,-6.335849122997732508e+00
1.306532663316583021e+00,-6.489128360660824768e+00
1.407035175879397082e+00,-6.618372581525709286e+00
1.507537688442211143e+00,-6.714712364833603786e+00
1.608040201005025205e+00,-6.770017333744904775e+00
1.708542713567839266e+00,-6.778070028523199397e+00
1.809045226130653328e+00,-6.735410317361361976e+00
1.909547738693467389e+00,-6.641698210950417014e+00
2.010050251256281673e+00,-6.499577723271543483e+00
2.110552763819095734e+00,-6.314146998116130227e+00
2.211055276381909795e+00,-6.092206820072845197e+00
2.311557788944723857e+00,-5.841462554291876330e+00
2.412060301507537918e+00,-5.569812208665537057e+00
2.512562814070351980e+00,-5.284794035497126785e+00
2.613065326633166041e+00,-4.993214235729984907e+00
2.713567839195980103e+00,-4.700939314538276292e+00
2.814070351758794164e+00,-4.412819630037150276e+00
2.914572864321608225e+00,-4.132706219044759877e+00
3.015075376884422287e+00,-3.863526551221696081e+00
3.115577889447236348e+00,-3.607391995512384320e+00
3.216080402010050410e+00,-3.365717455379770406e+00
3.316582914572864471e+00,-3.139340311135975004e+00
3.417085427135678533e+00,-2.928631049474727632e+00
3.517587939698492594e+00,-2.733591708026031686e+00
3.618090452261306655e+00,-2.553940716394906829e+00
3.718592964824120717e+00,-2.389184240628543510e+00
3.819095477386934778e+00,-2.238675016999587708e+00
3.919597989949748840e+00,-2.101660076481929540e+00
4.020100502512563345e+00,-1.977318886429832112e+00
4.120603015075377407e+00,-1.864793402601194083e+00
4.221105527638191468e+00,-1.763211421170292281e+00
4.321608040201005529e+00,-1.671704460976467743e+00
4.422110552763819591e+00,-1.589421222226467645e+00
4.522613065326633652e+00,-1.515537527232555526e+00
4.623115577889447714e+00,-1.449263509680756679e+00
4.723618090452261775e+00,-1.389848679071018722e+00
4.824120603015075837e+00,-1.336585382815407730e+00
4.924623115577889898e+00,-1.288811101337631770e+00
5.025125628140703959e+00,-1.245909939379963083e+00
5.125628140703518021e+00,-1.207313618747713146e+00
5.226130653266332082e+00,-1.172502231518062432e+00
5.326633165829146144e+00,-1.141004977967100320e+00
5.427135678391960205e+00,-1.112401086957194085e+00
5.527638190954774267e+00,-1.086321097379296274e+00
5.628140703517588328e+00,-1.062448665265546266e+00
5.728643216080402389e+00,-1.040523050936619676e+00
5.829145728643216451e+00,-1.020342432569743663e+00
5.929648241206030512e+00,-1.001768184586314003e+00
6.030150753768844574e+00,-9.847302489130584924e-01
6.130653266331658635e+00,-9.692337117855061024e-01
6.231155778894472697e+00,-9.553666743572254427e-01
6.331658291457286758e+00,-9.433094673471856817e-01
6.432160804020100819e+00,-9.333452023960345789e-01
6.532663316582914881e+00,-9.258715681023380606e-01
6.633165829145728942e+00,-9.214136578949743139e-01
6.733668341708543004e+00,-9.206374489610082978e-01
6.834170854271357065e+00,-9.243633240936538487e-01
6.934673366834171127e+00,-9.335787285241886613e-01
7.035175879396985188e+00,-9.494486692295802666e-01
7.135678391959799249e+00,-9.733222868725290855e-01
7.236180904522613311e+00,-1.006733161496702778e+00
7.336683417085427372e+00,-1.051390370799569762e+00
7.437185929648241434e+00,-1.109156653190115360e+00
7.537688442211055495e+00,-1.182009433742501558e+00
7.638190954773869557e+00,-1.271980116651971304e+00
7.738693467336683618e+00,-1.381067197051076167e+00
7.839195979899497679e+00,-1.511119779143179187e+00
7.939698492462311741e+00,-1.663690506311657380e+00
8.040201005025126690e+00,-1.839861279433335106e+00
8.140703517587940752e+00,-2.040051953078529490e+00
8.241206030150754813e+00,-2.263831573631580163e+00
8.341708542713568875e+00,-2.509762913172015608e+00
8.442211055276382936e+00,-2.775321821713947479e+00
8.542713567839196998e+00,-3.056938996611173742e+00
8.643216080402011059e+00,-3.350206939703052722e+00
8.743718592964825120e+00,-3.650272527105854259e+00
8.844221105527639182e+00,-3.952392396368398231e+00
8.944723618090453243e+00,-4.252569061544543949e+00
9.045226130653267305e+00,-4.548128291269095236e+00
9.145728643216081366e+00,-4.838069599127221565e+00
9.246231155778895427e+00,-5.123047720523954851e+00
9.346733668341709489e+00,-5.404929770468536177e+00
9.447236180904523550e+00,-5.685993660080807643e+00
9.547738693467337612e+00,-5.967939436319215751e+00
9.648241206030151673e+00,-6.250932424213638150e+00
9.748743718592965735e+00,-6.532875293636362990e+00
9.849246231155779796e+00,-6.809042233184293913e+00
9.949748743718593857e+00,-7.072139571599045382e+00
1.005025125628140792e+01,-7.312801960749360397e+00
1.015075376884422198e+01,-7.520481750846592206e+00
1.025125628140703604e+01,-7.684624052949907025e+00
1.035175879396985010e+01,-7.795945903166359159e+00
1.045226130653266416e+01,-7.847587347774604538e+00
1.055276381909547823e+01,-7.835912862052715866e+00
1.065326633165829229e+01,-7.760823679618569670e+00
1.075376884422110635e+01,-7.625566501524058793e+00
1.085427135678392041e+01,-7.436140993628191254e+00
1.095477386934673447e+01,-7.200476672217118512e+00
1.105527638190954853e+01,-6.927556881828973445e+00
1.115577889447236259e+01,-6.626628722466707089e+00
1.125628140703517666e+01,-6.306579806969363489e+00
1.135678391959799072e+01,-5.975508103625953638e+00
1.145728643216080478e+01,-5.640472231154701532e+00
1.155778894472361884e+01,-5.307388706066369366e+00
1.165829145728643290e+01,-4.981036194427517216e+00
1.175879396984924696e+01,-4.665129470934571643e+00
1.185929648241206102e+01,-4.362432725719370019e+00
1.195979899497487509e+01,-4.074889849163876754e+00
1.206030150753768915e+01,-3.803756602743168624e+00
1.216080402010050321e+01,-3.549725414317463024e+00
1.226130653266331727e+01,-3.313037797406146012e+00
1.236180904522613133e+01,-3.093582296803784271e+00
1.246231155778894539e+01,-2.890977707263935770e+00
1.256281407035175945e+01,-2.704642389691922055e+00
1.266331658291457352e+01,-2.533851062663255771e+00
1.276381909547738758e+01,-2.377780666803642973e+00
1.286432160804020164e+01,-2.235546915197185402e+00
1.296482412060301570e+01,-2.106233045676552784e+00
1.306532663316582976e+01,-1.988912138099713012e+00
1.316582914572864382e+01,-1.882664186700766740e+00
1.326633165829145788e+01,-1.786588947103022740e+00
1.336683417085427195e+01,-1.699815418303367576e+00
1.346733668341708601e+01,-1.621508679780134354e+00
1.356783919597990007e+01,-1.550874683611569882e+00
1.366834170854271413e+01,-1.487163498750876167e+00
1.376884422110552819e+01,-1.429671420297258688e+00
1.386934673366834225e+01,-1.377742288162519202e+00
1.396984924623115631e+01,-1.330768304892379295e+00
1.407035175879397038e+01,-1.288190599419373417e+00
1.417085427135678444e+01,-1.249499750079603455e+00
1.427135678391959850e+01,-1.214236455311350049e+00
1.437185929648241256e+01,-1.181992522235495668e+00
1.447236180904522662e+01,-1.152412330297927889e+00
1.457286432160804068e+01,-1.125194917930294913e+00
1.467336683417085474e+01,-1.100096833309739841e+00
1.477386934673366881e+01,-1.076935883886893208e+00
1.487437185929648287e+01,-1.055595911683486543e+00
1.497487437185929693e+01,-1.036032709407966879e+00
1.507537688442211099e+01,-1.018281173549801633e+00
1.517587939698492505e+01,-1.002463760408484061e+00
1.527638190954773911e+01,-9.888002643526588864e-01
1.537688442211055317e+01,-9.776188682704973765e-01
1.547738693467336724e+01,-9.693683158344933437e-01
1.557788944723618130e+01,-9.646309145044749123e-01
1.567839195979899536e+01,-9.641358860571026534e-01
1.577889447236180942e+01,-9.687723257060931736e-01
1.587939698492462348e+01,-9.796007000775842632e-01
1.597989949748743754e+01,-9.978613990888551832e-01
1.608040201005025338e+01,-1.024978354911745049e+00
1.618090452261306567e+01,-1.062555163561149874e+00
1.628140703517588150e+01,-1.112360525531840061e+00
1.638190954773869379e+01,-1.176299234014656303e+00
1.648241206030150963e+01,-1.256364511867729794e+00
1.658291457286432191e+01,-1.354567441280024820e+00
1.668341708542713775e+01,-1.472839853888419759e+00
1.678391959798995003e+01,-1.612908773585735478e+00
1.688442211055276587e+01,-1.776143832382198973e+00
1.698492462311557816e+01,-1.963384498947448487e+00
1.708542713567839400e+01,-2.174761723811361236e+00
1.718592964824120628e+01,-2.409538357759702265e+00
1.728643216080402212e+01,-2.666002933838934830e+00
1.738693467336683440e+01,-2.941458909004618150e+00
1.748743718592965024e+01,-3.232351146205920678e+00
1.758793969849246253e+01,-3.534557139488386568e+00
1.768844221105527836e+01,-3.843837631883375572e+00
1.778894472361809065e+01,-4.156391121439083847e+00
1.788944723618090649e+01,-4.469400882634239736e+00
1.798994974874371877e+01,-4.781424117350881353e+00
1.809045226130653461e+01,-5.092476842287594785e+00
1.819095477386934689e+01,-5.403729461509684917e+00
1.829145728643216273e+01,-5.716834326954252532e+00
1.839195979899497502e+01,-6.033018104127738646e+00
1.849246231155779085e+01,-6.352141593142050624e+00
1.859296482412060314e+01,-6.671932799223426080e+00
1.869346733668341898e+01,-6.987547353709217646e+00
1.879396984924623126e+01,-7.291539388729574966e+00
1.889447236180904710e+01,-7.574263458327012088e+00
1.899497487437185939e+01,-7.824676315938687843e+00
1.909547738693467522e+01,-8.031451096893922781e+00
1.919597989949748751e+01,-7.255051542352113358e+00
1.929648241206030335e+01,-6.439585581877969034e+00
1.939698492462311563e+01,-5.586293570005668840e+00
1.949748743718593147e+01,-4.698667054246906005e+00
1.959798994974874375e+01,-3.782464939251310554e+00
1.969849246231155959e+01,-2.845350232849864991e+00
1.979899497487437188e+01,-1.896265007364652089e+00
1.989949748743718771e+01,-9.446999206026966966e-01
2.000000000000000000e+01,-0.000000000000000000e+00
