time,R_loc
0.000000000000000000e+00,-5.391804909562247783e-01
1.005025125628140753e-01,-5.697495232138861665e-01
2.010050251256281506e-01,-6.195878677263360057e-01
3.015075376884422398e-01,-6.666742092541506626e-01
4.020100502512563012e-01,-7.094656732403125110e-01
5.025125628140704181e-01,-7.462208002613628377e-01
6.030150753768844796e-01,-7.750735056414467250e-01
7.035175879396985410e-01,-7.941498713785724028e-01
8.040201005025126024e-01,-8.017273303478102964e-01
9.045226130653266639e-01,-7.964296118491138721e-01
1.005025125628140836e+00,-7.774336637321116461e-01
1.105527638190954898e+00,-7.446539105429960115e-01
1.206030150753768959e+00,-6.988535116299932071e-01
1.306532663316583021e+00,-6.416368348724832416e-01
1.407035175879397082e+00,-5.753066289106458786e-01
1.507537688442211143e+00,-5.026151721435180297e-01
1.608040201005025205e+00,-4.264700608877868282e-01
1.708542713567839266e+00,-3.496534862119485831e-01
1.809045226130653328e+00,-2.745950553821838169e-01
1.909547738693467389e+00,-2.032227810495122744e-01
2.010050251256281673e+00,-1.369011233393389315e-01
2.110552763819095734e+00,-7.644845227303048718e-02
2.211055276381909795e+00,-2.221107385041307461e-02
2.311557788944723857e+00,2.583301599194888498e-02
2.412060301507537918e+00,6.796530740125868164e-02
2.512562814070351980e+00,1.046290837129119217e-01
2.613065326633166041e+00,1.363510057604445103e-01
2.713567839195980103e+00,1.636836756347428701e-01
2.814070351758794164e+00,1.871671286079557295e-01
2.914572864321608225e+00,2.073054825198545614e-01
3.015075376884422287e+00,2.245547895828460538e-01
3.115577889447236348e+00,2.393185091108145923e-01
3.216080402010050410e+00,2.519478459904708756e-01
3.316582914572864471e+00,2.627449116689312136e-01
3.417085427135678533e+00,2.719672949763131675e-01
3.517587939698492594e+00,2.798331515800741576e-01
3.618090452261306655e+00,2.865262618607834488e-01
3.718592964824120717e+00,2.922007364044065247e-01
3.819095477386934778e+00,2.969852094259835540e-01
3.919597989949748840e+00,3.009864780685710395e-01
4.020100502512563345e+00,3.042925767780116919e-01
4.120603015075377407e+00,2.863804430296585934e-01
4.221105527638191468e+00,2.604826597769031027e-01
4.321608040201005529e+00,2.351644822221948816e-01
4.422110552763819591e+00,2.104627756486714407e-01
4.522613065326633652e+00,1.864019541286993653e-01
4.623115577889447714e+00,1.629962749105334785e-01
4.723618090452261775e+00,1.402517554606848849e-01
4.824120603015075837e+00,1.181677131406196901e-01
4.924623115577889898e+00,9.673794398635117420e-02
5.025125628140703959e+00,7.595155883610074654e-02
5.125628140703518021e+00,5.579352461146431380e-02
5.226130653266332082e+00,3.624496814546421253e-02
5.326633165829146144e+00,1.728331864304794019e-02
5.427135678391960205e+00,-9.135495899176719614e-02
5.527638190954774267e+00,-1.483192436126229974e-01
5.628140703517588328e+00,-1.926286056884798648e-01
5.728643216080402389e+00,-2.297874658477780108e-01
5.829145728643216451e+00,-2.617876013891379250e-01
5.929648241206030512e+00,-2.895850556527205244e-01
6.030150753768844574e+00,-3.136864799587746333e-01
6.130653266331658635e+00,-3.343509953130339163e-01
6.231155778894472697e+00,-3.516694342640607207e-01
6.331658291457286758e+00,-3.655899085078963551e-01
6.432160804020100819e+00,-3.759085414517260304e-01
6.532663316582914881e+00,-3.822218383046421808e-01
6.633165829145728942e+00,-3.838114398544247852e-01
6.733668341708543004e+00,-3.793651615120274267e-01
6.834170854271357065e+00,-3.661672093740785949e-01
6.934673366834171127e+00,-3.365249288474436717e-01
