time,R_spec
0.000000000000000000e+00,3.744785141211306456e-01
1.005025125628140753e-01,3.449986339521415868e-01
2.010050251256281506e-01,3.225209083356558870e-01
3.015075376884422398e-01,3.062179563959527284e-01
4.020100502512563012e-01,2.955475985044191400e-01
5.025125628140704181e-01,2.902260449637765749e-01
6.030150753768844796e-01,2.902192284268818034e-01
7.035175879396985410e-01,2.957508964896720660e-01
8.040201005025126024e-01,3.043147437254807297e-01
9.045226130653266639e-01,2.926087489483298332e-01
1.005025125628140836e+00,2.842082685876401449e-01
1.105527638190954898e+00,2.790677109489856922e-01
1.206030150753768959e+00,2.771354320503113811e-01
1.306532663316583021e+00,2.724975996568235748e-01
1.407035175879397082e+00,2.599353834677374797e-01
1.507537688442211143e+00,2.518279024306003255e-01
1.608040201005025205e+00,2.483313577876825051e-01
1.708542713567839266e+00,2.498387345016473693e-01
1.809045226130653328e+00,2.571313114349202955e-01
1.909547738693467389e+00,2.716504950514408989e-01
2.010050251256281673e+00,2.959806143547127899e-01
2.110552763819095734e+00,3.336020000022101861e-01
2.211055276381909795e+00,3.219934822768659166e-01
2.311557788944723857e+00,2.784563789557576441e-01
2.412060301507537918e+00,2.393518819197521796e-01
2.512562814070351980e+00,2.083713884736846655e-01
2.613065326633166041e+00,1.836274818821706789e-01
2.713567839195980103e+00,1.637465325574524455e-01
2.814070351758794164e+00,1.477101163761060654e-01
2.914572864321608225e+00,1.347488259210735673e-01
3.015075376884422287e+00,1.242726208632169982e-01
3.115577889447236348e+00,1.158249097503148139e-01
3.216080402010050410e+00,1.090509864375590610e-01
3.316582914572864471e+00,1.036751477229735097e-01
3.417085427135678533e+00,9.948346568878102536e-02
3.517587939698492594e+00,9.631058578575091289e-02
3.618090452261306655e+00,9.402958118084257799e-02
3.718592964824120717e+00,9.254418939379273346e-02
3.819095477386934778e+00,9.178291576801386742e-02
3.919597989949748840e+00,9.169457545816213362e-02
4.020100502512563345e+00,9.224495966093393395e-02
4.120603015075377407e+00,9.341436807618500038e-02
4.221105527638191468e+00,9.519584076925456662e-02
4.321608040201005529e+00,9.759392143067231740e-02
4.422110552763819591e+00,1.006238347652292364e-01
4.522613065326633652e+00,1.043106951854935599e-01
4.623115577889447714e+00,1.086884182444638053e-01
4.723618090452261775e+00,1.138042864519132752e-01
4.824120603015075837e+00,1.197143339552117075e-01
4.924623115577889898e+00,1.264855834427045800e-01
5.025125628140703959e+00,1.341967531371044131e-01
5.125628140703518021e+00,1.429391416682499472e-01
5.226130653266332082e+00,1.528176849747911459e-01
5.326633165829146144e+00,1.639521769603836387e-01
5.427135678391960205e+00,1.764786481447523092e-01
5.527638190954774267e+00,1.905508925636962558e-01
5.628140703517588328e+00,2.063421289749397258e-01
5.728643216080402389e+00,2.240467765799563082e-01
5.829145728643216451e+00,2.438823176807445314e-01
5.929648241206030512e+00,2.660912087150340555e-01
6.030150753768844574e+00,2.909427912553756990e-01
6.130653266331658635e+00,3.187351434143032014e-01
6.231155778894472697e+00,3.497968050935078010e-01
6.331658291457286758e+00,3.844883064111172533e-01
6.432160804020100819e+00,4.232034418821993826e-01
6.532663316582914881e+00,4.572029532794451567e-01
6.633165829145728942e+00,4.802890220533383436e-01
6.733668341708543004e+00,5.070973751446413713e-01
6.834170854271357065e+00,5.109119444827266987e-01
6.934673366834171127e+00,5.139930565185286682e-01
7.035175879396985188e+00,5.217800896938332711e-01
7.135678391959799249e+00,5.350160981280253081e-01
7.236180904522613311e+00,5.548263398932393731e-01
7.336683417085427372e+00,5.829143329747846769e-01
7.437185929648241434e+00,6.219127037729457186e-01
7.537688442211055495e+00,6.760489044523295687e-01
7.638190954773869557e+00,7.372948694050399654e-01
7.738693467336683618e+00,8.151660687715366338e-01
7.839195979899497679e+00,9.218809663866526227e-01
7.939698492462311741e+00,9.340170660470140662e-01
8.040201005025126690e+00,8.602679886772437445e-01
8.140703517587940752e+00,7.772145445929237173e-01
8.241206030150754813e+00,6.923121188032308471e-01
8.341708542713568875e+00,6.188396195810981215e-01
8.442211055276382936e+00,5.453585302427779169e-01
8.542713567839196998e+00,4.631115036755619752e-01
8.643216080402011059e+00,4.014092073243732961e-01
8.743718592964825120e+00,3.548005169407296711e-01
8.844221105527639182e+00,3.195830521100812005e-01
