time,Rspec_hyper
0.000000000000000000e+00,9.090909090909089496e-01
1.005025125628140753e-01,8.626855420278478626e-01
2.010050251256281506e-01,8.220712494420683303e-01
3.015075376884422398e-01,7.871818446328133767e-01
4.020100502512563012e-01,7.580172125141103612e-01
5.025125628140704181e-01,7.346544412972596527e-01
6.030150753768844796e-01,7.172606737261209009e-01
7.035175879396985410e-01,7.061077322745555884e-01
8.040201005025126024e-01,7.015886964334236975e-01
9.045226130653266639e-01,7.042351710916074925e-01
1.005025125628140836e+00,7.147358573865180142e-01
1.105527638190954898e+00,7.339536310740135683e-01
1.206030150753768959e+00,7.629396162655256441e-01
1.306532663316583021e+00,8.029415163389418408e-01
1.407035175879397082e+00,7.913059030773009761e-01
1.507537688442211143e+00,7.429522458751698366e-01
1.608040201005025205e+00,7.036775054784016881e-01
1.708542713567839266e+00,6.725286250720061698e-01
1.809045226130653328e+00,6.485775122959603900e-01
1.909547738693467389e+00,6.309563198272217788e-01
2.010050251256281673e+00,6.188789126276802444e-01
2.110552763819095734e+00,6.116511225332128543e-01
2.211055276381909795e+00,6.086723439531911417e-01
2.311557788944723857e+00,6.094316184312491558e-01
2.412060301507537918e+00,6.135002081180963573e-01
2.512562814070351980e+00,6.205225546226829092e-01
2.613065326633166041e+00,6.302067866527357731e-01
2.713567839195980103e+00,6.423155550301028471e-01
2.814070351758794164e+00,6.566576408990689728e-01
2.914572864321608225e+00,6.730805161464431530e-01
3.015075376884422287e+00,6.914638893409789100e-01
3.115577889447236348e+00,7.117142134282716803e-01
3.216080402010050410e+00,7.337600422469915395e-01
3.316582914572864471e+00,7.575481271597297450e-01
3.417085427135678533e+00,7.830401479887139082e-01
3.517587939698492594e+00,8.102099616209395005e-01
3.618090452261306655e+00,8.390412728408853660e-01
3.718592964824120717e+00,8.695256380743529023e-01
3.819095477386934778e+00,9.016607394339686277e-01
3.919597989949748840e+00,9.354488669338808515e-01
4.020100502512563345e+00,9.708955458955238482e-01
4.120603015075377407e+00,1.008008258962679093e+00
4.221105527638191468e+00,1.046795265002906872e+00
4.321608040201005529e+00,1.087264439183755593e+00
4.422110552763819591e+00,1.129422082668922744e+00
4.522613065326633652e+00,1.173271749960647981e+00
4.623115577889447714e+00,1.218813029900391420e+00
4.723618090452261775e+00,1.266040252433236368e+00
4.824120603015075837e+00,1.314941113419386021e+00
4.924623115577889898e+00,1.365495193486284453e+00
5.025125628140703959e+00,1.417672363482794351e+00
5.125628140703518021e+00,1.471431053688643242e+00
5.226130653266332082e+00,1.526716379099678500e+00
5.326633165829146144e+00,1.583458105872808996e+00
5.427135678391960205e+00,1.641568455333724197e+00
5.527638190954774267e+00,1.700939741297429642e+00
5.628140703517588328e+00,1.761441842685194992e+00
5.728643216080402389e+00,1.822919520205155353e+00
5.829145728643216451e+00,1.885189594474436792e+00
5.929648241206030512e+00,1.948038013617903852e+00
6.030150753768844574e+00,2.011216851611800749e+00
6.130653266331658635e+00,2.074441294787492396e+00
6.231155778894472697e+00,2.137386693289638373e+00
6.331658291457286758e+00,2.199685777169771761e+00
6.432160804020100819e+00,2.260926163335699179e+00
6.532663316582914881e+00,2.320648309712987079e+00
6.633165829145728942e+00,2.378344106353326382e+00
6.733668341708543004e+00,2.433456329069166646e+00
6.834170854271357065e+00,2.485379218137135027e+00
6.934673366834171127e+00,2.533460480602943043e+00
7.035175879396985188e+00,2.577005046718375603e+00
7.135678391959799249e+00,2.615280934915617195e+00
7.236180904522613311e+00,2.556818356612957643e+00
7.336683417085427372e+00,2.386955248023929776e+00
7.437185929648241434e+00,2.227304355136093594e+00
7.537688442211055495e+00,2.077650051292984745e+00
7.638190954773869557e+00,1.937729311783422670e+00
7.738693467336683618e+00,1.807242830570773728e+00
7.839195979899497679e+00,1.685865133628540180e+00
7.939698492462311741e+00,1.573253743120972326e+00
8.040201005025126690e+00,1.469057470269044208e+00
8.140703517587940752e+00,1.372923935109961580e+00
8.241206030150754813e+00,1.284506429508233794e+00
8.341708542713568875e+00,1.203470256717149578e+00
8.442211055276382936e+00,1.129498697479411451e+00
8.542713567839196998e+00,1.062298769935219322e+00
8.643216080402011059e+00,1.001606969090901300e+00
8.743718592964825120e+00,9.471951914715341925e-01
8.844221105527639182e+00,8.988770713554959935e-01
8.944723618090453243e+00,8.565149749925217160e-01
9.045226130653267305e+00,8.200279150163585218e-01
9.145728643216081366e+00,7.894006528307279114e-01
9.246231155778895427e+00,7.646942424378038172e-01
9.346733668341709489e+00,7.460582208597056342e-01
9.447236180904523550e+00,7.337445489689442546e-01
9.547738693467337612e+00,7.281232292595989364e-01
9.648241206030151673e+00,7.296992497987645487e-01
9.748743718592965735e+00,7.391300118670334207e-01
9.849246231155779796e+00,7.572425396279096610e-01
9.949748743718593857e+00,7.850473794509942316e-01
1.005025125628140792e+01,7.295250607902559192e-01
1.015075376884422198e+01,6.813760221166047515e-01
1.025125628140703604e+01,6.412263073377789668e-01
1.035175879396985010e+01,6.084185881513832772e-01
1.045226130653266416e+01,5.822531718651599020e-01
1.055276381909547823e+01,5.620302615511705291e-01
1.065326633165829229e+01,5.470813353820420666e-01
1.075376884422110635e+01,5.367899749640046014e-01
1.085427135678392041e+01,5.306035331125524834e-01
1.095477386934673447e+01,5.280377123658265281e-01
1.105527638190954853e+01,5.286759057084540192e-01
1.115577889447236259e+01,5.321652194316884854e-01
1.125628140703517666e+01,5.382106375808748400e-01
1.135678391959799072e+01,5.465683665862789420e-01
1.145728643216080478e+01,5.570391024807592739e-01
1.155778894472361884e+01,5.694616414388774528e-01
1.165829145728643290e+01,5.837070805966887432e-01
1.175879396984924696e+01,5.996737024239038316e-01
1.185929648241206102e+01,6.172825503828344162e-01
1.195979899497487509e+01,6.364736442166170072e-01
