time, Rtensor_laplacian
0.000000000000000000e+00,-9.108024658694573450e-01
1.005025125628140753e-01,-9.578940804255002828e-01
2.010050251256281506e-01,-1.007847921753973086e+00
3.015075376884422398e-01,-1.060580169894159930e+00
4.020100502512563012e-01,-1.106511675702200215e+00
5.025125628140704181e-01,-1.156100097949551264e+00
6.030150753768844796e-01,-1.199263891774462021e+00
7.035175879396985410e-01,-1.229849635287053822e+00
8.040201005025126024e-01,-1.260905400315765590e+00
9.045226130653266639e-01,-1.283830067746636328e+00
1.005025125628140836e+00,-1.298976155353245954e+00
1.105527638190954898e+00,-1.304989703129679102e+00
1.206030150753768959e+00,-1.298329750498283808e+00
1.306532663316583021e+00,-1.291243702370428403e+00
1.407035175879397082e+00,-1.264497774162393506e+00
1.507537688442211143e+00,-1.236407114474849633e+00
1.608040201005025205e+00,-1.205870824851650536e+00
1.708542713567839266e+00,-1.162378114071414448e+00
1.809045226130653328e+00,-1.124884208625278825e+00
1.909547738693467389e+00,-1.074657728813384949e+00
2.010050251256281673e+00,-1.032217222847993332e+00
2.110552763819095734e+00,-9.867802529757039309e-01
2.211055276381909795e+00,-9.507707771972069288e-01
2.311557788944723857e+00,-9.047476198650727941e-01
2.412060301507537918e+00,-8.634910411232588068e-01
2.512562814070351980e+00,-8.338809392848056667e-01
2.613065326633166041e+00,-7.918414328409443259e-01
2.713567839195980103e+00,-7.653975981953311525e-01
2.814070351758794164e+00,-7.259006728003594144e-01
2.914572864321608225e+00,-6.942927906290768947e-01
3.015075376884422287e+00,-6.717857934388913321e-01
3.115577889447236348e+00,-6.433690270650317400e-01
3.216080402010050410e+00,-6.137557287668394812e-01
3.316582914572864471e+00,-5.878238734580008007e-01
3.417085427135678533e+00,-5.657090555018580158e-01
3.517587939698492594e+00,-5.526024406102871822e-01
3.618090452261306655e+00,-5.256540452413833719e-01
3.718592964824120717e+00,-5.023004976419214174e-01
3.819095477386934778e+00,-4.875166326667811356e-01
3.919597989949748840e+00,-4.693038839056469236e-01
4.020100502512563345e+00,-4.510291525601731188e-01
4.120603015075377407e+00,-4.373180169844781973e-01
4.221105527638191468e+00,-4.199070871957004680e-01
4.321608040201005529e+00,-4.194720591486146843e-01
4.422110552763819591e+00,-3.958016086403670641e-01
4.522613065326633652e+00,-3.851043170626234358e-01
4.623115577889447714e+00,-3.717304242612327614e-01
4.723618090452261775e+00,-3.598177928597428576e-01
4.824120603015075837e+00,-3.525727024401809073e-01
4.924623115577889898e+00,-3.436090600408367446e-01
5.025125628140703959e+00,-3.335613752561604750e-01
5.125628140703518021e+00,-3.264071955066630837e-01
5.226130653266332082e+00,-3.222668783716585716e-01
5.326633165829146144e+00,-3.180314274350029002e-01
5.427135678391960205e+00,-3.099736971935430629e-01
5.527638190954774267e+00,-3.060344331774806914e-01
5.628140703517588328e+00,-3.049321011761033096e-01
5.728643216080402389e+00,-3.210148131546047834e-01
5.829145728643216451e+00,-3.014698351537900001e-01
5.929648241206030512e+00,-2.987961929059657074e-01
6.030150753768844574e+00,-2.993004002027613297e-01
6.130653266331658635e+00,-3.026229056982413512e-01
6.231155778894472697e+00,-3.049712342523104858e-01
6.331658291457286758e+00,-3.065211609677254145e-01
6.432160804020100819e+00,-3.130197839266485316e-01
6.532663316582914881e+00,-3.187350947499716369e-01
6.633165829145728942e+00,-3.236337918903935407e-01
6.733668341708543004e+00,-3.336038958155162493e-01
6.834170854271357065e+00,-3.432335246285004304e-01
6.934673366834171127e+00,-3.527046078441346544e-01
7.035175879396985188e+00,-3.666165334328842507e-01
7.135678391959799249e+00,-3.787643675211708194e-01
7.236180904522613311e+00,-3.946160776157904282e-01
7.336683417085427372e+00,-4.137727951242411439e-01
7.437185929648241434e+00,-4.307728446334276873e-01
7.537688442211055495e+00,-4.529011598000279859e-01
7.638190954773869557e+00,-4.777704129192827387e-01
7.738693467336683618e+00,-5.007600980891439013e-01
7.839195979899497679e+00,-5.310359335899894617e-01
7.939698492462311741e+00,-5.579228352713097028e-01
8.040201005025126690e+00,-5.907927485831003800e-01
8.140703517587940752e+00,-6.232034923346594368e-01
8.241206030150754813e+00,-6.637651723406838844e-01
8.341708542713568875e+00,-7.025878843291646358e-01
8.442211055276382936e+00,-7.468847948103435330e-01
8.542713567839196998e+00,-7.905655395648275574e-01
8.643216080402011059e+00,-8.320400742773353953e-01
8.743718592964825120e+00,-8.776566338042617321e-01
8.844221105527639182e+00,-9.317495473285025698e-01
8.944723618090453243e+00,-9.748466277567039429e-01
9.045226130653267305e+00,-1.026977612685083141e+00
9.145728643216081366e+00,-1.070260370256080007e+00
9.246231155778895427e+00,-1.118639966292932053e+00
9.346733668341709489e+00,-1.155663924430229805e+00
9.447236180904523550e+00,-1.193176442372624102e+00
9.547738693467337612e+00,-1.222192778104369992e+00
9.648241206030151673e+00,-1.243661344255994505e+00
9.748743718592965735e+00,-1.267063935644392236e+00
9.849246231155779796e+00,-1.267593910670728574e+00
9.949748743718593857e+00,-1.264927107297470155e+00
1.005025125628140792e+01,-1.258454443623050034e+00
1.015075376884422198e+01,-1.244423844148370595e+00
1.025125628140703604e+01,-1.219265602844919139e+00
1.035175879396985010e+01,-1.183599482446245910e+00
1.045226130653266416e+01,-1.145414531191837115e+00
1.055276381909547823e+01,-1.103957720918520513e+00
1.065326633165829229e+01,-1.061743013556240234e+00
1.075376884422110635e+01,-1.032086193288568099e+00
1.085427135678392041e+01,-9.804226980396594238e-01
1.095477386934673447e+01,-9.397740361784026053e-01
1.105527638190954853e+01,-9.019236333925569893e-01
1.115577889447236259e+01,-8.704022387801984006e-01
1.125628140703517666e+01,-8.258625796342662362e-01
1.135678391959799072e+01,-7.927081560219917389e-01
1.145728643216080478e+01,-7.661263327499591158e-01
1.155778894472361884e+01,-7.265047235967498906e-01
1.165829145728643290e+01,-7.042815236818716906e-01
1.175879396984924696e+01,-6.672944634595203706e-01
1.185929648241206102e+01,-6.427817245329073836e-01
1.195979899497487509e+01,-6.202420032921335258e-01
1.206030150753768915e+01,-5.984071269865894882e-01
1.216080402010050321e+01,-5.690154943801131182e-01
1.226130653266331727e+01,-5.482661101737719145e-01
1.236180904522613133e+01,-5.311939315103112458e-01
1.246231155778894539e+01,-5.043670103943440619e-01
1.256281407035175945e+01,-4.872725708877270190e-01
1.266331658291457352e+01,-4.788506900101299757e-01
1.276381909547738758e+01,-4.587478686310533238e-01
1.286432160804020164e+01,-4.460321426418117352e-01
1.296482412060301570e+01,-4.279773453853623622e-01
1.306532663316582976e+01,-4.137830281223580653e-01
1.316582914572864382e+01,-3.969289056571514429e-01
1.326633165829145788e+01,-3.845044532067469767e-01
1.336683417085427195e+01,-3.752742356298284232e-01
1.346733668341708601e+01,-3.788106346073003006e-01
1.356783919597990007e+01,-3.527207446714302752e-01
1.366834170854271413e+01,-3.444280448552120566e-01
1.376884422110552819e+01,-3.378295645391547475e-01
1.386934673366834225e+01,-3.275666148746098627e-01
1.396984924623115631e+01,-3.237296174847004160e-01
1.407035175879397038e+01,-3.161239106901596041e-01
1.417085427135678444e+01,-3.125751363227790569e-01
1.427135678391959850e+01,-3.077580867971448364e-01
1.437185929648241256e+01,-3.008533319461839106e-01
1.447236180904522662e+01,-2.977842331444504054e-01
1.457286432160804068e+01,-2.971162204245563210e-01
1.467336683417085474e+01,-2.939316510110970837e-01
1.477386934673366881e+01,-2.937594412971243352e-01
1.487437185929648287e+01,-2.966437884205623821e-01
1.497487437185929693e+01,-2.977812417652928589e-01
1.507537688442211099e+01,-2.998759072408329618e-01
1.517587939698492505e+01,-3.009471957710179169e-01
1.527638190954773911e+01,-3.058026766700339683e-01
1.537688442211055317e+01,-3.110502160675339134e-01
1.547738693467336724e+01,-3.166807459014305826e-01
1.557788944723618130e+01,-3.256662460330698172e-01
1.567839195979899536e+01,-3.358522933602894889e-01
1.577889447236180942e+01,-3.437360152637463084e-01
1.587939698492462348e+01,-3.553065589000701796e-01
1.597989949748743754e+01,-3.713824356314849862e-01
1.608040201005025338e+01,-3.863041388640775509e-01
1.618090452261306567e+01,-4.012130523136440141e-01
1.628140703517588150e+01,-4.185428252489308276e-01
1.638190954773869379e+01,-4.416840352669872960e-01
1.648241206030150963e+01,-4.615583728857792778e-01
1.658291457286432191e+01,-4.849227959673431121e-01
1.668341708542713775e+01,-5.118131393087926861e-01
1.678391959798995003e+01,-5.398880167926639606e-01
1.688442211055276587e+01,-5.713195908089822028e-01
1.698492462311557816e+01,-6.082380152782889127e-01
1.708542713567839400e+01,-6.385102243759536167e-01
1.718592964824120628e+01,-6.792038693582148623e-01
1.728643216080402212e+01,-7.212092000431014061e-01
1.738693467336683440e+01,-7.594877241086412933e-01
1.748743718592965024e+01,-8.085739531928159973e-01
1.758793969849246253e+01,-8.515049041388595974e-01
1.768844221105527836e+01,-9.017447355392294028e-01
1.778894472361809065e+01,-9.453544648424052621e-01
1.788944723618090649e+01,-9.969135830472060089e-01
1.798994974874371877e+01,-1.039587451292134812e+00
1.809045226130653461e+01,-1.089030550687831278e+00
1.819095477386934689e+01,-1.131062142737126353e+00
1.829145728643216273e+01,-1.161712500113660784e+00
1.839195979899497502e+01,-1.194082041175382969e+00
1.849246231155779085e+01,-1.222998986425013035e+00
1.859296482412060314e+01,-1.248410113198370697e+00
1.869346733668341898e+01,-1.251661325132007896e+00
1.879396984924623126e+01,-1.252331265737314681e+00
1.889447236180904710e+01,-1.256978755443201257e+00
1.899497487437185939e+01,-1.238538789841384880e+00
1.909547738693467522e+01,-1.216023005533716894e+00
1.919597989949748751e+01,-1.187657440780255369e+00
1.929648241206030335e+01,-1.159511660474890959e+00
1.939698492462311563e+01,-1.123402947076920233e+00
1.949748743718593147e+01,-1.083495115418170673e+00
1.959798994974874375e+01,-1.042818842543529634e+00
1.969849246231155959e+01,-1.003551614181893648e+00
1.979899497487437188e+01,-9.664660812880472296e-01
1.989949748743718771e+01,-9.226665114762129249e-01
2.000000000000000000e+01,-8.783857404426159698e-01
